TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.05770981,-1,15.25291,-33,0,0,0
0.1069419,-1,15.13519,-33,0,0,0
0.1610781,-1,15.01747,-33,0,0,0
0.2167641,-1,14.78203,-33,0,0,0
0.2689673,-1,14.47596,-33,0,0,0
0.3210607,-1,14.23267,-33,0,0,0
0.3728564,-1,13.80888,-33,0,0,0
0.4249057,-1,13.675,-33,0,0,0
0.4768498,-1,13.675,-33,0,0,0
0.5278984,-1,13.675,-33,0,0,0
0.5807717,-1,13.675,-33,0,0,0
0.6329015,-1,13.675,-33,0,0,0
0.6849498,-1,13.675,-33,0,0,0
0.7370226,-1,13.675,-33,0,0,0
0.7887563,-1,13.675,-33,0,0,0
0.8407599,-1,13.675,-33,0,0,0
0.8928353,-1,13.675,-33,0,0,0
0.9448358,-1,13.675,-33,0,0,0
0.9969226,-1,13.675,-33,0,0,0
1.048769,-1,13.675,-33,0,0,0
1.101948,-1,13.675,-33,0,0,0
1.154196,-1,13.675,-33,0,0,0
1.206124,-1,13.675,-33,359,0.3,2.084726E-10
1.258073,-0.9928801,13.675,-32.76011,351.9,1.7,0
1.310167,-0.981993,13.675,-32.52035,347.7,2.6,0
1.362833,-0.974177,13.675,-32.36054,346.8,2.8,0
1.420055,-0.9624531,13.675,-32.12083,346.5,2.8,2.743855E-08
1.475698,-0.9503108,13.675,-31.88114,346.4,2.9,2.74501E-08
1.531856,-0.9381685,13.675,-31.64145,346.4,2.9,2.74501E-08
1.587724,-0.9247713,13.675,-31.40182,346.1,3.2,0
1.64392,-0.9152823,13.675,-31.2421,345.8,3.4,0
1.698656,-0.9010487,13.675,-31.00252,345.8,3.4,0
1.754843,-0.8868152,13.675,-30.76295,345.8,3.4,0
1.810905,-0.8725817,13.675,-30.52337,345.8,3.4,0
1.865873,-0.8630927,13.675,-30.36365,345.8,3.4,0
1.921871,-0.8488591,13.675,-30.12407,345.8,3.4,0
1.976789,-0.8346256,13.675,-29.88449,345.8,3.4,0
2.031782,-0.8203921,13.675,-29.64492,345.8,3.4,0
2.087772,-0.8061585,13.675,-29.40534,345.8,3.4,0
2.142745,-0.7966695,13.675,-29.24562,345.8,3.4,0
