TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04003695,-3.409551,22.27023,43.27307,358.4,338.8,0
0.08115202,-3.409551,22.27023,43.27307,358.4,338.8,0
0.1210643,-3.409551,22.27023,43.27307,358.4,338.8,0
0.1620064,-3.409551,22.27023,43.27307,358.4,338.8,0
0.2019905,-3.409551,22.27023,43.27307,358.4,338.8,0
0.2422322,-3.409551,22.27023,43.27307,358.4,338.8,0
0.2830353,-3.409551,22.27023,43.27307,358.4,338.8,0
0.3231087,-3.409551,22.27023,43.27307,358.4,338.8,0
0.3640226,-3.409551,22.27023,43.27307,358.4,338.8,0
0.4039574,-3.409551,22.27023,43.27307,358.4,338.8,0
0.4450058,-3.409551,22.27023,43.27307,358.4,338.8,0
0.485055,-3.409551,22.27023,43.27307,358.4,338.8,0
0.5251931,-3.409551,22.27023,43.27307,358.4,338.8,0
0.5660039,-3.409551,22.27023,43.27307,358.4,338.8,0
0.6060947,-3.409551,22.27023,43.27307,358.4,338.8,0
0.6459644,-3.409551,22.27023,43.27307,358.4,338.8,0
0.6869979,-3.409551,22.27023,43.27307,358.4,338.8,0
0.7269332,-3.409551,22.27023,43.27307,358.4,338.8,0
0.7680899,-3.409551,22.27023,43.27307,358.4,338.8,0
0.8079873,-3.409551,22.27023,43.27307,358.4,338.8,0
0.848076,-3.409551,22.27023,43.27307,358.4,338.8,0
0.8892337,-3.409551,22.27023,43.27307,358.4,338.8,0
0.9289715,-3.409551,22.27023,43.27307,358.4,338.8,0
0.9690007,-3.409551,22.27023,43.27307,358.4,338.8,0
1.009925,-3.409551,22.27023,43.27307,358.4,338.8,0
1.050052,-3.409551,22.27023,43.27307,358.4,338.8,0
1.090093,-3.409551,22.27023,43.27307,358.4,338.8,0
1.131009,-3.409551,22.27023,43.27307,358.4,338.8,0
1.171004,-3.409551,22.27023,43.27307,358.4,338.8,0
1.212006,-3.409551,22.27023,43.27307,358.4,338.8,0
1.251908,-3.409551,22.27023,43.27307,358.4,338.8,0
1.292101,-3.409551,22.27023,43.27307,358.4,338.8,0
