TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02671969,-1,15.27646,-33,0,0,0
0.04970417,-1,15.25291,-33,0,359.9,0
0.07470686,-1,15.22152,-33,0,359.8,0
0.101015,-1,15.18228,-33,0,359.6,0
0.1226971,-1,15.13519,-33,0,359.6,0
0.1444695,-1,15.08026,-33,0,359.6,0
0.1675736,-1,14.94684,-33,0,359.6,0
0.1896718,-1,14.86836,-33,0,359.6,0
0.2117388,-1,14.78203,-33,0,359.6,0
0.2338617,-1,14.68786,-33,0,359.6,0
0.2557742,-1,14.58583,-33,0,359.6,0
0.2776431,-1,14.47596,-33,0,359.5,0
0.2997973,-1,14.35824,-33,0,359.5,0
0.3216703,-1,14.23267,-33,0,359.5,0
0.3436506,-1,14.09926,-33,0,359.5,0
0.3657047,-1,13.80888,-33,0,359.5,0
0.3875377,-1,13.675,-33,0,359.5,0
0.4156054,-1,13.675,-33,0,359.5,0
0.4316239,-1,13.675,-33,0,359.5,0
0.4537104,-1,13.675,-33,0,359.5,0
0.4765845,-1,13.675,-33,0,359.5,0
0.4985838,-1,13.675,-33,0,359.5,0
0.52068,-1,13.675,-33,0,359.5,0
0.5425637,-1,13.675,-33,0,359.5,0
0.5646184,-1,13.675,-33,0,359.5,0
0.5877188,-1,13.675,-33,0,359.5,0
0.6096426,-1,13.675,-33,0,359.5,0
0.6316645,-1,13.675,-33,0,359.5,0
0.6535518,-1,13.675,-33,0,359.5,0
0.6756306,-1.000698,13.675,-32.92,0,359.5,0
0.697658,-1.001396,13.675,-32.84001,0,359.5,0
0.7196685,-1.002094,13.675,-32.76001,0,359.5,0
0.7426781,-1.002792,13.675,-32.68001,0,359.5,0
0.7645916,-1.003491,13.675,-32.60001,0,359.5,0
0.7866442,-1.004887,13.675,-32.44002,0,359.5,0
0.8096297,-1.005585,13.675,-32.36002,0,359.5,0
0.8316402,-1.006283,13.675,-32.28003,0,359.5,0
0.853678,-1.006981,13.675,-32.20003,0,359.5,0
0.8754684,-1.007679,13.675,-32.12003,0,359.5,0
0.8985924,-1.008377,13.675,-32.04004,0,359.5,0
0.9216092,-1.009076,13.675,-31.96004,0,359.5,0
0.9437265,-1.009494,13.675,-31.88004,359.9,359.7,0
0.9657621,-1.010332,13.675,-31.72004,359.9,359.7,0
0.987687,-1.010612,13.675,-31.64004,359.8,359.8,2.605526E-11
1.010851,-1.010891,13.675,-31.56004,359.8,359.8,2.605526E-11
1.03294,-1.01103,13.675,-31.48004,359.5,359.9,0
1.054799,-1.01117,13.675,-31.40004,359.3,359.9,-5.21141E-11
1.076658,-1.01117,13.675,-31.32004,359.2,-2.071995E-08,0
1.099566,-1.01117,13.675,-31.24004,359.1,-2.071995E-08,0
1.121664,-1.01117,13.675,-31.16004,358.9,-2.071995E-08,-1.242633E-17
1.143615,-1.01117,13.675,-31.08004,358.9,-2.071995E-08,-1.242633E-17
1.165721,-1.01117,13.675,-30.92004,358.9,-2.071995E-08,-1.242633E-17
1.187506,-1.01117,13.675,-30.84004,358.8,-2.071995E-08,0
1.209725,-1.01117,13.675,-30.76004,358.8,-2.071995E-08,0
1.230577,-1.01117,13.675,-30.68004,358.8,-2.071995E-08,0
