TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03106299,-1,15.27646,-33,0,0,0
0.05942322,-1,15.25291,-33,359.9,359.8,0
0.08800924,-1,15.18228,-33,359.9,359.8,0
0.1188721,-1,15.13519,-33,359.9,359.8,0
0.1458253,-1,15.01747,-33,359.9,359.8,0
0.173132,-1,14.94684,-33,359.9,359.8,0
0.2008667,-1,14.86836,-33,359.9,359.8,0
0.227865,-1,14.68786,-33,359.9,359.8,0
0.2550912,-1,14.58583,-33,359.9,359.8,0
0.2818781,-1,14.47596,-33,359.9,359.8,0
0.3088272,-1,14.23267,-33,359.9,359.8,0
0.3370289,-1,14.09926,-33,359.9,359.8,0
0.3640051,-1,13.95799,-33,359.9,359.8,0
0.3910281,-1,13.675,-33,359.9,359.8,0
0.4179187,-1,13.675,-33,359.9,359.8,0
0.4448451,-1.000279,13.675,-32.92,359.9,359.8,0
0.4730396,-1.000838,13.675,-32.76,359.9,359.8,0
0.4998347,-1.001117,13.675,-32.68,359.9,359.8,0
0.5277634,-1.001675,13.675,-32.52,359.9,359.8,0
0.5549963,-1.001955,13.675,-32.44,359.9,359.8,0
0.5818555,-1.002234,13.675,-32.36,359.9,359.8,0
0.6098217,-1.002792,13.675,-32.2,359.9,359.8,0
0.6370484,-1.003072,13.675,-32.12001,359.9,359.8,0
0.6647589,-1.003351,13.675,-32.04,359.9,359.8,0
0.6917968,-1.00391,13.675,-31.88001,359.9,359.8,0
0.7188506,-1.004189,13.675,-31.80001,359.9,359.8,0
0.7468285,-1.004747,13.675,-31.64001,359.9,359.8,0
0.7739218,-1.005027,13.675,-31.56001,359.9,359.8,0
0.800719,-1.005306,13.675,-31.48001,359.9,359.8,0
0.8288914,-1.005585,13.675,-31.32001,359.8,359.9,1.302763E-11
0.8561258,-1.005725,13.675,-31.24001,359.8,359.9,1.302763E-11
0.883782,-1.005864,13.675,-31.16001,359.8,359.9,1.302763E-11
0.9108665,-1.006144,13.675,-31.00001,359.8,359.9,1.302763E-11
0.9380362,-1.006283,13.675,-30.92001,359.8,359.9,1.302763E-11
0.9658433,-1.006562,13.675,-30.76001,359.8,359.9,1.302763E-11
0.9928529,-1.006702,13.675,-30.68001,359.8,359.9,1.302763E-11
1.020976,-1.006842,13.675,-30.60001,359.8,359.9,1.302763E-11
1.047799,-1.007121,13.675,-30.44001,359.8,359.9,1.302763E-11
1.075918,-1.007261,13.675,-30.36001,359.8,359.9,1.302763E-11
1.102878,-1.0074,13.675,-30.28001,359.8,359.9,1.302763E-11
1.130647,-1.007679,13.675,-30.12001,359.8,359.9,1.302763E-11
1.158134,-1.007819,13.675,-30.04001,359.8,359.9,1.302763E-11
1.185842,-1.008378,13.675,-29.88001,359.8,359.8,2.605526E-11
1.213843,-1.008657,13.675,-29.80001,359.8,359.8,2.605526E-11
1.240914,-1.008936,13.675,-29.72001,359.8,359.8,2.605526E-11
1.26893,-1.009495,13.675,-29.56001,359.8,359.8,2.605526E-11
1.296869,-1.009774,13.675,-29.48001,359.8,359.8,2.605526E-11
1.32395,-1.010053,13.675,-29.40001,359.8,359.8,2.605526E-11
1.351806,-1.010612,13.675,-29.24002,359.8,359.8,2.605526E-11
1.378915,-1.010891,13.675,-29.16002,359.8,359.8,2.605526E-11
1.407125,-1.011449,13.675,-29.00002,359.8,359.8,2.605526E-11
1.434938,-1.011729,13.675,-28.92002,359.8,359.8,2.605526E-11
1.461732,-1.012008,13.675,-28.84002,359.8,359.8,2.605526E-11
1.490153,-1.012566,13.675,-28.68002,359.8,359.8,2.605526E-11
1.517888,-1.012846,13.675,-28.60002,359.8,359.8,2.605526E-11
1.545822,-1.013404,13.675,-28.44002,359.8,359.8,2.605526E-11
1.574122,-1.013683,13.675,-28.36002,359.8,359.8,2.605526E-11
1.600849,-1.013963,13.675,-28.28002,359.8,359.8,2.605526E-11
1.628815,-1.014521,13.675,-28.12002,359.8,359.8,2.605526E-11
1.656967,-1.0148,13.675,-28.04002,359.8,359.8,2.605526E-11
1.684864,-1.01508,13.675,-27.96002,359.8,359.8,2.605526E-11
1.712851,-1.015638,13.675,-27.80003,359.8,359.8,2.605526E-11
1.741153,-1.015917,13.675,-27.72003,359.8,359.8,2.605526E-11
1.767869,-1.016476,13.675,-27.56003,359.8,359.8,2.605526E-11
1.795809,-1.016755,13.675,-27.48003,359.8,359.8,2.605526E-11
1.824116,-1.017034,13.675,-27.40003,359.8,359.8,2.605526E-11
1.851805,-1.017593,13.675,-27.24003,359.8,359.8,2.605526E-11
1.879864,-1.017872,13.675,-27.16003,359.8,359.8,2.605526E-11
1.907901,-1.018431,13.675,-27.00003,359.8,359.8,2.605526E-11
1.934875,-1.01871,13.675,-26.92003,359.8,359.8,2.605526E-11
1.962853,-1.018989,13.675,-26.84003,359.8,359.8,2.605526E-11
1.991072,-1.019548,13.675,-26.68003,359.8,359.8,2.605526E-11
2.018764,-1.019827,13.675,-26.60003,359.8,359.8,2.605526E-11
2.04685,-1.020385,13.675,-26.44003,359.8,359.8,2.605526E-11
2.073901,-1.020665,13.675,-26.36003,359.8,359.8,2.605526E-11
2.101875,-1.020944,13.675,-26.28004,359.8,359.8,2.605526E-11
2.129675,-1.021502,13.675,-26.12004,359.8,359.8,2.605526E-11
2.157844,-1.021782,13.675,-26.04004,359.8,359.8,2.605526E-11
2.185818,-1.02234,13.675,-25.88004,359.8,359.8,2.605526E-11
2.213799,-1.022619,13.675,-25.80004,359.8,359.8,2.605526E-11
2.241746,-1.022899,13.675,-25.72004,359.8,359.8,2.605526E-11
2.269857,-1.023457,13.675,-25.56004,359.8,359.8,2.605526E-11
2.297907,-1.023736,13.675,-25.48004,359.8,359.8,2.605526E-11
2.325842,-1.024574,13.675,-25.32004,359.7,359.7,0
