TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.01897627,-3.39015,22.27023,42.73907,2.799996,333.8,-5.342463E-08
0.03894497,-3.39015,22.27023,42.73907,2.799996,333.8,-5.342463E-08
0.05897319,-3.39015,22.27023,42.73907,2.799996,333.8,-5.342463E-08
0.07807159,-3.39015,22.27023,42.73907,2.799996,333.8,-5.342463E-08
0.09787351,-3.39015,22.27023,42.73907,2.799996,333.8,-5.342463E-08
0.1169037,-3.39015,22.27023,42.73907,2.799996,333.8,-5.342463E-08
0.1369894,-3.39015,22.27023,42.73907,2.799996,333.8,-5.342463E-08
0.1568729,-3.39015,22.27023,42.73907,2.799996,333.8,-5.342463E-08
0.1760328,-3.39015,22.27023,42.73907,2.799996,333.8,-5.342463E-08
0.1960641,-3.39015,22.27023,42.73907,2.799996,333.8,-5.342463E-08
0.2149783,-3.39015,22.27023,42.73907,2.799996,333.8,-5.342463E-08
0.2349198,-3.39015,22.27023,42.73907,2.799996,333.8,-5.342463E-08
0.2550122,-3.39015,22.27023,42.73907,2.799996,333.8,-5.342463E-08
0.2738987,-3.39015,22.27023,42.73907,2.799996,333.8,-5.342463E-08
0.2939854,-3.39015,22.27023,42.73907,2.799996,333.8,-5.342463E-08
0.3128549,-3.39015,22.27023,42.73907,2.799996,333.8,-5.342463E-08
0.3330535,-3.39015,22.27023,42.73907,2.799996,333.8,-5.342463E-08
0.3519225,-3.39015,22.27023,42.73907,2.799996,333.8,-5.342463E-08
0.3720369,-3.39015,22.27023,42.73907,2.799996,333.8,-5.342463E-08
0.3920811,-3.39015,22.27023,42.73907,2.799996,333.8,-5.342463E-08
0.4108618,-3.39015,22.27023,42.73907,2.799996,333.8,-5.342463E-08
0.4309449,-3.39015,22.27023,42.73907,2.799996,333.8,-5.342463E-08
0.4498966,-3.39015,22.27023,42.73907,2.799996,333.9,-1.068493E-07
0.4698463,-3.39015,22.27023,42.73907,2.799996,333.9,-1.068493E-07
0.488978,-3.39015,22.27023,42.73907,2.799996,333.9,-1.068493E-07
0.5089257,-3.39015,22.27023,42.73907,2.799996,333.9,-1.068493E-07
0.5291361,-3.39015,22.27023,42.73907,2.799996,333.9,-1.068493E-07
0.5478435,-3.39015,22.27023,42.73907,2.799996,333.9,-1.068493E-07
0.5679435,-3.39015,22.27023,42.73907,2.799996,333.9,-1.068493E-07
0.5869747,-3.39015,22.27023,42.73907,2.799996,333.9,-1.068493E-07
0.606966,-3.39015,22.27023,42.73907,2.799996,333.9,-1.068493E-07
0.6259571,-3.39015,22.27023,42.73907,2.799996,333.9,-1.068493E-07
0.6461449,-3.39015,22.27023,42.73907,2.799996,333.9,-1.068493E-07
0.6658509,-3.39015,22.27023,42.73907,2.799996,333.9,-1.068493E-07
0.6851114,-3.39015,22.27023,42.73907,2.799996,333.9,-1.068493E-07
0.7048733,-3.39015,22.27023,42.73907,2.799996,333.9,-1.068493E-07
0.7239445,-3.39015,22.27023,42.73907,2.799996,333.9,-1.068493E-07
0.7440836,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
0.7630557,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
0.7829511,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
0.8029028,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
0.8228335,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
0.8419345,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
0.8619745,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
0.8808348,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
0.9009677,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
0.9209369,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
0.9399435,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
0.9599753,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
0.9791091,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
0.9990316,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.018988,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.038045,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.057999,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.077051,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.097137,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.116949,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.135961,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.156041,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.175958,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.195067,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.214984,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.234951,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.253992,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.273896,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.292992,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.313169,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.332889,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.352971,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.371865,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.391975,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.411932,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.43093,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.451012,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.470924,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.489942,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.510009,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.529955,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.549042,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.568885,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.588919,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.608,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.628029,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.64792,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.667973,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.687135,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.707088,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.726943,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.74618,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.765986,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.785861,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.805001,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.824965,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.845052,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.863983,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.883875,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.903986,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
1.923876,-3.39015,22.27023,42.73907,2.799996,334,-5.342463E-08
