TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04526902,-1,15.27646,-33,0,0,0
0.08197512,-1,15.22152,-33,0,0,0
0.1220028,-1,15.13519,-33,0,0,0
0.1658833,-1,15.01747,-33,0,0,0
0.2048513,-1,14.86836,-33,0,0,0
0.2430071,-1,14.68786,-33,0,0,0
0.282868,-1,14.47596,-33,0,0,0
0.321074,-1,14.23267,-33,0,0,0
0.3598076,-1,13.95799,-33,0,0.1,0
0.3998979,-1,13.675,-33,359.9,0.2,0
0.4377694,-1,13.675,-33,359.9,0.2,0
0.4765075,-1,13.675,-33,359.9,0.2,0
0.5164957,-1,13.675,-33,359.9,0.2,0
0.555572,-1,13.675,-33,359.9,0.2,0
0.5958158,-1,13.675,-33,359.9,0.2,0
0.6359205,-1,13.675,-33,359.9,0.2,0
0.6747649,-1,13.675,-33,359.9,0.2,0
0.7149516,-1,13.675,-33,359.9,0.2,0
0.7541245,-1,13.675,-33,359.9,0.2,0
0.7939141,-1,13.675,-33,359.9,0.2,0
0.8328047,-1,13.675,-33,359.9,0.2,0
0.8720791,-1,13.675,-33,359.9,0.2,0
0.9109404,-1,13.675,-33,359.5,0.3,0
0.9501712,-1,13.675,-33,358.9,0.5000001,4.169586E-10
0.9893547,-1,13.675,-33,357.4,1.2,-1.669245E-09
1.027968,-1,13.675,-33,354,2.700001,-1.341369E-08
1.067982,-1,13.675,-33,348.7,5.5,0
1.108208,-1,13.675,-33,345,8.300001,-1.104864E-07
1.147737,-1,13.675,-33,342.3,9.700001,-1.120248E-07
1.187193,-1,13.675,-33,340.4,10.4,2.265715E-07
1.224419,-1,13.675,-33,340,10.5,-2.271417E-07
1.262474,-1,13.675,-33,339.8,10.6,-2.274321E-07
1.298537,-1,13.675,-33,339.8,10.6,-2.274321E-07
1.333363,-1,13.675,-33,339.8,10.6,-2.274321E-07
1.36719,-0.9705678,13.675,-32.84273,339.8,10.6,-2.274321E-07
1.401567,-0.9411356,13.675,-32.68546,339.5,10.4,2.278742E-07
1.436536,-0.9122525,13.675,-32.52809,339.5,10.1,-2.278742E-07
1.470842,-0.8982232,13.675,-32.44933,339.5,9.600001,0
1.504759,-0.8715402,13.675,-32.29157,339.5,7.800001,-2.278742E-07
1.538587,-0.8498257,13.675,-32.13305,340.2,5.1,-5.671372E-08
1.572923,-0.8427141,13.675,-32.05337,340.6,3.500001,5.657292E-08
1.605745,-0.8329464,13.675,-31.89367,341,1.900001,-2.821777E-08
1.639842,-0.8276415,13.675,-31.73375,341.9,359.2,0
1.674607,-0.8287585,13.675,-31.65376,342.9,355.9,0
1.709887,-0.8401981,13.675,-31.49417,343.5,354.4,0
1.744965,-0.8558114,13.675,-31.33493,344.2,352.9,0
1.781132,-0.8755876,13.675,-31.17616,345.2,350.8,0
1.816905,-0.9011686,13.675,-31.01822,345.8,349.6,1.100853E-07
1.852955,-0.9156101,13.675,-30.93953,346.5,348.8,-1.097542E-07
1.890974,-0.9466876,13.675,-30.78258,347.5,348.9,0
1.927909,-0.9774911,13.675,-30.62557,348.2,349.3,0
1.96505,-1.007198,13.675,-30.46836,348.9,350.4,0
2.003086,-1.033881,13.675,-30.3106,349.5,352.5,-5.42696E-08
2.040957,-1.033881,13.675,-30.3106,350.2,354.8,2.707552E-08
2.0781,-1.033881,13.675,-30.3106,350.8,356.5,0
2.116062,-1.033881,13.675,-30.3106,351.9,357.4,0
2.155071,-1.033881,13.675,-30.3106,353.3,358.4,0
2.194191,-1.033881,13.675,-30.3106,354.1,359.1,-3.352814E-09
2.232995,-1.033881,13.675,-30.3106,354.7,359.8,8.373433E-10
2.272291,-1.033881,13.675,-30.3106,355.1,0.2000018,-8.368216E-10
2.311831,-1.033881,13.675,-30.3106,355.1,0.2000018,-8.368216E-10
