TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.05640032,-1,15.25291,-33,0,0,0
0.1076398,-1,15.18228,-33,359.8,0,0
0.1616478,-1,15.01747,-33,359.3,0.1,5.211409E-11
0.2177367,-1,14.78203,-33,359.1,0.1,0
0.2698291,-1,14.58583,-33,358.7,0.1,0
0.3215099,-1,14.23267,-33,358.4,0,0
0.3734612,-1,13.80888,-33,358,359.8,2.085679E-10
0.4255895,-1,13.675,-33,357.8,359.7,4.171892E-10
0.4776136,-1,13.675,-33,357.5,359.7,4.172789E-10
0.5294946,-1,13.675,-33,357.1,359.8,0
0.5815798,-1,13.675,-33,356.8,-1.334019E-08,-2.488689E-17
0.6337441,-1,13.675,-33,356.7,-1.334019E-08,0
0.6845515,-1,13.675,-33,356.6,-1.334019E-08,0
0.7365941,-1,13.675,-33,356.4,-1.334019E-08,0
0.7886757,-1,13.675,-33,356.2,-1.334019E-08,0
0.8405505,-1,13.675,-33,355.9,-1.334019E-08,-4.982368E-17
0.8924397,-1,13.675,-32.76,355.5,0.09999999,0
0.9445398,-0.9997208,13.675,-32.6,355.3,0.2,0
0.9966209,-0.998883,13.675,-32.36,355.1,0.3,-8.368216E-10
1.048719,-0.9980453,13.675,-32.2,354.9,0.4,0
1.099604,-0.9963697,13.675,-31.96001,354.5,0.5,0
1.151737,-0.9942754,13.675,-31.72002,354.1,0.7,0
1.203815,-0.9923207,13.675,-31.56003,354,0.8,6.706848E-09
1.255406,-0.9889697,13.675,-31.32006,353.9,0.8,0
1.307685,-0.9867358,13.675,-31.16007,353.9,0.8,0
1.359528,-0.9833848,13.675,-30.92009,353.9,0.8,0
1.410479,-0.9811509,13.675,-30.76011,353.9,0.8,0
1.462484,-0.9778,13.675,-30.52013,353.9,0.8,0
1.514541,-0.974449,13.675,-30.28016,353.9,0.8,0
1.566792,-0.9722151,13.675,-30.12017,353.9,0.8,0
1.617775,-0.9688642,13.675,-29.88019,353.9,0.8,0
1.66962,-0.9666302,13.675,-29.72021,353.9,0.8,0
1.721562,-0.9632793,13.675,-29.48023,353.8,0.7,0
1.773564,-0.9603472,13.675,-29.24025,353.8,0.7,0
1.825403,-0.9583925,13.675,-29.08026,353.8,0.7,0
1.877489,-0.9554604,13.675,-28.84028,353.8,0.7,0
1.929629,-0.9535057,13.675,-28.68029,353.8,0.7,0
1.981602,-0.9505736,13.675,-28.44031,353.8,0.7,0
2.033663,-0.9476416,13.675,-28.20033,353.8,0.7,0
2.084678,-0.9456868,13.675,-28.04034,353.8,0.7,0
2.136649,-0.9427547,13.675,-27.80036,353.8,0.7,0
2.188454,-0.9408,13.675,-27.64037,353.8,0.7,0
2.24056,-0.9378679,13.675,-27.40039,353.8,0.7,0
2.292438,-0.9349359,13.675,-27.16041,353.9,0.5,-3.354044E-09
2.343444,-0.9335396,13.675,-27.00041,354,0.3999999,1.676712E-09
2.396461,-0.9318641,13.675,-26.76042,354,0.3999999,1.676712E-09
2.448738,-0.9307471,13.675,-26.60042,354,0.3999999,1.676712E-09
2.500623,-0.9290716,13.675,-26.36043,354,0.3999999,1.676712E-09
2.553701,-0.9273961,13.675,-26.12043,354,0.3999999,1.676712E-09
2.607354,-0.9262791,13.675,-25.96044,354,0.3999999,1.676712E-09
