TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04367614,-1,15.25291,-33,0,0,0
0.081802,-1,15.18228,-33,0,0,0
0.1226907,-1,15.08026,-33,0,0,0
0.1662868,-1,14.94684,-33,359.8,0.09999999,-1.302763E-11
0.2050294,-1,14.78203,-33,359.1,0,0
0.2440851,-1,14.58583,-33,358.2,359.8,-2.085437E-10
0.2828422,-1,14.35824,-33,356.6,359.8,0
0.3218373,-1,14.09926,-33,354.3,359.8,0
0.3620938,-1,13.80888,-33,352.5,359.8,8.409577E-10
0.3998497,-1,13.675,-33,351.1,359.8,0
0.4377461,-1,13.675,-33,349.2,359.7,-3.395191E-09
0.4759613,-1,13.675,-33,346.5,359.1,0
0.5149456,-1,13.675,-33,344.1,358.1,0
0.552799,-1,13.675,-33,343.3,358,0
0.5898303,-1,13.675,-33,342.7,357.8,0
0.6277709,-1,13.675,-33,342.5,357.8,2.79752E-08
0.6644486,-1,13.675,-33,342.4,357.8,2.799065E-08
0.7014461,-1,13.675,-33,342.3,357.7,2.80062E-08
0.7385225,-1,13.675,-33,342.3,357.7,2.80062E-08
0.7746897,-1,13.675,-33,342.3,357.7,2.80062E-08
0.8126256,-1,13.675,-33,342.3,357.7,2.80062E-08
0.8487245,-1,13.675,-33,342.3,357.7,2.80062E-08
0.8858251,-1.006421,13.675,-32.84013,342.3,357.7,2.80062E-08
0.9223648,-1.012842,13.675,-32.68026,342.3,357.7,2.80062E-08
0.9586664,-1.016053,13.675,-32.60032,342.3,357.7,2.80062E-08
0.9956684,-1.022474,13.675,-32.44045,342.3,357.7,2.80062E-08
1.031671,-1.028895,13.675,-32.28058,342.3,357.7,2.80062E-08
1.068678,-1.035316,13.675,-32.12071,342.3,357.7,2.80062E-08
1.104761,-1.041737,13.675,-31.96084,342.3,357.7,2.80062E-08
1.14159,-1.048158,13.675,-31.80097,342.3,357.7,2.80062E-08
1.178741,-1.051369,13.675,-31.72103,342.3,357.7,2.80062E-08
1.215739,-1.05779,13.675,-31.56116,342.3,357.7,2.80062E-08
1.252562,-1.064211,13.675,-31.40129,342.3,357.7,2.80062E-08
1.289455,-1.070632,13.675,-31.24142,342.3,357.7,2.80062E-08
1.326798,-1.077053,13.675,-31.08155,342.3,357.7,2.80062E-08
1.363626,-1.083474,13.675,-30.92168,342.3,357.7,2.80062E-08
1.400857,-1.086685,13.675,-30.84174,342.3,357.7,2.80062E-08
1.437638,-1.093106,13.675,-30.68187,342.3,357.7,2.80062E-08
1.474611,-1.099527,13.675,-30.522,342.3,357.7,2.80062E-08
1.511478,-1.105948,13.675,-30.36213,342.3,357.7,2.80062E-08
1.548641,-1.112369,13.675,-30.20226,342.3,357.7,2.80062E-08
1.586575,-1.11879,13.675,-30.04239,342.3,357.7,2.80062E-08
1.623366,-1.125211,13.675,-29.88251,342.3,357.7,2.80062E-08
1.66055,-1.128422,13.675,-29.80258,342.3,357.7,2.80062E-08
1.697593,-1.134843,13.675,-29.64271,342.3,357.7,2.80062E-08
1.734836,-1.141264,13.675,-29.48284,342.3,357.7,2.80062E-08
1.772646,-1.147685,13.675,-29.32296,342.3,357.7,2.80062E-08
1.809283,-1.154106,13.675,-29.16309,342.3,357.7,2.80062E-08
1.84678,-1.160527,13.675,-29.00322,342.3,357.7,2.80062E-08
1.884691,-1.166948,13.675,-28.84335,342.3,357.7,2.80062E-08
1.921847,-1.173369,13.675,-28.68348,342.3,357.7,2.80062E-08
1.95878,-1.175603,13.675,-28.60351,342.6,358.4,-2.795986E-08
1.996845,-1.176441,13.675,-28.44351,343.3,359.7,3.481911E-09
2.033836,-1.171694,13.675,-28.28358,344.2,1.7,2.772804E-08
