TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.0664679,-1,15.22152,-33,0,0,0
0.1269211,-1,15.08026,-33,0,0,0
0.1936713,-1,14.86836,-33,359.7,359.7,0
0.254439,-1,14.58583,-33,358.9,359.2,0
0.3160448,-1,14.23267,-33,357.3,358.3,0
0.3749293,-1,13.80888,-33,356.4,357.8,-6.683294E-09
0.4389915,-1,13.675,-33,356,357.7,-6.686394E-09
0.495709,-1,13.675,-33,355.2,357.3,0
0.5573496,-1,13.675,-33,354.9,357.2,0
0.61814,-1,13.675,-33,354.9,357.2,0
0.6791869,-1,13.675,-33,353.9,357.5,1.341618E-08
0.738618,-1,13.675,-33,353,358.3,6.720198E-09
0.798497,-1,13.675,-33,352.6,358.7,0
0.8580983,-1,13.675,-33,352.6,358.7,0
0.9168032,-1,13.675,-33,352.6,358.7,0
0.9777942,-1.005445,13.675,-32.76006,352.6,358.7,0
1.037866,-1.01089,13.675,-32.52012,352.6,358.7,0
1.096287,-1.017172,13.675,-32.2802,352.5,358.5,6.727661E-09
1.156008,-1.023455,13.675,-32.04029,352.5,358.5,6.727661E-09
1.214308,-1.029737,13.675,-31.80037,352.5,358.5,6.727661E-09
1.275794,-1.03602,13.675,-31.56045,352.5,358.5,6.727661E-09
1.335775,-1.042302,13.675,-31.32054,352.5,358.5,6.727661E-09
1.395496,-1.048585,13.675,-31.08062,352.5,358.5,6.727661E-09
1.455818,-1.054867,13.675,-30.8407,352.5,358.5,6.727661E-09
1.517985,-1.06115,13.675,-30.60078,352.5,358.5,6.727661E-09
1.57727,-1.067851,13.675,-30.36087,352.5,358.4,6.727662E-09
1.638186,-1.074552,13.675,-30.12097,352.5,358.4,6.727662E-09
1.69939,-1.081253,13.675,-29.88106,352.5,358.4,6.727662E-09
1.762001,-1.087954,13.675,-29.64116,352.5,358.4,6.727662E-09
1.823151,-1.094656,13.675,-29.40125,352.5,358.4,6.727662E-09
1.884631,-1.103591,13.675,-29.08138,352.5,358.4,6.727662E-09
1.945935,-1.110292,13.675,-28.84147,352.5,358.4,6.727662E-09
2.008537,-1.116993,13.675,-28.60156,352.5,358.4,6.727662E-09
2.06974,-1.123694,13.675,-28.36165,352.5,358.4,6.727662E-09
2.13429,-1.130395,13.675,-28.12175,352.5,358.4,6.727662E-09
2.195535,-1.137097,13.675,-27.88184,352.5,358.4,6.727662E-09
2.26001,-1.143798,13.675,-27.64194,352.2,358.4,0
2.321256,-1.149243,13.675,-27.402,351.8,358.7,0
2.383357,-1.152594,13.675,-27.16202,351.3,359.2,0
2.447946,-1.155386,13.675,-26.84203,350.9,359.5,0
2.508887,-1.155386,13.675,-26.60203,350.4,-1.004766E-07,-8.064319E-16
2.572311,-1.153711,13.675,-26.36204,349.6,0.3999999,0
2.635571,-1.15036,13.675,-26.12206,348.8,0.7999999,0
2.698443,-1.14659,13.675,-25.88209,348.2,0.9,6.814106E-09
2.761387,-1.14282,13.675,-25.64212,347.9,0.9,6.821662E-09
2.824565,-1.137235,13.675,-25.32217,347.4,0.9999999,6.834708E-09
2.886589,-1.133047,13.675,-25.08221,347,1,0
2.951706,-1.128858,13.675,-24.84224,346.9,1,0
3.013897,-1.129696,13.675,-24.60225,346.7,359.8,0
3.077918,-1.141002,13.675,-24.36251,346.4,357.3,0
3.141354,-1.159832,13.675,-24.12325,346.4,355.5,5.49002E-08
3.203929,-1.199938,13.675,-23.80577,346.8,352.8,0
3.266614,-1.239963,13.675,-23.56914,347.5,350.4,0
3.33212,-1.288222,13.675,-23.33404,348.2,348.4,2.180514E-07
3.393615,-1.347095,13.68459,-23.10137,348.8,345.8,-1.087937E-07
3.456918,-1.414767,13.71933,-22.87374,348.9,343.8,0
3.519012,-1.492512,13.75358,-22.64928,349,341.3,-1.087192E-07
3.581804,-1.58331,13.78709,-22.42966,348.8,338,2.175873E-07
3.643664,-1.68302,13.82002,-22.21386,348.8,335.7,-2.175873E-07
3.704026,-1.823091,13.86343,-21.92943,348.7,334.3,2.176629E-07
3.763288,-1.896145,13.8849,-21.78871,348.6,333.1,2.177391E-07
3.820856,-2.007223,13.91699,-21.5784,348.5,332.7,2.178161E-07
3.880821,-2.118675,13.94906,-21.36828,348.5,332.6,-2.178161E-07
3.936116,-2.230128,13.98112,-21.15816,348.5,332.6,-2.178161E-07
3.9929,-2.341579,14.01318,-20.94804,348.5,332.6,-2.178161E-07
4.050979,-2.453032,14.04525,-20.73792,348.5,332.6,-2.178161E-07
4.105892,-2.564484,14.07731,-20.5278,348.5,332.6,-2.178161E-07
4.16382,-2.676309,14.10934,-20.31787,348.6,332.5,0
4.220737,-2.745077,14.13114,-20.17506,349.2,334.8,0
4.276683,-2.839801,14.16531,-19.95715,349.8,337,-2.168709E-07
4.333268,-2.872224,14.20045,-19.73778,349.8,337.6,0
4.391996,-2.864605,14.2303,-19.48147,349.8,338.3,2.168709E-07
4.45222,-2.952355,14.27687,-19.2609,349.9,338.8,-2.168031E-07
4.515303,-3.037738,14.31235,-19.03942,350.1,339.4,-1.083349E-07
4.578431,-3.116364,14.34823,-18.81553,350.2,341.1,1.083021E-07
4.638346,-3.186542,14.38454,-18.58891,350.2,343.2,1.083021E-07
4.7013,-3.251845,14.42107,-18.36087,350.2,344.4,0
4.764233,-3.332923,14.47005,-18.05521,350.2,345.5,0
4.827691,-3.392092,14.50685,-17.82555,350.1,345.9,0
4.89437,-3.441355,14.54401,-17.59361,350.4,348.3,1.082375E-07
4.958869,-3.473915,14.58163,-17.35883,351.1,352.3,-5.401116E-08
5.025004,-3.509472,14.63194,-17.04482,351.1,353.7,5.401115E-08
5.087945,-3.52431,14.66984,-16.80829,351.1,356.5,0
5.154656,-3.411822,14.69006,-16.68211,350.7,0.4000001,0
5.223488,-3.286652,14.71122,-16.55005,350,5,2.709201E-08
5.28881,-3.109603,14.74043,-16.36775,349.7,8.299999,-5.423485E-08
5.355199,-2.970275,14.76423,-16.21917,349.3,13.8,0
5.418962,-2.823321,14.79009,-16.0568,349.4,21.9,0
5.485463,-2.613343,14.82407,-15.83413,349.5,29.1,-4.341568E-07
5.549415,-2.452402,14.85002,-15.66405,349,33.8,0
5.613031,-2.28823,14.87592,-15.49438,348.4,36.60001,-2.178938E-07
5.671721,-2.123489,14.90208,-15.32294,347.8,40,4.367504E-07
5.731023,-1.956152,14.92791,-15.15362,347.1,41,0
5.786602,-1.787827,14.9536,-14.9853,346.7,41,0
5.83914,-1.675611,14.97072,-14.87308,346.7,41,0
5.888696,-1.507328,14.9964,-14.70479,346.4,40.8,4.392016E-07
5.938522,-1.395249,15.01351,-14.59271,346.3,40.1,-4.393878E-07
5.986683,-1.227871,15.03914,-14.42473,346.3,38.5,0
6.036582,-1.116709,15.0561,-14.31357,346.8,36.2,0
6.087153,-0.9505445,15.08146,-14.1474,347.5,35,2.186257E-07
6.138992,-0.8400168,15.09833,-14.03687,347.8,34.3,-2.183752E-07
6.195282,-0.6745068,15.12358,-13.87136,348.1,33.8,-2.181312E-07
6.253935,-0.5097244,15.14873,-13.70658,348.7,32.6,0
6.312284,-0.345813,15.17374,-13.54267,349.7,31.3,0
6.373361,-0.1824803,15.19866,-13.37934,350.5,30.5,0
6.432218,-0.01991621,15.22347,-13.21677,351.6,29.5,0
6.496418,0.1422446,15.24822,-13.05461,352.1,29,0
6.560378,0.3038197,15.27287,-12.89304,352.5,28.3,1.076426E-07
6.62489,0.517716,15.30551,-12.67914,353.2,27,1.074778E-07
6.690382,0.674943,15.3295,-12.52191,354.6,23.8,0
6.756031,0.8287188,15.35297,-12.36814,355.6,20.8,0
6.821533,0.9808646,15.37619,-12.21599,355.9,19.5,-5.349776E-08
6.890033,1.17988,15.40702,-12.01698,356.8,17.3,0
6.953494,1.325511,15.43035,-11.87135,358.2,14.9,0
7.01991,1.466762,15.45298,-11.73009,359.4,12.1,-6.670473E-09
7.086969,1.641548,15.48099,-11.55531,0.7999931,6.299997,-3.335379E-09
7.151967,1.765828,15.5009,-11.43103,1.699993,2.799997,-3.336522E-09
7.219973,1.882608,15.51961,-11.31425,2.899993,359.2,0
7.285172,2.025985,15.54336,-11.16603,3.999994,355,-1.337279E-08
7.35202,2.122229,15.57095,-10.99386,4.999993,350,0
7.41843,2.13591,15.59509,-10.7656,4.999993,344.9,-5.356468E-08
7.487741,2.022775,15.65462,-10.47164,4.999993,337.3,0
7.552125,1.904556,15.68767,-10.26541,4.999993,330.8,0
7.618004,1.768833,15.71898,-10.06997,4.599993,325.9,0
7.685431,1.567647,15.75835,-9.824254,3.499993,321.4,0
7.736152,1.460045,15.77709,-9.707332,2.299993,318.1,0
7.791039,1.292237,15.80423,-9.53791,1.599993,316,-5.338166E-08
7.850807,1.119995,15.83067,-9.372885,1.299993,314.5,0
7.899046,1.004779,15.84824,-9.263265,1.199993,314.3,0
7.931238,0.8889827,15.8657,-9.154241,1.299993,314,0
7.958912,0.8307967,15.87439,-9.100029,1.199993,313.7,-2.668628E-08
7.984973,0.7142333,15.89173,-8.991805,1.099993,313.6,-5.337068E-08
8.01011,0.6558562,15.90039,-8.937794,0.9999931,313.5,0
8.033556,0.597479,15.90904,-8.883782,0.9999931,313.5,0
8.057818,0.5391018,15.91769,-8.829771,0.9999931,313.5,0
8.081835,0.4807247,15.92635,-8.775761,0.9999931,313.5,0
8.104393,0.3639704,15.94366,-8.667738,0.9999931,313.5,0
8.127293,0.3055932,15.95231,-8.613727,0.9999931,313.5,0
8.150359,0.2472161,15.96096,-8.559715,0.9999931,313.5,0
8.173152,0.1888389,15.96962,-8.505704,0.9999931,313.5,0
8.196363,0.1304618,15.97827,-8.451693,0.9999931,313.5,0
8.218152,0.07208459,15.98693,-8.397681,0.9999931,313.5,0
8.241138,0.01370744,15.99558,-8.34367,0.9999931,313.5,0
8.263064,-0.04466973,16.00423,-8.28966,0.9999931,313.5,0
8.285839,-0.161424,16.02154,-8.181637,0.9999931,313.5,0
8.30932,-0.21961,16.03023,-8.127424,0.9999933,313.7,0
8.330548,-0.2776042,16.03891,-8.073012,0.8999931,313.9,2.668372E-08
8.352369,-0.3354699,16.04725,-8.018404,0.899993,314,0
8.375662,-0.3931426,16.05561,-7.963596,0.8999931,314.2,2.668372E-08
8.399047,-0.4506215,16.064,-7.908589,0.9999933,314.4,0
8.421141,-0.5079058,16.07243,-7.853384,1.099993,314.6,2.668534E-08
8.443886,-0.6224744,16.08928,-7.742976,1.099993,314.6,2.668534E-08
8.466666,-0.6797588,16.0977,-7.687771,1.099993,314.6,2.668534E-08
8.490785,-0.7369456,16.10614,-7.632468,1.099993,314.7,2.668534E-08
8.51471,-0.7941324,16.11458,-7.577165,1.099993,314.7,2.668534E-08
