TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.01659132,3.308821,22.27023,43.12697,0.4999961,24.09999,-6.67036E-09
0.03326115,3.308821,22.27023,43.12697,0.399996,23.99999,0
0.0499628,3.308821,22.27023,43.12697,0.399996,23.99999,0
0.06666393,3.308821,22.27023,43.12697,0.399996,23.99999,0
0.08340098,3.308821,22.27023,43.12697,0.399996,23.99999,0
0.09997331,3.308821,22.27023,43.12697,0.399996,23.99999,0
0.1168592,3.308821,22.27023,43.12697,0.399996,23.99999,0
0.1333202,3.308821,22.27023,43.12697,0.399996,23.99999,0
0.1500783,3.308821,22.27023,43.12697,0.399996,23.99999,0
0.1667137,3.308821,22.27023,43.12697,0.399996,23.99999,0
0.1832686,3.308821,22.27023,43.12697,0.399996,23.99999,0
0.2000677,3.308821,22.27023,43.12697,0.399996,23.99999,0
0.2166211,3.308821,22.27023,43.12697,0.399996,23.99999,0
0.2333792,3.308821,22.27023,43.12697,0.399996,23.99999,0
0.2499536,3.308821,22.27023,43.12697,0.399996,23.99999,0
0.2666434,3.308821,22.27023,43.12697,0.399996,23.99999,0
0.2834744,3.308821,22.27023,43.12697,0.399996,23.99999,0
0.2999733,3.308821,22.27023,43.12697,0.399996,23.99999,0
0.3166678,3.308821,22.27023,43.12697,0.399996,23.99999,0
0.333411,3.308821,22.27023,43.12697,0.399996,23.99999,0
0.349934,3.308821,22.27023,43.12697,0.399996,23.99999,0
0.3666706,3.308821,22.27023,43.12697,0.399996,23.99999,0
0.3831926,3.308821,22.27023,43.12697,0.399996,23.99999,0
0.3999374,3.308821,22.27023,43.12697,0.399996,23.99999,0
0.4167171,3.308821,22.27023,43.12697,0.399996,23.99999,0
0.4337666,3.308821,22.27023,43.12697,0.4999961,23.79999,0
0.4501013,3.308821,22.27023,43.12697,0.4999961,23.79999,0
0.4666803,3.308821,22.27023,43.12697,0.4999961,23.79999,0
0.4835498,3.308821,22.27023,43.12697,0.4999961,23.79999,0
0.5000651,3.308821,22.27023,43.12697,0.4999961,23.79999,0
0.5167843,3.308821,22.27023,43.12697,0.4999961,23.79999,0
0.533684,3.308821,22.27023,43.12697,0.599996,23.59999,0
0.5502753,3.308821,22.27023,43.12697,0.5999961,23.19999,1.334094E-08
0.5670103,3.308821,22.27023,43.12697,0.599996,22.89999,0
0.5836858,3.308821,22.27023,43.12697,0.5999961,22.29999,-1.334094E-08
0.6005234,3.308821,22.27023,43.12697,0.599996,21.49999,0
0.6171291,3.308821,22.27023,43.12697,0.599996,20.79999,6.670473E-09
0.6337804,3.308821,22.27023,43.12697,0.6999958,20.09999,-1.334121E-08
0.6504287,3.308821,22.27023,43.12697,0.799996,19.49999,0
0.6670826,3.308821,22.27023,43.12697,0.9999961,18.99999,0
0.6837555,3.308821,22.27023,43.12697,1.099996,18.79999,1.334267E-08
0.7002745,3.308821,22.27023,43.12697,1.299996,18.5,2.668729E-08
0.7170962,3.334073,22.27023,43.20288,1.299996,18.4,0
0.7339908,3.35906,22.27024,43.27888,1.499996,18.19999,0
0.7504399,3.383914,22.27023,43.35492,1.599996,18.1,2.669083E-08
0.7673104,3.408635,22.27023,43.43101,1.799996,18,0
0.7838084,3.433224,22.27023,43.50713,2.099996,17.9,2.669836E-08
0.8004556,3.433224,22.27023,43.50713,2.199996,17.9,2.67001E-08
0.8171747,3.45768,22.27023,43.58331,2.399996,17.8,-2.670385E-08
0.8337383,3.482002,22.27024,43.65952,2.499996,17.7,2.670585E-08
0.8502958,3.506325,22.27023,43.73573,2.499996,17.7,2.670585E-08
0.8670698,3.530648,22.27024,43.81194,2.499996,17.7,2.670585E-08
0.8837289,3.55497,22.27023,43.88816,2.499996,17.7,2.670585E-08
0.9002258,3.55497,22.27023,43.88816,2.599996,17.7,0
0.9169335,3.579293,22.27023,43.96437,2.699996,17.7,-2.671008E-08
0.9336388,3.603615,22.27023,44.04058,2.699996,17.7,-2.671008E-08
0.9503891,3.627938,22.27023,44.11679,2.699996,17.7,-2.671008E-08
0.966904,3.652261,22.27024,44.19301,2.699996,17.7,-2.671008E-08
0.9836687,3.676583,22.27023,44.26922,2.699996,17.7,-2.671008E-08
0.9999593,3.676583,22.27023,44.26922,2.699996,17.7,-2.671008E-08
1.016992,3.700906,22.27023,44.34544,2.699996,17.7,-2.671008E-08
1.033713,3.725229,22.27023,44.42165,2.799996,17.7,-2.671231E-08
1.050318,3.749551,22.27023,44.49786,2.899996,17.7,0
1.066938,3.773741,22.27024,44.57412,3.099996,17.6,5.343905E-08
1.083664,3.79793,22.27023,44.65037,3.099996,17.6,5.343905E-08
1.100027,3.79793,22.27023,44.65037,3.099996,17.6,5.343905E-08
1.11689,3.82212,22.27023,44.72663,3.099996,17.6,5.343905E-08
1.133443,3.84631,22.27023,44.80288,3.099996,17.6,5.343905E-08
1.150164,3.870499,22.27023,44.87914,3.099996,17.6,5.343905E-08
1.167248,3.894689,22.27024,44.95539,3.099996,17.6,5.343905E-08
1.183609,3.894689,22.27023,44.95539,3.099996,17.6,5.343905E-08
1.200427,3.894689,22.27023,44.95539,3.099996,17.6,5.343905E-08
1.216922,3.894689,22.27023,44.95539,3.299996,17.6,0
1.233581,3.894689,22.27023,44.95539,3.499996,17.6,5.346056E-08
1.250181,3.894689,22.27023,44.95539,3.599996,17.6,0
1.266835,3.894689,22.27023,44.95539,3.599996,17.6,0
1.283565,3.894689,22.27023,44.95539,3.599996,17.6,0
1.299995,3.894689,22.27023,44.95539,3.599996,17.6,0
1.316792,3.894689,22.27023,44.95539,3.699995,17.6,0
1.333447,3.894689,22.27023,44.95539,3.699995,17.6,0
1.350135,3.894689,22.27023,44.95539,3.699995,17.6,0
1.366737,3.894689,22.27023,44.95539,3.699995,17.6,0
1.383451,3.894689,22.27023,44.95539,3.699995,17.6,0
1.399915,3.894689,22.27023,44.95539,3.699995,17.6,0
1.416907,3.894689,22.27023,44.95539,3.699995,17.6,0
1.433626,3.894689,22.27023,44.95539,3.699995,17.6,0
1.4501,3.894689,22.27023,44.95539,3.699995,17.6,0
1.466763,3.894689,22.27023,44.95539,3.699995,17.6,0
1.483537,3.894689,22.27023,44.95539,3.699995,17.6,0
1.500034,3.894689,22.27023,44.95539,3.699995,17.6,0
1.516852,3.894689,22.27023,44.95539,3.699995,17.6,0
1.533606,3.894689,22.27023,44.95539,3.699995,17.6,0
1.549891,3.894689,22.27023,44.95539,3.699995,17.6,0
1.566759,3.894689,22.27023,44.95539,3.699995,17.6,0
1.583444,3.894689,22.27023,44.95539,3.699995,17.6,0
1.599951,3.894689,22.27023,44.95539,3.699995,17.6,0
1.61679,3.894689,22.27023,44.95539,3.699995,17.6,0
1.633478,3.894689,22.27023,44.95539,3.699995,17.6,0
1.649985,3.894689,22.27023,44.95539,3.699995,17.6,0
1.666918,3.894689,22.27023,44.95539,3.699995,17.6,0
1.68367,3.894689,22.27023,44.95539,3.699995,17.6,0
1.700111,3.894689,22.27023,44.95539,3.699995,17.6,0
1.716756,3.894689,22.27023,44.95539,3.699995,17.6,0
1.733526,3.894689,22.27023,44.95539,3.699995,17.6,0
1.749994,3.894689,22.27023,44.95539,3.699995,17.6,0
1.766778,3.894689,22.27023,44.95539,3.699995,17.6,0
1.783406,3.894689,22.27023,44.95539,3.699995,17.6,0
1.80007,3.894689,22.27023,44.95539,3.699995,17.6,0
1.816702,3.894689,22.27023,44.95539,3.699995,17.6,0
1.833497,3.894689,22.27023,44.95539,3.699995,17.6,0
1.849944,3.894689,22.27023,44.95539,3.699995,17.6,0
1.866754,3.894689,22.27023,44.95539,3.799996,17.7,0
1.883698,3.894689,22.27023,44.95539,3.799995,17.9,0
1.900281,3.894689,22.27023,44.95539,3.699996,18.1,5.347231E-08
1.91712,3.919808,22.27023,45.03135,3.599997,18.3,5.346636E-08
1.933449,3.945457,22.27023,45.10712,3.599997,18.7,0
1.950273,3.971106,22.27023,45.1829,3.599997,18.7,0
1.966867,3.99702,22.27024,45.25859,3.499996,18.9,0
1.983333,4.022933,22.27023,45.33427,3.499996,18.9,0
1.999884,4.022933,22.27023,45.33427,3.499996,18.9,0
2.016741,4.048846,22.27023,45.40996,3.499996,18.9,0
2.033307,4.07476,22.27023,45.48565,3.499996,18.9,0
2.050039,4.100673,22.27023,45.56133,3.499996,18.9,0
2.066693,4.126586,22.27024,45.63702,3.499996,18.9,0
2.083458,4.1525,22.27023,45.71271,3.499996,18.9,0
2.099858,4.1525,22.27023,45.71271,3.499996,18.9,0
2.116745,4.178413,22.27023,45.78839,3.499996,18.9,0
2.133188,4.204327,22.27023,45.86408,3.499996,18.9,0
2.149936,4.23024,22.27023,45.93977,3.499996,18.9,0
2.166668,4.256154,22.27024,46.01545,3.499996,18.9,0
2.183327,4.282067,22.27023,46.09114,3.499996,18.9,0
2.216786,4.307981,22.27024,46.16683,3.499996,18.9,0
2.250073,4.359807,22.27023,46.3182,3.499996,18.9,0
2.283314,4.411634,22.27023,46.46957,3.499996,18.9,0
2.287446,4.411634,22.27023,46.46957,3.499996,18.9,0
2.316684,4.437547,22.27699,46.54526,3.499996,18.9,0
2.350128,4.487125,22.28,46.69693,3.299996,18,5.344948E-08
2.366792,4.50998,22.2803,46.7736,3.199997,16.6,0
2.383454,4.531791,22.281,46.85046,3.199996,15.8,0
2.400003,4.531791,22.281,46.85046,3.199996,14.9,0
2.416693,4.550059,22.281,46.92834,3.199996,13.2,0
2.433295,4.566419,22.281,47.00665,3.199997,11.8,0
2.466625,4.596948,22.281,47.16372,3.199997,11,0
2.471086,4.596948,22.281,47.16372,3.199996,9.300001,0
2.483383,4.609463,22.281,47.24273,3.199997,9.000001,0
2.500132,4.609463,22.281,47.24273,3.199996,8.700002,0
2.516623,4.620873,22.281,47.32191,3.299997,8.200002,0
2.533513,4.631731,22.281,47.40117,3.299997,7.800002,2.672474E-08
2.550255,4.641757,22.281,47.48054,3.299997,7.200001,0
2.566656,4.650813,22.281,47.56003,3.299997,6.500001,0
2.583283,4.659037,22.281,47.6396,3.199996,5.900001,0
2.600132,4.659037,22.281,47.6396,3.199996,5.000001,0
2.61696,4.664617,22.281,47.71941,3.199997,4.000001,1.336104E-08
2.633484,4.668386,22.281,47.79932,3.199996,2.700001,0
2.650379,4.668386,22.281,47.79932,3.199996,1.100001,0
2.666937,4.668386,22.281,47.79932,2.899996,359.3,0
2.683634,4.668386,22.281,47.79932,2.699996,357.4,0
2.700292,4.668386,22.281,47.79932,2.399996,355.4,-1.335193E-08
2.717056,4.668386,22.281,47.79932,2.099996,353.3,0
2.733658,4.668386,22.281,47.79932,1.699996,350,0
2.750472,4.668386,22.281,47.79932,1.699996,348,-1.334609E-08
2.784243,4.668386,22.281,47.79932,1.699996,346,0
2.800399,4.668386,22.281,47.79932,1.699996,342.1,0
2.81708,4.668386,22.281,47.79932,1.699996,340.5,0
2.833989,4.668386,22.281,47.79932,1.699996,339.3,0
2.850266,4.668386,22.281,47.79932,1.699996,338,2.669217E-08
2.866996,4.668386,22.281,47.79932,1.699996,336.8,2.669217E-08
2.883815,4.668386,22.281,47.79932,1.699996,335.7,0
2.900394,4.668386,22.281,47.79932,1.699996,334.5,5.338434E-08
2.917262,4.668386,22.281,47.79932,1.699996,333,0
2.950778,4.668386,22.281,47.79932,1.699996,330.2,-2.669217E-08
2.967266,4.668386,22.281,47.79932,1.699996,326.3,0
2.984024,4.668386,22.281,47.79932,1.699996,324.3,0
3.000511,4.668386,22.281,47.79932,1.699996,322.4,-5.338434E-08
3.017191,4.668386,22.281,47.79932,1.399996,320.4,-2.668839E-08
3.033731,4.668386,22.281,47.79932,0.7999963,318.1,0
3.050481,4.668386,22.281,47.79932,0.5999964,316.3,-1.334094E-08
3.067166,4.668386,22.281,47.79932,0.3999963,315.1,0
3.100503,4.668386,22.281,47.79932,0.09999633,314.2,0
3.117167,4.668386,22.281,47.79932,359.3,312.5,0
3.133947,4.668386,22.281,47.79932,358.8,311.4,0
3.150314,4.668386,22.281,47.79932,358.4,310.4,5.338166E-08
3.166995,4.668386,22.281,47.79932,358.2,309.9,0
3.183766,4.668386,22.281,47.79932,358.2,309.7,5.338719E-08
3.200324,4.668386,22.281,47.79932,358.1,309.6,0
3.216998,4.668386,22.281,47.79932,358,309.3,0
3.250419,4.668386,22.281,47.79932,358,309.2,-1.067868E-07
3.266968,4.668386,22.281,47.79932,357.6,308.2,-1.068154E-07
3.283986,4.668386,22.281,47.79932,357.6,307.9,-1.068154E-07
3.300147,4.668386,22.281,47.79932,357.6,307.5,1.068154E-07
3.317068,4.668386,22.281,47.79932,357.5,307.1,0
3.333644,4.668386,22.281,47.79932,357.1,305.7,0
3.350276,4.668386,22.281,47.79932,356.7,304.8,0
3.367072,4.668386,22.281,47.79932,356.5,303.8,1.069211E-07
3.383593,4.668386,22.281,47.79932,356.3,302.7,-1.069446E-07
3.400159,4.668386,22.281,47.79932,356.1,301.6,-1.069694E-07
3.416946,4.668386,22.281,47.79932,356,300.3,0
3.433428,4.668386,22.281,47.79932,356,299,1.069823E-07
3.449977,4.668386,22.281,47.79932,356,297.7,-1.069823E-07
3.466813,4.668386,22.281,47.79932,356,296.5,0
3.500043,4.668386,22.281,47.79932,356.4,295.5,0
3.516554,4.668386,22.281,47.79932,357.4,294.2,-1.068317E-07
