TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02661067,-1,15.27646,-33,0,0,0
0.0497796,-1,15.25291,-33,0,0,0
0.07602438,-1,15.22152,-33,359.9,0.1,-6.513785E-12
0.1019536,-1,15.18228,-33,359.5,0.4,-2.084488E-10
0.1248947,-1,15.08026,-33,359.4,0.5000001,-4.169045E-10
0.148997,-1,15.01747,-33,359.3,0.6,0
0.1718093,-1,14.94684,-33,359.1,0.7,-4.16933E-10
0.1948423,-1,14.86836,-33,359.1,0.7,-4.16933E-10
0.219427,-1,14.78203,-33,358.9,0.8,0
0.2417251,-1,14.68786,-33,358.8,0.9,0
0.264637,-1,14.47596,-33,358.8,0.9,0
0.2878444,-1,14.35824,-33,358.8,0.9,0
0.3118015,-1,14.23267,-33,358.6,0.9,-8.340121E-10
0.3350818,-1,14.09926,-33,358.3,0.9,0
0.3580953,-1,13.95799,-33,357.8,1,1.668757E-09
0.3810271,-1,13.80888,-33,357.3,1,0
0.404254,-1,13.675,-33,356.9,1,0
0.4280341,-1,13.675,-33,356.8,1,-3.340261E-09
0.4510096,-1,13.675,-33,356.7,1,0
0.4738722,-1,13.675,-33,356.4,1,-3.341647E-09
0.4968025,-1,13.675,-33,356.2,0.9,0
0.5198231,-1,13.675,-33,356.2,0.9,0
0.5427606,-0.9974868,13.675,-32.84002,356.2,0.9,0
0.5657433,-0.9962302,13.675,-32.76003,356.2,0.9,0
0.5889584,-0.9949737,13.675,-32.68004,356.2,0.9,0
0.6117917,-0.9937171,13.675,-32.60005,356.2,0.9,0
0.6360557,-0.9924605,13.675,-32.52006,356.2,0.9,0
0.6588588,-0.9912039,13.675,-32.44007,356.2,0.9,0
0.6816593,-0.9899473,13.675,-32.36008,356.2,0.9,0
0.7048534,-0.9874341,13.675,-32.2001,356.2,0.9,0
0.7278011,-0.9861776,13.675,-32.12011,356.2,0.9,0
0.7507417,-0.984921,13.675,-32.04012,356.2,0.9,0
0.7738963,-0.9836644,13.675,-31.96013,356.2,0.9,0
0.7968184,-0.9824078,13.675,-31.88014,356.2,0.9,0
0.8209413,-0.9811512,13.675,-31.80015,356.2,0.9,0
0.8438526,-0.9786381,13.675,-31.64017,356.2,0.9,0
0.8668866,-0.9773815,13.675,-31.56018,356.2,0.9,0
0.8900288,-0.9761249,13.675,-31.48019,356.2,0.9,0
0.9127652,-0.9748683,13.675,-31.4002,356.2,0.9,0
0.9371467,-0.9736117,13.675,-31.32021,356.2,0.9,0
0.9599313,-0.9723551,13.675,-31.24022,356.2,0.9,0
0.9828345,-0.969842,13.675,-31.08024,356.2,0.9,0
1.006013,-0.9685854,13.675,-31.00025,356.2,0.9,0
1.029834,-0.9673288,13.675,-30.92026,356.2,0.9,0
1.052852,-0.9660722,13.675,-30.84027,356.2,0.9,0
