TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03684502,-1,15.27646,-33,0,0.3,0
0.0661636,-1,15.22152,-33,359.9,0.4,-2.605514E-11
0.0981978,-1,15.18228,-33,359.9,0.4,-2.605514E-11
0.1330764,-1,15.08026,-33,359.8,0.5,0
0.1641602,-1,14.94684,-33,359.8,0.5,0
0.1971119,-1,14.86836,-33,359.6,0.5,-1.04223E-10
0.2260765,-1,14.68786,-33,359.4,0.5000001,-4.169045E-10
0.2589065,-1,14.58583,-33,358.8,0.3,2.084865E-10
0.2881841,-1,14.35824,-33,358.4,0.2,0
0.3199207,-1,14.23267,-33,358.1,0.1,1.042777E-10
0.3511677,-1,13.95799,-33,357.4,359.9,2.086556E-10
0.3830017,-1,13.675,-33,356.4,359.5,0
0.4140912,-1,13.675,-33,355.6,359.2,3.344912E-09
0.4452249,-1,13.675,-33,355.1,359.1,0
0.4761465,-1,13.675,-33,354.7,358.9,6.698746E-09
0.5069461,-1,13.675,-33,354.7,358.9,6.698746E-09
0.5381808,-1,13.675,-33,354.7,358.9,6.698746E-09
0.5700323,-1,13.675,-33,354.7,358.9,6.698746E-09
0.6031462,-1,13.675,-33,354.7,358.9,6.698746E-09
0.633878,-1,13.675,-33,354.7,358.9,6.698746E-09
0.6639668,-1,13.675,-33,354.7,358.9,6.698746E-09
0.6950378,-1,13.675,-33,354.5,358.9,0
0.7260745,-1,13.675,-33,354,358.8,0
0.7573389,-1,13.675,-33,353.5,358.7,-6.713261E-09
0.7863055,-1,13.675,-33,353.1,358.7,6.718768E-09
0.8168464,-1,13.675,-33,353,358.7,-6.720198E-09
0.8479898,-1,13.675,-33,352.9,358.7,-6.721649E-09
0.8777887,-1,13.675,-33,352.9,358.7,-6.721649E-09
0.9109697,-1,13.675,-33,352.8,358.7,0
0.9398737,-1,13.675,-33,352.8,358.7,0
0.9719936,-1,13.675,-33,352.8,358.7,0
1.002985,-1,13.675,-33,352.8,358.7,0
1.034204,-1,13.675,-33,352.8,358.7,0
1.065054,-1,13.675,-33,352.5,358.5,6.727663E-09
1.095863,-1,13.675,-33,352.4,358.4,-6.72922E-09
1.12709,-1.004467,13.675,-32.84006,352.3,358.4,-6.730797E-09
