Cube,LivingRoom
Pineapple,None
Apple,ArtStudio
Wheels,MeetingRoom
OrangeJuice,None
PiggyBank,None
CottonSticks,None
Leaf,Kitchen
MechanicalGloves,Kindergarten
Honey,None
Clamps,None
Buiscuits,None
Recorder,Office
ShowerHead,Bedroom
FirstAidKit,None
Cocktail,Kindergarten
Mouse,Kitchen
JBLSpeaker,StorageRoom
Mushroom,None
Weimeng,SPA
Cucumber,Bedroom
Vanish,Library
OldRadio,None
Cabbaage,None
EggBeater,Library
Cake,KTV
Cupcake,Office
Openner,None
Strawberries,Office
Jam,Library
RockingHorse,None
PaperCoffeeCup,None
Basketball,Cafe
Burger,ArtStudio
ToothBrush,MeetingRoom
Dish,Library
Controller,None
Jug,KTV
Kela,SPA
Pears,None
CinRoll,None
BirdCage,Kindergarten
Sandals,Office
BandShell,Museum
MilkCarton,None
MobilePhone_FLIPPED,Gym
NikonCamera_FLIPPED,Kindergarten
Deer,Lounge
Paprika,Lounge
Highlighter,MeetingRoom
Ganmianzhang,StorageRoom
Router,Classroom
MokaEspress,MeetingRoom
OfficeBin,Classroom
RoadCone,Cafe
Garlic,Office
Perrier,None
RugbyBall,SPA
CokeBottle,Bedroom
NailScissors,None
Chaynik,Museum
Pomegranate,SPA
Motorbike,None
Laptop_FLIPPED,ArtStudio
Calculator,None
Suitcase,Kitchen
Toaster,None
Watermelon,None
FireHydrant,MeetingRoom
Mixer,None
MetalBucket,LivingRoom
Flower,None
Slippers,Kindergarten
PaintBucket,None
RasberryJam,None
CleaningBucket,Classroom
PencilSharpener,None
Brush,ArtStudio
Matrioshka,None
Cereal,KTV
Stapler,None
Canister,Classroom
Kettle,Museum
Bus,None
Lotion,None
MosquitoRacket,Gym
Oranges,SPA
RetroFan,Museum
CacerolaPan,KTV
Coconut,LivingRoom
Skateboard,KTV
BaseballBat,Museum
Banana,None
FireExtinguisher,Gym
TennisBall,StorageRoom
Glasses,Gym
Chips,LivingRoom
Shoe,Library
FiellaCase,Museum
DeskLight,Cafe
CandyBar,None
HandDrill,None
Toothpaste,LivingRoom
Lipsticks,None
CoffeePot,KTV
Basket,None
Headphones,ArtStudio
ClothesBasket,Lounge
Spoons,Bedroom
LegoTruck,Cafe
Cheese,None
Lasagna,None
Markers,Classroom
Padella,None
Car01_FLIPPED,Classroom
Marmite_FLIPPED,Bedroom
Grape,Kitchen
Scent_FLIPPED,Cafe
Mango,Lounge
BallonDog,None
IceBoots,None
HTCViveController,None
UGGboot,LivingRoom
SaltSub,StorageRoom
Official hat,Kitchen
Avocado,StorageRoom
SecurityCam,None
Pumpkin,Bedroom
StrawberryDonut,Lounge
AmazonEcho,Office
Ketchup,Kitchen
HandHeldRadio,Cafe
YellowDuck,None
Dog,MeetingRoom
Teacup,None
Typewriter,StorageRoom
Squeezer,Gym
Pinza,Library
PeanutButter_FLIPPED,ArtStudio
Icecream,Lounge
Downy,Kindergarten
Muffin,Gym
Candle Lattern,SPA
Kiwi,None
