"SubjectNo","Room","Group","CuriosityRating","ItemFAR","ItemAccuracy","ContextAccuracy"
"P01","Bedroom","Familiar",5,0.111111111111111,0.222222222222222,0
"P01","Classroom","Familiar",3,0.111111111111111,0.222222222222222,0
"P01","Gym","Familiar",3,0.111111111111111,0.722222222222222,0
"P01","LivingRoom","Novel",7,0.111111111111111,0.722222222222222,0.166666666666667
"P01","Library","Novel",4,0.111111111111111,0.555555555555556,0
"P01","StorageRoom","Novel",7,0.111111111111111,0.222222222222222,0
"P02","Bedroom","Familiar",4,0.166666666666667,0.333333333333333,0
"P02","Classroom","Familiar",4,0.166666666666667,0.833333333333333,0.333333333333333
"P02","Gym","Familiar",3,0.166666666666667,0.333333333333333,0.166666666666667
"P02","LivingRoom","Novel",5,0.166666666666667,0.333333333333333,0.166666666666667
"P02","Library","Novel",4,0.166666666666667,0.833333333333333,0.333333333333333
"P02","StorageRoom","Novel",4,0.166666666666667,0.666666666666667,0.166666666666667
"P03","Bedroom","Familiar",5,0.388888888888889,0,0.166666666666667
"P03","Classroom","Familiar",4,0.388888888888889,0.611111111111111,0.666666666666667
"P03","Gym","Familiar",1,0.388888888888889,0,0
"P03","LivingRoom","Novel",7,0.388888888888889,0,0
"P03","Library","Novel",7,0.388888888888889,0,0
"P03","StorageRoom","Novel",3,0.388888888888889,0.444444444444444,0.333333333333333
"P04","Bedroom","Familiar",5,0.166666666666667,0.666666666666667,0.5
"P04","Classroom","Familiar",3,0.166666666666667,0.5,0.166666666666667
"P04","Gym","Familiar",5,0.166666666666667,0.5,0
"P04","LivingRoom","Novel",3,0.166666666666667,0.5,0.166666666666667
"P04","Library","Novel",4,0.166666666666667,0.666666666666667,0.166666666666667
"P04","StorageRoom","Novel",3,0.166666666666667,0.5,0.333333333333333
"P05","Bedroom","Familiar",1,0,0.666666666666667,0.333333333333333
"P05","Classroom","Familiar",1,0,0.5,0.333333333333333
"P05","Gym","Familiar",1,0,0.833333333333333,0.166666666666667
"P05","LivingRoom","Novel",7,0,0.333333333333333,0.166666666666667
"P05","Library","Novel",7,0,0.666666666666667,0.5
"P05","StorageRoom","Novel",7,0,1,0.333333333333333
"P06","Bedroom","Familiar",4,0.277777777777778,0.0555555555555555,0.166666666666667
"P06","Classroom","Familiar",3,0.277777777777778,0.388888888888889,0.166666666666667
"P06","Gym","Familiar",3,0.277777777777778,0.388888888888889,0
"P06","LivingRoom","Novel",6,0.277777777777778,0,0
"P06","Library","Novel",3,0.277777777777778,0.555555555555556,0.166666666666667
"P06","StorageRoom","Novel",6,0.277777777777778,0.222222222222222,0.333333333333333
"P07","Bedroom","Familiar",5,0.444444444444444,0.388888888888889,0.333333333333333
"P07","Classroom","Familiar",5,0.444444444444444,0.388888888888889,0.166666666666667
"P07","Gym","Familiar",6,0.444444444444444,0.222222222222222,0.333333333333333
"P07","LivingRoom","Novel",NA,0.444444444444444,0,0
"P07","Library","Novel",6,0.444444444444444,0.222222222222222,0.5
"P07","StorageRoom","Novel",6,0.444444444444444,0.0555555555555556,0.166666666666667
"P08","Bedroom","Familiar",6,0.166666666666667,0.666666666666667,0.333333333333333
"P08","Classroom","Familiar",3,0.166666666666667,0.333333333333333,0.333333333333333
"P08","Gym","Familiar",1,0.166666666666667,0.666666666666667,0.666666666666667
"P08","LivingRoom","Novel",6,0.166666666666667,0,0
"P08","Library","Novel",5,0.166666666666667,0.833333333333333,0.666666666666667
"P08","StorageRoom","Novel",3,0.166666666666667,0.666666666666667,0.333333333333333
"P09","Bedroom","Familiar",3,0.5,0.5,0.5
"P09","Classroom","Familiar",3,0.5,0.333333333333333,0.333333333333333
"P09","Gym","Familiar",3,0.5,0.5,0.333333333333333
"P09","LivingRoom","Novel",5,0.5,0.333333333333333,0
"P09","Library","Novel",5,0.5,0.166666666666667,0.166666666666667
"P09","StorageRoom","Novel",5,0.5,0.333333333333333,0.5
"P10","Bedroom","Familiar",1,0.5,0.166666666666667,0
"P10","Classroom","Familiar",1,0.5,0.5,0.166666666666667
"P10","Gym","Familiar",3,0.5,0.333333333333333,0.5
"P10","LivingRoom","Novel",6,0.5,0.166666666666667,0.166666666666667
"P10","Library","Novel",5,0.5,0.333333333333333,0.333333333333333
"P10","StorageRoom","Novel",7,0.5,0,0
"P11","Bedroom","Familiar",4,0.555555555555556,0.444444444444444,0.666666666666667
"P11","Classroom","Familiar",5,0.555555555555556,0,0.166666666666667
"P11","Gym","Familiar",7,0.555555555555556,0,0
"P11","LivingRoom","Novel",6,0.555555555555556,0,0.166666666666667
"P11","Library","Novel",4,0.555555555555556,0.277777777777778,0
"P11","StorageRoom","Novel",4,0.555555555555556,0.111111111111111,0.166666666666667
"P12","Bedroom","Familiar",1,0.166666666666667,0.666666666666667,0.333333333333333
"P12","Classroom","Familiar",1,0.166666666666667,0.5,0.333333333333333
"P12","Gym","Familiar",1,0.166666666666667,0.666666666666667,0.333333333333333
"P12","LivingRoom","Novel",7,0.166666666666667,0.666666666666667,0.5
"P12","Library","Novel",7,0.166666666666667,0.666666666666667,0.666666666666667
"P12","StorageRoom","Novel",7,0.166666666666667,0.833333333333333,0.333333333333333
