"Object" "Context" "ObjectResponse" "ContextResponse" "ChoiceNo" "SubjectNo" "Group" "CorrObjResp" "Accuracy" "SeenHit" "FalseSeenHit" "ContextAccuracy" "ObjectType" "ItemOrder" "CuriosityRating" "ItemOrderType" "CuriosityRatingType"
"HandDrill" "Bedroom" "New" "None" 1 "P01" "Familiar" "Seen" 0 0 0 0 "Old" 3 5 "Early" "High"
"HTCViveController" "Bedroom" "Seen" "None" 2 "P01" "Familiar" "Seen" 1 1 0 0 "Old" 2 5 "Early" "High"
"MilkCarton" "Bedroom" "New" "None" 2 "P01" "Familiar" "Seen" 0 0 0 0 "Old" 1 5 "Early" "High"
"Mouse" "Bedroom" "New" "None" 4 "P01" "Familiar" "Seen" 0 0 0 0 "Old" 4 5 "Late" "High"
"Padella" "Bedroom" "New" "None" 4 "P01" "Familiar" "Seen" 0 0 0 0 "Old" 6 5 "Late" "High"
"PiggyBank" "Bedroom" "Seen" "None" 3 "P01" "Familiar" "Seen" 1 1 0 0 "Old" 5 5 "Late" "High"
"Apple" "Classroom" "New" "None" 1 "P01" "Familiar" "Seen" 0 0 0 0 "Old" 4 3 "Late" "Low"
"Calculator" "Classroom" "New" "None" 3 "P01" "Familiar" "Seen" 0 0 0 0 "Old" 5 3 "Late" "Low"
"JBLSpeaker" "Classroom" "Seen" "None" 1 "P01" "Familiar" "Seen" 1 1 0 0 "Old" 6 3 "Late" "Low"
"MechanicalGloves" "Classroom" "New" "None" 2 "P01" "Familiar" "Seen" 0 0 0 0 "Old" 1 3 "Early" "Low"
"OfficeBin" "Classroom" "New" "None" 3 "P01" "Familiar" "Seen" 0 0 0 0 "Old" 3 3 "Early" "Low"
"SaltSub" "Classroom" "Seen" "None" 1 "P01" "Familiar" "Seen" 1 1 0 0 "Old" 2 3 "Early" "Low"
"Avocado" "Gym" "Seen" "Bedroom" 4 "P01" "Familiar" "Seen" 1 1 0 0 "Old" 1 3 "Early" "Low"
"CleaningBucket" "Gym" "Seen" "None" 2 "P01" "Familiar" "Seen" 1 1 0 0 "Old" 2 3 "Early" "Low"
"Grape" "Gym" "Seen" "LivingRoom" 3 "P01" "Familiar" "Seen" 1 1 0 0 "Old" 3 3 "Early" "Low"
"Kettle" "Gym" "New" "None" 1 "P01" "Familiar" "Seen" 0 0 0 0 "Old" 5 3 "Late" "Low"
"RugbyBall" "Gym" "Seen" "None" 1 "P01" "Familiar" "Seen" 1 1 0 0 "Old" 4 3 "Late" "Low"
"Stapler" "Gym" "Seen" "None" 4 "P01" "Familiar" "Seen" 1 1 0 0 "Old" 6 3 "Late" "Low"
"BaseballBat" "Library" "Seen" "None" 4 "P01" "Novel" "Seen" 1 1 0 0 "Old" 2 4 "Early" "Low"
"MokaEspress" "Library" "Seen" "None" 3 "P01" "Novel" "Seen" 1 1 0 0 "Old" 4 4 "Late" "Low"
"Muffin" "Library" "New" "None" 4 "P01" "Novel" "Seen" 0 0 0 0 "Old" 5 4 "Late" "Low"
"Mushroom" "Library" "New" "None" 1 "P01" "Novel" "Seen" 0 0 0 0 "Old" 1 4 "Early" "Low"
"Openner" "Library" "Familiar" "None" 1 "P01" "Novel" "Seen" 1 0 0 0 "Old" 6 4 "Late" "Low"
"Spoons" "Library" "Seen" "None" 2 "P01" "Novel" "Seen" 1 1 0 0 "Old" 3 4 "Early" "Low"
"Paprika" "LivingRoom" "Seen" "None" 2 "P01" "Novel" "Seen" 1 1 0 0 "Old" 5 7 "Late" "High"
"PencilSharpener" "LivingRoom" "Seen" "None" 3 "P01" "Novel" "Seen" 1 1 0 0 "Old" 1 7 "Early" "High"
"Pineapple" "LivingRoom" "Seen" "None" 3 "P01" "Novel" "Seen" 1 1 0 0 "Old" 6 7 "Late" "High"
"Squeezer" "LivingRoom" "Seen" "LivingRoom" 2 "P01" "Novel" "Seen" 1 1 0 1 "Old" 3 7 "Early" "High"
"Teacup" "LivingRoom" "Seen" "None" 1 "P01" "Novel" "Seen" 1 1 0 0 "Old" 4 7 "Late" "High"
"Toaster" "LivingRoom" "New" "None" 3 "P01" "Novel" "Seen" 0 0 0 0 "Old" 2 7 "Early" "High"
"Cabbage" "StorageRoom" "Seen" "None" 3 "P01" "Novel" "Seen" 1 1 0 0 "Old" 3 7 "Early" "High"
"Controller" "StorageRoom" "New" "None" 3 "P01" "Novel" "Seen" 0 0 0 0 "Old" 2 7 "Early" "High"
"EggBeater" "StorageRoom" "New" "None" 4 "P01" "Novel" "Seen" 0 0 0 0 "Old" 4 7 "Late" "High"
"Headphones" "StorageRoom" "New" "None" 4 "P01" "Novel" "Seen" 0 0 0 0 "Old" 5 7 "Late" "High"
"NikonCamera" "StorageRoom" "Seen" "None" 1 "P01" "Novel" "Seen" 1 1 0 0 "Old" 1 7 "Early" "High"
"Typewriter" "StorageRoom" "New" "None" 4 "P01" "Novel" "Seen" 0 0 0 0 "Old" 6 7 "Late" "High"
"HandDrill" "Bedroom" "Seen" "None" 1 "P02" "Familiar" "Seen" 1 1 0 0 "Old" 3 4 "Early" "Low"
"HTCViveController" "Bedroom" "New" "None" 2 "P02" "Familiar" "Seen" 0 0 0 0 "Old" 2 4 "Early" "Low"
"MilkCarton" "Bedroom" "New" "None" 2 "P02" "Familiar" "Seen" 0 0 0 0 "Old" 1 4 "Early" "Low"
"Mouse" "Bedroom" "Seen" "StorageRoom" 1 "P02" "Familiar" "Seen" 1 1 0 0 "Old" 4 4 "Late" "Low"
"Padella" "Bedroom" "Familiar" "None" 4 "P02" "Familiar" "Seen" 1 0 0 0 "Old" 6 4 "Late" "Low"
"PiggyBank" "Bedroom" "New" "None" 3 "P02" "Familiar" "Seen" 0 0 0 0 "Old" 5 4 "Late" "Low"
"Apple" "Classroom" "Seen" "None" 1 "P02" "Familiar" "Seen" 1 1 0 0 "Old" 4 4 "Late" "Low"
"Calculator" "Classroom" "Seen" "Classroom" 1 "P02" "Familiar" "Seen" 1 1 0 1 "Old" 5 4 "Late" "Low"
"JBLSpeaker" "Classroom" "Familiar" "StorageRoom" 3 "P02" "Familiar" "Seen" 1 0 0 0 "Old" 6 4 "Late" "Low"
"MechanicalGloves" "Classroom" "Familiar" "Bedroom" 4 "P02" "Familiar" "Seen" 1 0 0 0 "Old" 1 4 "Early" "Low"
"OfficeBin" "Classroom" "Seen" "Classroom" 1 "P02" "Familiar" "Seen" 1 1 0 1 "Old" 3 4 "Early" "Low"
"SaltSub" "Classroom" "Familiar" "Bedroom" 2 "P02" "Familiar" "Seen" 1 0 0 0 "Old" 2 4 "Early" "Low"
"Avocado" "Gym" "Seen" "Gym" 2 "P02" "Familiar" "Seen" 1 1 0 1 "Old" 1 3 "Early" "Low"
"CleaningBucket" "Gym" "New" "None" 2 "P02" "Familiar" "Seen" 0 0 0 0 "Old" 2 3 "Early" "Low"
"Grape" "Gym" "New" "None" 4 "P02" "Familiar" "Seen" 0 0 0 0 "Old" 3 3 "Early" "Low"
"Kettle" "Gym" "Familiar" "None" 1 "P02" "Familiar" "Seen" 1 0 0 0 "Old" 5 3 "Late" "Low"
"RugbyBall" "Gym" "Seen" "None" 1 "P02" "Familiar" "Seen" 1 1 0 0 "Old" 4 3 "Late" "Low"
"Stapler" "Gym" "New" "None" 4 "P02" "Familiar" "Seen" 0 0 0 0 "Old" 6 3 "Late" "Low"
"BaseballBat" "Library" "Familiar" "StorageRoom" 1 "P02" "Novel" "Seen" 1 0 0 0 "Old" 2 4 "Early" "Low"
"MokaEspress" "Library" "Seen" "Library" 2 "P02" "Novel" "Seen" 1 1 0 1 "Old" 4 4 "Late" "Low"
"Muffin" "Library" "Familiar" "Library" 3 "P02" "Novel" "Seen" 1 0 0 1 "Old" 5 4 "Late" "Low"
"Mushroom" "Library" "Seen" "LivingRoom" 2 "P02" "Novel" "Seen" 1 1 0 0 "Old" 1 4 "Early" "Low"
"Openner" "Library" "Seen" "StorageRoom" 3 "P02" "Novel" "Seen" 1 1 0 0 "Old" 6 4 "Late" "Low"
"Spoons" "Library" "Familiar" "None" 2 "P02" "Novel" "Seen" 1 0 0 0 "Old" 3 4 "Early" "Low"
"Paprika" "LivingRoom" "Seen" "Bedroom" 3 "P02" "Novel" "Seen" 1 1 0 0 "Old" 5 5 "Late" "High"
"PencilSharpener" "LivingRoom" "Familiar" "LivingRoom" 1 "P02" "Novel" "Seen" 1 0 0 1 "Old" 1 5 "Early" "High"
"Pineapple" "LivingRoom" "Seen" "Classroom" 4 "P02" "Novel" "Seen" 1 1 0 0 "Old" 6 5 "Late" "High"
"Squeezer" "LivingRoom" "New" "None" 3 "P02" "Novel" "Seen" 0 0 0 0 "Old" 3 5 "Early" "High"
"Teacup" "LivingRoom" "New" "None" 1 "P02" "Novel" "Seen" 0 0 0 0 "Old" 4 5 "Late" "High"
"Toaster" "LivingRoom" "New" "None" 3 "P02" "Novel" "Seen" 0 0 0 0 "Old" 2 5 "Early" "High"
"Cabbage" "StorageRoom" "Familiar" "LivingRoom" 4 "P02" "Novel" "Seen" 1 0 0 0 "Old" 3 4 "Early" "Low"
"Controller" "StorageRoom" "New" "None" 3 "P02" "Novel" "Seen" 0 0 0 0 "Old" 2 4 "Early" "Low"
"EggBeater" "StorageRoom" "Familiar" "LivingRoom" 3 "P02" "Novel" "Seen" 1 0 0 0 "Old" 4 4 "Late" "Low"
"Headphones" "StorageRoom" "Seen" "LivingRoom" 2 "P02" "Novel" "Seen" 1 1 0 0 "Old" 5 4 "Late" "Low"
"NikonCamera" "StorageRoom" "Seen" "Bedroom" 2 "P02" "Novel" "Seen" 1 1 0 0 "Old" 1 4 "Early" "Low"
"Typewriter" "StorageRoom" "Seen" "StorageRoom" 3 "P02" "Novel" "Seen" 1 1 0 1 "Old" 6 4 "Late" "Low"
"HandDrill" "Bedroom" "Familiar" "Bedroom" 3 "P03" "Familiar" "Seen" 1 0 0 1 "Old" 3 5 "Early" "High"
"HTCViveController" "Bedroom" "New" "None" 2 "P03" "Familiar" "Seen" 0 0 0 0 "Old" 2 5 "Early" "High"
"MilkCarton" "Bedroom" "Familiar" "Gym" 4 "P03" "Familiar" "Seen" 1 0 0 0 "Old" 1 5 "Early" "High"
"Mouse" "Bedroom" "New" "None" 4 "P03" "Familiar" "Seen" 0 0 0 0 "Old" 4 5 "Late" "High"
"Padella" "Bedroom" "New" "None" 4 "P03" "Familiar" "Seen" 0 0 0 0 "Old" 6 5 "Late" "High"
"PiggyBank" "Bedroom" "New" "None" 3 "P03" "Familiar" "Seen" 0 0 0 0 "Old" 5 5 "Late" "High"
"Apple" "Classroom" "Seen" "Classroom" 4 "P03" "Familiar" "Seen" 1 1 0 1 "Old" 4 4 "Late" "Low"
"Calculator" "Classroom" "Seen" "Classroom" 1 "P03" "Familiar" "Seen" 1 1 0 1 "Old" 5 4 "Late" "Low"
"JBLSpeaker" "Classroom" "Familiar" "StorageRoom" 3 "P03" "Familiar" "Seen" 1 0 0 0 "Old" 6 4 "Late" "Low"
"MechanicalGloves" "Classroom" "Familiar" "Gym" 3 "P03" "Familiar" "Seen" 1 0 0 0 "Old" 1 4 "Early" "Low"
"OfficeBin" "Classroom" "Familiar" "Classroom" 1 "P03" "Familiar" "Seen" 1 0 0 1 "Old" 3 4 "Early" "Low"
"SaltSub" "Classroom" "Familiar" "Classroom" 4 "P03" "Familiar" "Seen" 1 0 0 1 "Old" 2 4 "Early" "Low"
"Avocado" "Gym" "New" "None" 3 "P03" "Familiar" "Seen" 0 0 0 0 "Old" 1 1 "Early" "Low"
"CleaningBucket" "Gym" "New" "None" 2 "P03" "Familiar" "Seen" 0 0 0 0 "Old" 2 1 "Early" "Low"
"Grape" "Gym" "New" "None" 4 "P03" "Familiar" "Seen" 0 0 0 0 "Old" 3 1 "Early" "Low"
"Kettle" "Gym" "Familiar" "None" 1 "P03" "Familiar" "Seen" 1 0 0 0 "Old" 5 1 "Late" "Low"
"RugbyBall" "Gym" "New" "None" 1 "P03" "Familiar" "Seen" 0 0 0 0 "Old" 4 1 "Late" "Low"
"Stapler" "Gym" "Familiar" "StorageRoom" 3 "P03" "Familiar" "Seen" 1 0 0 0 "Old" 6 1 "Late" "Low"
"BaseballBat" "Library" "New" "None" 4 "P03" "Novel" "Seen" 0 0 0 0 "Old" 2 7 "Early" "High"
"MokaEspress" "Library" "New" "None" 3 "P03" "Novel" "Seen" 0 0 0 0 "Old" 4 7 "Late" "High"
"Muffin" "Library" "Familiar" "LivingRoom" 1 "P03" "Novel" "Seen" 1 0 0 0 "Old" 5 7 "Late" "High"
"Mushroom" "Library" "New" "None" 1 "P03" "Novel" "Seen" 0 0 0 0 "Old" 1 7 "Early" "High"
"Openner" "Library" "Familiar" "StorageRoom" 3 "P03" "Novel" "Seen" 1 0 0 0 "Old" 6 7 "Late" "High"
"Spoons" "Library" "New" "None" 2 "P03" "Novel" "Seen" 0 0 0 0 "Old" 3 7 "Early" "High"
"Paprika" "LivingRoom" "New" "None" 2 "P03" "Novel" "Seen" 0 0 0 0 "Old" 5 7 "Late" "High"
"PencilSharpener" "LivingRoom" "Familiar" "StorageRoom" 4 "P03" "Novel" "Seen" 1 0 0 0 "Old" 1 7 "Early" "High"
"Pineapple" "LivingRoom" "New" "None" 3 "P03" "Novel" "Seen" 0 0 0 0 "Old" 6 7 "Late" "High"
"Squeezer" "LivingRoom" "New" "None" 3 "P03" "Novel" "Seen" 0 0 0 0 "Old" 3 7 "Early" "High"
"Teacup" "LivingRoom" "New" "None" 1 "P03" "Novel" "Seen" 0 0 0 0 "Old" 4 7 "Late" "High"
"Toaster" "LivingRoom" "New" "None" 3 "P03" "Novel" "Seen" 0 0 0 0 "Old" 2 7 "Early" "High"
"Cabbage" "StorageRoom" "Familiar" "LivingRoom" 4 "P03" "Novel" "Seen" 1 0 0 0 "Old" 3 3 "Early" "Low"
"Controller" "StorageRoom" "Seen" "Bedroom" 2 "P03" "Novel" "Seen" 1 1 0 0 "Old" 2 3 "Early" "Low"
"EggBeater" "StorageRoom" "Familiar" "StorageRoom" 1 "P03" "Novel" "Seen" 1 0 0 1 "Old" 4 3 "Late" "Low"
"Headphones" "StorageRoom" "Familiar" "LivingRoom" 2 "P03" "Novel" "Seen" 1 0 0 0 "Old" 5 3 "Late" "Low"
"NikonCamera" "StorageRoom" "New" "None" 1 "P03" "Novel" "Seen" 0 0 0 0 "Old" 1 3 "Early" "Low"
"Typewriter" "StorageRoom" "Seen" "StorageRoom" 3 "P03" "Novel" "Seen" 1 1 0 1 "Old" 6 3 "Late" "Low"
"HandDrill" "Bedroom" "Seen" "Classroom" 2 "P04" "Familiar" "Seen" 1 1 0 0 "Old" 3 5 "Early" "High"
"HTCViveController" "Bedroom" "Seen" "None" 2 "P04" "Familiar" "Seen" 1 1 0 0 "Old" 2 5 "Early" "High"
"MilkCarton" "Bedroom" "Seen" "Bedroom" 1 "P04" "Familiar" "Seen" 1 1 0 1 "Old" 1 5 "Early" "High"
"Mouse" "Bedroom" "Familiar" "Bedroom" 3 "P04" "Familiar" "Seen" 1 0 0 1 "Old" 4 5 "Late" "High"
"Padella" "Bedroom" "New" "None" 4 "P04" "Familiar" "Seen" 0 0 0 0 "Old" 6 5 "Late" "High"
"PiggyBank" "Bedroom" "Seen" "Bedroom" 4 "P04" "Familiar" "Seen" 1 1 0 1 "Old" 5 5 "Late" "High"
"Apple" "Classroom" "Seen" "Bedroom" 2 "P04" "Familiar" "Seen" 1 1 0 0 "Old" 4 3 "Late" "Low"
"Calculator" "Classroom" "Seen" "Gym" 2 "P04" "Familiar" "Seen" 1 1 0 0 "Old" 5 3 "Late" "Low"
"JBLSpeaker" "Classroom" "New" "None" 1 "P04" "Familiar" "Seen" 0 0 0 0 "Old" 6 3 "Late" "Low"
"MechanicalGloves" "Classroom" "Seen" "Classroom" 1 "P04" "Familiar" "Seen" 1 1 0 1 "Old" 1 3 "Early" "Low"
"OfficeBin" "Classroom" "New" "None" 3 "P04" "Familiar" "Seen" 0 0 0 0 "Old" 3 3 "Early" "Low"
"SaltSub" "Classroom" "Familiar" "None" 1 "P04" "Familiar" "Seen" 1 0 0 0 "Old" 2 3 "Early" "Low"
"Avocado" "Gym" "Familiar" "None" 3 "P04" "Familiar" "Seen" 1 0 0 0 "Old" 1 5 "Early" "High"
"CleaningBucket" "Gym" "New" "None" 2 "P04" "Familiar" "Seen" 0 0 0 0 "Old" 2 5 "Early" "High"
"Grape" "Gym" "Seen" "LivingRoom" 3 "P04" "Familiar" "Seen" 1 1 0 0 "Old" 3 5 "Early" "High"
"Kettle" "Gym" "Seen" "Classroom" 3 "P04" "Familiar" "Seen" 1 1 0 0 "Old" 5 5 "Late" "High"
"RugbyBall" "Gym" "New" "None" 1 "P04" "Familiar" "Seen" 0 0 0 0 "Old" 4 5 "Late" "High"
"Stapler" "Gym" "Seen" "StorageRoom" 3 "P04" "Familiar" "Seen" 1 1 0 0 "Old" 6 5 "Late" "High"
"BaseballBat" "Library" "Seen" "LivingRoom" 3 "P04" "Novel" "Seen" 1 1 0 0 "Old" 2 4 "Early" "Low"
"MokaEspress" "Library" "Seen" "StorageRoom" 4 "P04" "Novel" "Seen" 1 1 0 0 "Old" 4 4 "Late" "Low"
"Muffin" "Library" "Seen" "StorageRoom" 2 "P04" "Novel" "Seen" 1 1 0 0 "Old" 5 4 "Late" "Low"
"Mushroom" "Library" "Seen" "Library" 3 "P04" "Novel" "Seen" 1 1 0 1 "Old" 1 4 "Early" "Low"
"Openner" "Library" "Seen" "None" 1 "P04" "Novel" "Seen" 1 1 0 0 "Old" 6 4 "Late" "Low"
"Spoons" "Library" "New" "None" 2 "P04" "Novel" "Seen" 0 0 0 0 "Old" 3 4 "Early" "Low"
"Paprika" "LivingRoom" "Seen" "LivingRoom" 4 "P04" "Novel" "Seen" 1 1 0 1 "Old" 5 3 "Late" "Low"
"PencilSharpener" "LivingRoom" "New" "None" 3 "P04" "Novel" "Seen" 0 0 0 0 "Old" 1 3 "Early" "Low"
"Pineapple" "LivingRoom" "Seen" "Classroom" 4 "P04" "Novel" "Seen" 1 1 0 0 "Old" 6 3 "Late" "Low"
"Squeezer" "LivingRoom" "Seen" "Bedroom" 4 "P04" "Novel" "Seen" 1 1 0 0 "Old" 3 3 "Early" "Low"
"Teacup" "LivingRoom" "New" "None" 1 "P04" "Novel" "Seen" 0 0 0 0 "Old" 4 3 "Late" "Low"
"Toaster" "LivingRoom" "Seen" "Classroom" 4 "P04" "Novel" "Seen" 1 1 0 0 "Old" 2 3 "Early" "Low"
"Cabbage" "StorageRoom" "Seen" "LivingRoom" 4 "P04" "Novel" "Seen" 1 1 0 0 "Old" 3 3 "Early" "Low"
"Controller" "StorageRoom" "New" "None" 3 "P04" "Novel" "Seen" 0 0 0 0 "Old" 2 3 "Early" "Low"
"EggBeater" "StorageRoom" "Familiar" "LivingRoom" 3 "P04" "Novel" "Seen" 1 0 0 0 "Old" 4 3 "Late" "Low"
