"SubjectNo" "ItemOrderType" "Group" "Accuracy" "SeenHit" "ContextAccuracy"
"P01" "Early" "Familiar" 0.555555555555556 0.555555555555556 0
"P01" "Late" "Familiar" 0.444444444444444 0.444444444444444 0
"P01" "Early" "Novel" 0.666666666666667 0.666666666666667 0.111111111111111
"P01" "Late" "Novel" 0.555555555555556 0.444444444444444 0
"P02" "Early" "Familiar" 0.555555555555556 0.333333333333333 0.222222222222222
"P02" "Late" "Familiar" 0.777777777777778 0.444444444444444 0.111111111111111
"P02" "Early" "Novel" 0.666666666666667 0.222222222222222 0.111111111111111
"P02" "Late" "Novel" 0.888888888888889 0.666666666666667 0.333333333333333
"P03" "Early" "Familiar" 0.555555555555556 0 0.333333333333333
"P03" "Late" "Familiar" 0.555555555555556 0.222222222222222 0.222222222222222
"P03" "Early" "Novel" 0.333333333333333 0.111111111111111 0
"P03" "Late" "Novel" 0.555555555555556 0.111111111111111 0.222222222222222
"P04" "Early" "Familiar" 0.777777777777778 0.555555555555556 0.222222222222222
"P04" "Late" "Familiar" 0.666666666666667 0.555555555555556 0.222222222222222
"P04" "Early" "Novel" 0.666666666666667 0.555555555555556 0.222222222222222
"P04" "Late" "Novel" 0.777777777777778 0.555555555555556 0.222222222222222
"P05" "Early" "Familiar" 0.666666666666667 0.666666666666667 0.222222222222222
"P05" "Late" "Familiar" 0.666666666666667 0.444444444444444 0.333333333333333
"P05" "Early" "Novel" 0.555555555555556 0.555555555555556 0.333333333333333
"P05" "Late" "Novel" 0.777777777777778 0.666666666666667 0.333333333333333
"P06" "Late" "Familiar" 0.444444444444444 0.111111111111111 0.111111111111111
"P06" "Early" "Familiar" 0.666666666666667 0 0.111111111111111
"P06" "Late" "Novel" 0.555555555555556 0.444444444444444 0.222222222222222
"P06" "Early" "Novel" 0.444444444444444 0.111111111111111 0.111111111111111
"P07" "Early" "Familiar" 0.888888888888889 0.222222222222222 0.222222222222222
"P07" "Late" "Familiar" 0.666666666666667 0.222222222222222 0.333333333333333
"P07" "Late" "Novel" 0.666666666666667 0.5 0.5
"P07" "Early" "Novel" 0.5 0.166666666666667 0.166666666666667
"P08" "Early" "Familiar" 0.666666666666667 0.555555555555556 0.333333333333333
"P08" "Late" "Familiar" 0.777777777777778 0.777777777777778 0.555555555555556
"P08" "Late" "Novel" 0.555555555555556 0.333333333333333 0.222222222222222
"P08" "Early" "Novel" 0.777777777777778 0.666666666666667 0.444444444444444
"P09" "Early" "Familiar" 1 0.555555555555556 0.333333333333333
"P09" "Late" "Familiar" 0.888888888888889 0.777777777777778 0.444444444444444
"P09" "Late" "Novel" 0.888888888888889 0.555555555555556 0.222222222222222
"P09" "Early" "Novel" 0.666666666666667 0.333333333333333 0.222222222222222
"P10" "Late" "Familiar" 0.888888888888889 0.333333333333333 0.111111111111111
"P10" "Early" "Familiar" 0.777777777777778 0.555555555555556 0.333333333333333
"P10" "Early" "Novel" 0.444444444444444 0.111111111111111 0.222222222222222
"P10" "Late" "Novel" 0.666666666666667 0.666666666666667 0.111111111111111
"P11" "Late" "Familiar" 0.555555555555556 0.555555555555556 0.333333333333333
"P11" "Early" "Familiar" 0.555555555555556 0.555555555555556 0.222222222222222
"P11" "Early" "Novel" 0.444444444444444 0.333333333333333 0
"P11" "Late" "Novel" 0.777777777777778 0.555555555555556 0.222222222222222
"P12" "Early" "Familiar" 0.777777777777778 0.555555555555556 0.222222222222222
"P12" "Late" "Familiar" 0.777777777777778 0.777777777777778 0.444444444444444
"P12" "Early" "Novel" 0.888888888888889 0.333333333333333 0.333333333333333
"P12" "Late" "Novel" 0.888888888888889 0.666666666666667 0.666666666666667
"P25" "Early" "Novel" 0.333333333333333 0.222222222222222 0
"P25" "Late" "Novel" 0.444444444444444 0.222222222222222 0.333333333333333
"P25" "Early" "Familiar" 0.444444444444444 0.444444444444444 0.222222222222222
"P25" "Late" "Familiar" 0.222222222222222 0.222222222222222 0.111111111111111
