"Object" "Context" "ObjectResponse" "ContextResponse" "ChoiceNo" "SubjectNo" "Group" "CorrObjResp" "Accuracy" "SeenHit" "FalseSeenHit" "ContextAccuracy" "ObjectType" "ItemOrder" "CuriosityRating" "ItemOrderType" "CuriosityRatingType"
"BallonDog" "Bedroom" "Seen" "Bedroom" 1 "P01" "Familiar" "Seen" 1 1 0 1 "Old" 3 5 "Early" "High"
"Bread" "Bedroom" "Seen" "None" 4 "P01" "Familiar" "Seen" 1 1 0 0 "Old" 5 5 "Late" "High"
"Official hat" "Bedroom" "Seen" "Bedroom" 4 "P01" "Familiar" "Seen" 1 1 0 1 "Old" 4 5 "Late" "High"
"OldRadio" "Bedroom" "New" "None" 3 "P01" "Familiar" "Seen" 0 0 0 0 "Old" 6 5 "Late" "High"
"StrawberryDonut" "Bedroom" "Familiar" "None" 1 "P01" "Familiar" "Seen" 1 0 0 0 "Old" 2 5 "Early" "High"
"UGGboot" "Bedroom" "Seen" "Bedroom" 4 "P01" "Familiar" "Seen" 1 1 0 1 "Old" 1 5 "Early" "High"
"Basket" "Classroom" "New" "None" 1 "P01" "Familiar" "Seen" 0 0 0 0 "Old" 3 3 "Early" "Low"
"FireExtinguisher" "Classroom" "New" "None" 4 "P01" "Familiar" "Seen" 0 0 0 0 "Old" 1 3 "Early" "Low"
"Hammer" "Classroom" "Seen" "Classroom" 3 "P01" "Familiar" "Seen" 1 1 0 1 "Old" 4 3 "Late" "Low"
"MosquitoRacket" "Classroom" "Seen" "Classroom" 2 "P01" "Familiar" "Seen" 1 1 0 1 "Old" 5 3 "Late" "Low"
"TennisBall" "Classroom" "Seen" "StorageRoom" 2 "P01" "Familiar" "Seen" 1 1 0 0 "Old" 2 3 "Early" "Low"
"Toothpaste" "Classroom" "New" "None" 1 "P01" "Familiar" "Seen" 0 0 0 0 "Old" 6 3 "Late" "Low"
"Chaynik" "Gym" "New" "None" 2 "P01" "Familiar" "Seen" 0 0 0 0 "Old" 5 3 "Late" "Low"
"CinRoll" "Gym" "Seen" "Gym" 2 "P01" "Familiar" "Seen" 1 1 0 1 "Old" 2 3 "Early" "Low"
"Pumpkin" "Gym" "Seen" "Gym" 2 "P01" "Familiar" "Seen" 1 1 0 1 "Old" 1 3 "Early" "Low"
"RockingHorse" "Gym" "Seen" "Gym" 3 "P01" "Familiar" "Seen" 1 1 0 1 "Old" 3 3 "Early" "Low"
"ShowerHead" "Gym" "Seen" "Gym" 1 "P01" "Familiar" "Seen" 1 1 0 1 "Old" 4 3 "Late" "Low"
"WineBottle" "Gym" "Seen" "Bedroom" 1 "P01" "Familiar" "Seen" 1 1 0 0 "Old" 6 3 "Late" "Low"
"Canister" "Library" "Seen" "Library" 4 "P01" "Novel" "Seen" 1 1 0 1 "Old" 5 4 "Late" "Low"
"Clamps" "Library" "Seen" "LivingRoom" 2 "P01" "Novel" "Seen" 1 1 0 0 "Old" 6 4 "Late" "Low"
"DeskLight" "Library" "Familiar" "None" 2 "P01" "Novel" "Seen" 1 0 0 0 "Old" 1 4 "Early" "Low"
"Glasses" "Library" "Seen" "None" 1 "P01" "Novel" "Seen" 1 1 0 0 "Old" 4 4 "Late" "Low"
"NailScissors" "Library" "New" "None" 4 "P01" "Novel" "Seen" 0 0 0 0 "Old" 2 4 "Early" "Low"
"Pinza" "Library" "New" "None" 1 "P01" "Novel" "Seen" 0 0 0 0 "Old" 3 4 "Early" "Low"
"CoffeeMachine" "LivingRoom" "Seen" "StorageRoom" 2 "P01" "Novel" "Seen" 1 1 0 0 "Old" 4 7 "Late" "High"
"HTCVive" "LivingRoom" "Seen" "None" 2 "P01" "Novel" "Seen" 1 1 0 0 "Old" 1 7 "Early" "High"
"Jug" "LivingRoom" "New" "None" 2 "P01" "Novel" "Seen" 0 0 0 0 "Old" 5 7 "Late" "High"
"Matrioshka" "LivingRoom" "Seen" "LivingRoom" 2 "P01" "Novel" "Seen" 1 1 0 1 "Old" 6 7 "Late" "High"
"MobilePhone" "LivingRoom" "Seen" "LivingRoom" 2 "P01" "Novel" "Seen" 1 1 0 1 "Old" 2 7 "Early" "High"
"Recorder" "LivingRoom" "New" "None" 1 "P01" "Novel" "Seen" 0 0 0 0 "Old" 3 7 "Early" "High"
"CokeCan" "StorageRoom" "New" "None" 1 "P01" "Novel" "Seen" 0 0 0 0 "Old" 4 7 "Late" "High"
"FirstAidKit" "StorageRoom" "New" "None" 1 "P01" "Novel" "Seen" 0 0 0 0 "Old" 2 7 "Early" "High"
"Laptop" "StorageRoom" "New" "None" 1 "P01" "Novel" "Seen" 0 0 0 0 "Old" 5 7 "Late" "High"
"Microphone" "StorageRoom" "New" "None" 4 "P01" "Novel" "Seen" 0 0 0 0 "Old" 3 7 "Early" "High"
"PaperCoffeeCup" "StorageRoom" "New" "None" 2 "P01" "Novel" "Seen" 0 0 0 0 "Old" 6 7 "Late" "High"
"Router" "StorageRoom" "Seen" "None" 2 "P01" "Novel" "Seen" 1 1 0 0 "Old" 1 7 "Early" "High"
"BallonDog" "Bedroom" "Seen" "Bedroom" 1 "P02" "Familiar" "Seen" 1 1 0 1 "Old" 3 4 "Early" "Low"
"Bread" "Bedroom" "Seen" "Bedroom" 2 "P02" "Familiar" "Seen" 1 1 0 1 "Old" 5 4 "Late" "Low"
"Official hat" "Bedroom" "Seen" "Bedroom" 4 "P02" "Familiar" "Seen" 1 1 0 1 "Old" 4 4 "Late" "Low"
"OldRadio" "Bedroom" "Seen" "Bedroom" 4 "P02" "Familiar" "Seen" 1 1 0 1 "Old" 6 4 "Late" "Low"
"StrawberryDonut" "Bedroom" "Seen" "Bedroom" 2 "P02" "Familiar" "Seen" 1 1 0 1 "Old" 2 4 "Early" "Low"
"UGGboot" "Bedroom" "Seen" "Bedroom" 4 "P02" "Familiar" "Seen" 1 1 0 1 "Old" 1 4 "Early" "Low"
"Basket" "Classroom" "New" "None" 1 "P02" "Familiar" "Seen" 0 0 0 0 "Old" 3 4 "Early" "Low"
"FireExtinguisher" "Classroom" "Seen" "Classroom" 2 "P02" "Familiar" "Seen" 1 1 0 1 "Old" 1 4 "Early" "Low"
"Hammer" "Classroom" "Familiar" "None" 2 "P02" "Familiar" "Seen" 1 0 0 0 "Old" 4 4 "Late" "Low"
"MosquitoRacket" "Classroom" "New" "None" 4 "P02" "Familiar" "Seen" 0 0 0 0 "Old" 5 4 "Late" "Low"
"TennisBall" "Classroom" "Seen" "LivingRoom" 3 "P02" "Familiar" "Seen" 1 1 0 0 "Old" 2 4 "Early" "Low"
"Chaynik" "Gym" "Seen" "LivingRoom" 1 "P02" "Familiar" "Seen" 1 1 0 0 "Old" 5 3 "Late" "Low"
"CinRoll" "Gym" "Seen" "Library" 3 "P02" "Familiar" "Seen" 1 1 0 0 "Old" 2 3 "Early" "Low"
"Pumpkin" "Gym" "Seen" "Gym" 2 "P02" "Familiar" "Seen" 1 1 0 1 "Old" 1 3 "Early" "Low"
"RockingHorse" "Gym" "Familiar" "None" 2 "P02" "Familiar" "Seen" 1 0 0 0 "Old" 3 3 "Early" "Low"
"ShowerHead" "Gym" "Seen" "Library" 3 "P02" "Familiar" "Seen" 1 1 0 0 "Old" 4 3 "Late" "Low"
"WineBottle" "Gym" "Seen" "Bedroom" 1 "P02" "Familiar" "Seen" 1 1 0 0 "Old" 6 3 "Late" "Low"
"Canister" "Library" "Seen" "Gym" 2 "P02" "Novel" "Seen" 1 1 0 0 "Old" 5 4 "Late" "Low"
"Clamps" "Library" "New" "None" 3 "P02" "Novel" "Seen" 0 0 0 0 "Old" 6 4 "Late" "Low"
"DeskLight" "Library" "Seen" "Library" 4 "P02" "Novel" "Seen" 1 1 0 1 "Old" 1 4 "Early" "Low"
"Glasses" "Library" "Seen" "Bedroom" 2 "P02" "Novel" "Seen" 1 1 0 0 "Old" 4 4 "Late" "Low"
