"SubjectNo","Group","MeanCurRt","MeanDur","SFHit","SHit","SrcHit","SFFalse","SFalse","SrcFalse","SFAcc","SAcc","SrcAcc"
"P01","Familiar",3.66666666666667,NA,0.5,0.5,0,0.111111111111111,0,0.0185185185185185,0.388888888888889,0.5,-0.0185185185185185
"P01","Novel",6,NA,0.611111111111111,0.555555555555556,0.0555555555555556,0.111111111111111,0,0.0185185185185185,0.5,0.555555555555556,0.037037037037037
"P02","Familiar",3.66666666666667,NA,0.666666666666667,0.388888888888889,0.166666666666667,0.166666666666667,0,0.0555555555555556,0.5,0.388888888888889,0.111111111111111
"P02","Novel",4.33333333333333,NA,0.777777777777778,0.444444444444444,0.222222222222222,0.166666666666667,0,0.0555555555555556,0.611111111111111,0.444444444444444,0.166666666666667
"P03","Familiar",3.33333333333333,NA,0.555555555555556,0.111111111111111,0.277777777777778,0.388888888888889,0.0555555555555556,0.12962962962963,0.166666666666667,0.0555555555555556,0.148148148148148
"P03","Novel",5.66666666666667,NA,0.444444444444444,0.111111111111111,0.111111111111111,0.388888888888889,0.0555555555555556,0.12962962962963,0.0555555555555555,0.0555555555555556,-0.0185185185185185
"P04","Familiar",4.33333333333333,NA,0.722222222222222,0.555555555555556,0.222222222222222,0.166666666666667,0,0.0555555555555556,0.555555555555556,0.555555555555556,0.166666666666667
"P04","Novel",3.33333333333333,NA,0.722222222222222,0.555555555555556,0.222222222222222,0.166666666666667,0,0.0555555555555556,0.555555555555556,0.555555555555556,0.166666666666667
"P05","Familiar",1,NA,0.666666666666667,0.555555555555556,0.277777777777778,0,0,0,0.666666666666667,0.555555555555556,0.277777777777778
"P05","Novel",7,NA,0.666666666666667,0.611111111111111,0.333333333333333,0,0,0,0.666666666666667,0.611111111111111,0.333333333333333
"P06","Familiar",3.33333333333333,NA,0.555555555555556,0.0555555555555556,0.111111111111111,0.277777777777778,0,0.0740740740740741,0.277777777777778,0.0555555555555556,0.037037037037037
"P06","Novel",5,NA,0.5,0.277777777777778,0.166666666666667,0.277777777777778,0,0.0740740740740741,0.222222222222222,0.277777777777778,0.0925925925925926
"P07","Familiar",5.33333333333333,NA,0.777777777777778,0.222222222222222,0.277777777777778,0.333333333333333,0,0.111111111111111,0.444444444444444,0.222222222222222,0.166666666666667
"P07","Novel",6,NA,0.583333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.111111111111111,0.25,0.333333333333333,0.222222222222222
"P08","Familiar",3.33333333333333,NA,0.722222222222222,0.666666666666667,0.444444444444444,0.166666666666667,0.0555555555555556,0.0555555555555556,0.555555555555556,0.611111111111111,0.388888888888889
"P08","Novel",4.66666666666667,NA,0.666666666666667,0.5,0.333333333333333,0.166666666666667,0.0555555555555556,0.0555555555555556,0.5,0.444444444444444,0.277777777777778
