"Room","Object","Order"
"Bedroom","FireExtinguisher",1
"Bedroom","Chaynik",2
"Bedroom","MobilePhone",3
"Bedroom","UGGboot",4
"Bedroom","Glasses",5
"Bedroom","Pinza",6
"Classroom","BallonDog",1
"Classroom","Recorder",2
"Classroom","HTCVive",3
"Classroom","Toothpaste",4
"Classroom","CokeCan",5
"Classroom","WineBottle",6
"Gym","CoffeeMachine",1
"Gym","RockingHorse",2
"Gym","Microphone",3
"Gym","DeskLight",4
"Gym","OldRadio",5
"Gym","PaperCoffeeCup",6
"Library","Clamps",1
"Library","TennisBall",2
"Library","Laptop",3
"Library","Canister",4
"Library","Hammer",5
"Library","Official hat",6
"LivingRoom","MosquitoRacket",1
"LivingRoom","StrawberryDonut",2
"LivingRoom","ShowerHead",3
"LivingRoom","Bread",4
"LivingRoom","FirstAidKit",5
"LivingRoom","Router",6
"StorageRoom","NailScissors",1
"StorageRoom","Basket",2
"StorageRoom","Pumpkin",3
"StorageRoom","Matrioshka",4
"StorageRoom","CinRoll",5
"StorageRoom","CinRoll",6
