TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02194928,5.417935,11.99612,42.18963,354.1,27.19999,0
0.0437323,5.474051,11.9887,42.27029,354.1,27.19999,0
0.06529415,5.529988,11.97479,42.35365,354.1,27.19999,0
0.08711514,5.586305,11.97022,42.43715,354.1,27.19999,0
0.1081084,5.642541,11.97923,42.52068,354.1,27.19999,0
0.130049,5.698138,11.99784,42.60454,354.1,27.19999,0
0.1521127,5.752547,12.02113,42.68901,354.1,27.19999,0
0.1727175,5.805223,12.04419,42.77437,354.1,27.19999,0
0.1951671,5.903189,12.06996,42.94889,354.1,27.19999,0
0.2161403,5.950289,12.07589,43.03711,354.1,27.19999,0
0.2378207,6.00028,12.09256,43.12386,354.1,27.19999,0
0.2599573,6.052637,12.11514,43.20938,354.1,27.19999,0
0.2807392,6.106811,12.13872,43.29397,354.1,27.19999,0
0.3019669,6.162258,12.15838,43.37791,354.1,27.19999,0
0.3238002,6.218431,12.16921,43.46148,354.1,27.19999,0
0.3449536,6.274783,12.16679,43.54495,354.1,27.19999,0
0.3671015,6.330768,12.15237,43.62861,354.1,27.19999,0
0.3878495,6.385839,12.1308,43.71274,354.1,27.19999,0
0.4098023,6.43945,12.10701,43.79762,354.1,27.19999,0
0.4307171,6.491054,12.08591,43.88353,354.1,27.19999,0
0.4517976,6.54042,12.07242,43.97137,354.3,26.79999,0
0.4728068,6.587424,12.0687,44.06395,354.9,24.59999,0
0.493741,6.627311,12.05683,44.159,355.3,22.79999,0
0.5152623,6.693201,12.0129,44.35443,355.8,18.79999,-1.070091E-07
0.5372608,6.717354,11.99066,44.45815,356.6,13.99999,0
0.5581905,6.731191,11.9748,44.56132,357,10.69999,0
0.5803866,6.738604,11.97023,44.66576,357.6,5.899992,-1.335192E-08
0.6024154,6.737279,11.97923,44.76891,357.9,1.999991,-3.337294E-09
0.6245463,6.729673,11.99784,44.87041,358.2,359.3,8.341749E-10
0.6473931,6.718649,12.02113,44.97094,358.6,356.8,0
0.6704482,6.705216,12.04419,45.07072,359,353.9,0
0.6923857,6.689342,12.06211,45.16967,359.3,351.9,0
0.715934,6.657557,12.07589,45.36708,359.7,348.9,0
0.738731,6.633633,12.09256,45.46404,-6.616207E-07,346.7,0
0.7627519,6.603443,12.11514,45.55929,0.1999993,345.2,-3.335074E-09
0.7858599,6.568838,12.13872,45.65303,0.1999993,343.9,0
0.8087047,6.530759,12.15839,45.7455,0.2999994,342.9,0
0.8316249,6.490481,12.16922,45.83647,0.5999993,341.4,0
0.8547437,6.491192,12.07001,45.83451,0.8999995,338.8,0
0.8776489,6.491896,12.07001,45.8328,1.299999,336.5,2.66873E-08
0.9016693,6.493392,12.07001,45.82968,1.899999,332.2,0
0.9244289,6.49499,12.07001,45.82689,2.2,328.2,0
0.9476508,6.496591,12.07001,45.82448,2.2,324.6,0
0.9705294,6.498089,12.07001,45.82249,2.199999,321.5,-5.340022E-08
0.9936948,6.499427,12.07001,45.82088,2.2,318.9,-5.340022E-08
1.015634,6.500671,12.07001,45.81952,2.299999,316.6,-5.340387E-08
1.038443,6.501567,12.07001,45.81859,2.499999,315,0
1.0603,6.501796,12.07001,45.81836,2.599999,314.6,1.068317E-07
1.082351,6.501853,12.07001,45.81831,2.599999,314.5,0
1.104405,6.501853,12.07001,45.81831,2.599999,314.5,0
1.126491,6.501853,12.07001,45.81831,2.599999,314.5,0
1.148332,6.501796,12.07001,45.81836,2.499999,314.6,0
1.169503,6.501796,12.07001,45.81836,2.499999,314.6,0
1.19127,6.501796,12.07001,45.81836,2.899999,314.6,0
1.212401,6.501796,12.07001,45.81836,3.499999,314.6,0
1.234622,6.501681,12.07001,45.81848,4.9,314.8,-1.071132E-07
1.256492,6.501681,12.07001,45.81848,6.799999,314.8,2.149555E-07
1.278684,6.501511,12.07001,45.81865,8.999999,315.1,0
1.300682,6.501228,12.07001,45.81894,10.4,315.6,4.340171E-07
1.322531,6.500948,12.07001,45.81922,12,316.1,-4.364237E-07
1.3447,6.500726,12.07001,45.81945,13.2,316.5,0
1.36766,6.500616,12.07001,45.81957,13.6,316.7,0
1.390884,6.500616,12.07001,45.81957,13.6,316.7,0
1.413496,6.500616,12.07001,45.81957,13.6,316.7,0
1.436616,6.500616,12.07001,45.81957,13.6,316.7,0
1.4595,6.500616,12.07001,45.81957,13.6,316.7,0
1.482614,6.500616,12.07001,45.81957,13.6,316.7,0
1.505469,6.500616,12.07001,45.81957,13.6,316.7,0
1.5286,6.500616,12.07001,45.81957,13.7,316.7,0
1.551615,6.500616,12.07001,45.81957,13.7,316.7,0
1.574716,6.500616,12.07001,45.81957,13.7,316.7,0
1.597679,6.500616,12.07001,45.81957,13.7,316.7,0
1.620622,6.500616,12.07001,45.81957,13.7,316.7,0
1.643474,6.500616,12.07001,45.81957,13.7,316.7,0
1.66548,6.500616,12.07001,45.81957,13.7,316.7,0
1.688742,6.500671,12.07001,45.81952,13.8,316.6,-4.395755E-07
1.711798,6.500837,12.07001,45.81934,14.1,316.3,0
1.734854,6.50106,12.07001,45.81911,14.5,315.9,0
1.757875,6.501116,12.07001,45.81905,14.6,315.8,0
1.781593,6.500948,12.07001,45.81922,14.6,316.1,4.411313E-07
1.804805,6.500232,12.07001,45.81998,14,317.4,0
1.827822,6.500178,12.07001,45.82004,13.9,317.5,4.397647E-07
1.850853,6.500178,12.07001,45.82004,13.9,317.5,4.397647E-07
1.873495,6.500178,12.07001,45.82004,13.9,317.5,4.397647E-07
1.896746,6.500178,12.07001,45.82004,13.9,317.5,4.397647E-07
1.919549,6.500178,12.07001,45.82004,13.9,317.5,4.397647E-07
1.942563,6.500178,12.07001,45.82004,13.9,317.5,4.397647E-07
1.9656,6.500178,12.07001,45.82004,13.9,317.5,4.397647E-07
1.988722,6.500178,12.07001,45.82004,13.9,317.5,4.397647E-07
2.01149,6.500178,12.07001,45.82004,13.9,317.5,4.397647E-07
2.034689,6.500178,12.07001,45.82004,13.9,317.5,4.397647E-07
2.057736,6.500178,12.07001,45.82004,13.9,317.5,4.397647E-07
2.080716,6.500178,12.07001,45.82004,13.9,317.5,4.397647E-07
2.103854,6.500178,12.07001,45.82004,13.9,317.5,4.397647E-07
2.126738,6.500178,12.07001,45.82004,13.9,317.5,4.397647E-07
2.149756,6.500396,12.07001,45.81981,13.7,317.1,0
2.172477,6.500893,12.07001,45.81928,12.6,316.2,0
2.195781,6.502548,12.07001,45.81764,11.9,313.3,-4.362625E-07
2.218646,6.505465,12.07001,45.81511,11.7,308.5,-4.359445E-07
2.241612,6.510209,12.07001,45.8118,11.8,301.3,0
2.264525,6.517558,12.07001,45.80819,12.2,291.1,-4.367504E-07
2.287601,6.525826,12.07001,45.80585,12.8,280.4,0
2.310626,6.533901,12.07001,45.8051,12.8,270.3,-4.377656E-07
2.332508,6.538317,12.07001,45.80529,12.8,264.8,-8.75531E-07
2.356324,6.543562,12.07001,45.80607,12.8,258.2,4.377656E-07
2.375715,6.546994,12.07001,45.80693,12.8,253.8,-4.377656E-07
2.393274,6.547995,12.07001,45.80723,12.8,252.5,0
2.411397,6.548454,12.07001,45.80738,12.6,251.9,0
2.42919,6.548454,12.07001,45.80738,12.6,251.9,0
2.447174,6.548454,12.07001,45.80738,12.6,251.9,0
2.464917,6.548454,12.07001,45.80738,12.6,251.9,0
2.481988,6.548454,12.07001,45.80738,12.6,251.9,0
2.499208,6.548454,12.07001,45.80738,12.6,251.9,0
2.517304,6.548454,12.07001,45.80738,12.6,251.9,0
2.534226,6.548454,12.07001,45.80738,12.6,251.9,0
2.550951,6.548454,12.07001,45.80738,12.6,251.9,0
2.567896,6.548454,12.07001,45.80738,12.6,251.9,0
2.586,6.548454,12.07001,45.80738,12.6,251.9,0
2.603425,6.548454,12.07001,45.80738,12.6,251.9,0
2.620154,6.548454,12.07001,45.80738,12.6,251.9,0
2.637303,6.548454,12.07001,45.80738,12.6,251.9,0
2.653899,6.548454,12.07001,45.80738,12.6,251.9,0
2.671018,6.548454,12.07001,45.80738,12.6,251.9,0
2.688575,6.548454,12.07001,45.80738,12.6,251.9,0
2.722749,6.548454,12.07001,45.80738,12.6,251.9,0
2.738719,6.548454,12.07001,45.80738,12.6,251.9,0
2.755268,6.548454,12.07001,45.80738,12.6,251.9,0
2.772343,6.548454,12.07001,45.80738,12.6,251.9,0
2.788863,6.548454,12.07001,45.80738,12.6,251.9,0
2.80519,6.548454,12.07001,45.80738,12.6,251.9,0
2.822452,6.548454,12.07001,45.80738,12.6,251.9,0
2.838954,6.548454,12.07001,45.80738,12.6,251.9,0
2.855387,6.548454,12.07001,45.80738,12.6,251.9,0
2.873031,6.548454,12.07001,45.80738,12.6,251.9,0
2.888681,6.548531,12.07001,45.8074,12.4,251.8,0
2.905365,6.547995,12.07001,45.80723,12,252.5,4.364237E-07
2.922712,6.546762,12.07001,45.80686,11.7,254.1,4.359445E-07
2.938966,6.544426,12.07001,45.80626,11.2,257.1,-4.351747E-07
2.95606,6.541031,12.07001,45.80562,10.6,261.4,4.342979E-07
2.971941,6.537516,12.07001,45.80522,10.1,265.8,0
2.988864,6.534303,12.07001,45.8051,9.499999,269.8,4.328226E-07
3.00595,6.531089,12.07001,45.8052,9,273.8,0
3.022314,6.527253,12.07001,45.80562,8.300001,278.6,4.314055E-07
3.039009,6.525668,12.07001,45.80589,8.100002,280.6,-4.311885E-07
3.055518,6.5248,12.07001,45.80606,8.100002,281.7,0
3.090442,6.524564,12.07001,45.80611,8.100002,282,0
3.105277,6.524564,12.07001,45.80611,8.100002,282,0
3.121979,6.524564,12.07001,45.80611,8.100002,282,0
3.138576,6.524564,12.07001,45.80611,8.100002,282,0
3.155005,6.524564,12.07001,45.80611,8.100002,282,0
3.17245,6.524564,12.07001,45.80611,8.100002,282,0
3.188992,6.524564,12.07001,45.80611,8.100002,282,0
3.224095,6.524486,12.07001,45.80612,8.200004,282.1,0
3.239631,6.524486,12.07001,45.80612,8.200004,282.1,0
3.255851,6.524486,12.07001,45.80612,8.200004,282.1,0
3.272514,6.524486,12.07001,45.80612,8.200004,282.1,0
3.289007,6.524486,12.07001,45.80612,8.200004,282.1,0
3.305636,6.524486,12.07001,45.80612,8.200004,282.1,0
3.322564,6.524643,12.07001,45.80609,8.300002,281.9,4.314055E-07
3.339573,6.524643,12.07001,45.80609,8.300002,281.9,4.314055E-07
3.372813,6.524643,12.07001,45.80609,8.300002,281.9,4.314055E-07
3.389402,6.524643,12.07001,45.80609,8.300002,281.9,4.314055E-07
3.405793,6.524643,12.07001,45.80609,8.300002,281.9,4.314055E-07
