TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04195985,0,4.476456,-39,0,359.9,0
0.07001314,0,4.42152,-39,0,359.9,0
0.1046887,0,4.38228,-39,0,359.9,0
0.1401879,0,4.280256,-39,0,359.9,0
0.1747085,0,4.14684,-39,0,359.9,0
0.2102529,0,3.982032,-39,0,359.9,0
0.2451455,0,3.887856,-39,0,359.9,0
0.2808777,0,3.67596,-39,0,359.9,0
0.3153157,0,3.432672,-39,0,359.8,0
0.3503715,0,3.157992,-39,0,359.8,0
0.3848465,0,3.105,-39,0,359.8,0
0.4202415,0,3.087763,-39,0,359.8,0
0.455501,0,3.067762,-39,0,359.8,0
0.4915488,0,3.047762,-39,0,359.8,0
0.5263645,0,3.027762,-39,0,359.8,0
0.5612084,0,3.017763,-39,0,359.8,0
0.5963515,0,3.005,-39,0,359.8,0
0.6324988,0,3.025,-39,0,359.8,0
0.6672344,0,3.045,-39,0,359.8,0
0.7031996,0,3.055,-39,0,359.8,0
0.7392314,0,3.075,-39,0,359.8,0
0.7741338,0,3.095,-39,0,359.8,0
0.8088453,0,3.105,-39,0,359.8,0
0.8443937,0,3.105,-39,0,359.8,0
0.8790462,0,3.105,-39,0,359.8,0
0.9143925,0,3.105,-39,0,359.8,0
0.9502335,0,3.105,-39,0,359.8,0
0.9855269,0,3.105,-39,0,359.8,0
1.020232,0,3.105,-39,0,359.8,0
1.055632,0.004719779,3.12442,-38.79998,0,359.8,0
1.090252,0.02035463,3.170145,-38.59993,0,359.8,0
1.125235,0.03076878,3.190746,-38.49977,0.1,359.6,0
1.159306,0.0530226,3.203075,-38.29961,0.7000001,359.6,2.084564E-10
1.195555,0.0740108,3.169455,-38.09946,0.8000001,359.6,2.084611E-10
1.231287,0.08881855,3.123841,-37.89936,0.8000001,359.6,2.084611E-10
1.26648,0.09253433,3.104476,-37.69933,0.8000001,359.6,2.084611E-10
1.301608,0.08910423,3.094369,-37.59935,0.8000001,359.6,2.084611E-10
1.337434,0.07367006,3.051643,-37.39945,0.8000001,359.6,2.084611E-10
1.372532,0.05090021,3.011669,-37.1996,0.8000001,359.6,2.084611E-10
1.406936,0.02570936,3.012055,-36.99977,0.8000001,359.6,2.084611E-10
1.442255,0.01374211,3.02948,-36.89986,0.8000001,359.6,2.084611E-10
1.477252,-0.005863915,3.075782,-36.69999,0.8000001,359.6,2.084611E-10
1.512259,-0.01560312,3.104586,-36.50005,0.8000001,359.6,2.084611E-10
1.54734,-0.02252185,3.12442,-36.3001,0.9999999,359.5,0
1.58226,-0.03049017,3.146397,-36.20017,0.9999999,359.5,0
1.617317,-0.05223525,3.190746,-36.00041,1.1,359.4,-8.33917E-10
1.652217,-0.07797891,3.203075,-35.80067,1.1,359.4,-8.33917E-10
1.687439,-0.1024538,3.169455,-35.60119,1.6,359.2,8.340885E-10
1.722546,-0.1130235,3.145689,-35.50179,2.2,358.9,-1.668757E-09
1.75725,-0.1281159,3.108824,-35.30273,3.199999,358.5,3.340261E-09
1.792236,-0.1314635,3.094369,-35.10342,3.9,358.1,0
1.827138,-0.124059,3.051643,-34.90321,4,358,6.686394E-09
1.862194,-0.1174778,3.028854,-34.80293,4,358,6.686394E-09
1.898111,-0.1012727,3.005002,-34.60224,4,358,6.686394E-09
1.932834,-0.08510461,3.02948,-34.40155,4,358,6.686394E-09
1.967976,-0.07388526,3.075781,-34.20103,4,358,6.686394E-09
2.003115,-0.07166649,3.094123,-34.1009,4,358,6.686394E-09
2.038189,-0.07483526,3.109128,-33.90089,4,358,6.686394E-09
2.073124,-0.07038581,3.146398,-33.70061,4,358,6.686394E-09
2.108449,-0.05737675,3.190746,-33.50003,4,358,6.686394E-09
2.142008,-0.06086874,3.305,-33.40004,4.099999,357.9,6.687221E-09
2.176732,-0.06820184,3.681456,-33.20006,4.3,357.7,0
2.212191,-0.07623547,4.02652,-33.00005,4.7,357.4,6.692611E-09
2.246469,-0.08531624,4.340192,-32.80009,5.1,357.1,-1.339323E-08
2.282611,-0.09037554,4.485256,-32.70021,5.1,357.1,-1.339323E-08
2.317515,-0.1004971,4.75184,-32.50041,5.2,357,0
2.353174,-0.1109642,4.987032,-32.30069,5.2,357,0
2.388154,-0.1214314,5.190832,-32.10096,5.2,357,0
2.423203,-0.126665,5.28096,-32.0011,5.2,357,0
2.458122,-0.1371322,5.437673,-31.80137,5.2,357,0
2.49297,-0.1475994,5.562993,-31.60165,5.2,357,0
2.527768,-0.1580666,5.656921,-31.40192,5.2,357,0
2.563082,-0.1633002,5.692113,-31.30206,5.2,357,0
2.598262,-0.1737674,5.738953,-31.10233,5.2,357,0
2.632782,-0.1842346,5.754401,-30.90261,5.2,357,0
2.667643,-0.1947018,5.738457,-30.70288,5.2,357,0
2.701655,-0.1999354,5.718713,-30.60302,5.2,357,0
2.73705,-0.2104026,5.655681,-30.40329,5.2,357,0
2.772196,-0.2208697,5.561257,-30.20357,5.2,357,0
2.80704,-0.231337,5.435441,-30.00384,5.2,357,0
2.840739,-0.2365705,5.360762,-29.90398,5.2,357,0
2.875784,-0.2470377,5.187858,-29.70425,5.2,357,0
2.910613,-0.2575049,4.983562,-29.50452,5.2,357,0
2.945194,-0.2627385,4.869642,-29.40466,5.2,357,0
2.979596,-0.2732057,4.618258,-29.20494,5.2,357,0
3.013383,-0.2836729,4.335483,-29.00521,5.2,357,0
3.048546,-0.2941401,4.021315,-28.80548,5.2,357,0
3.082903,-0.2993737,3.852459,-28.70562,5.2,357,0
3.118016,-0.3098225,3.491203,-28.50629,2.899999,357.7,0
3.151858,-0.3061529,3.203287,-28.30853,357.8,0.9999999,-1.668757E-09
3.18684,-0.2727686,3.176718,-28.11498,351.8,4.7,0
3.221571,-0.2553584,3.15837,-28.02337,346.6,8.900002,-1.097084E-07
3.256033,-0.2112911,3.126038,-27.83295,345.8,10.6,1.100853E-07
3.290679,-0.1730999,3.121251,-27.6388,345.8,10.6,1.100853E-07
3.324776,-0.159042,3.109728,-27.54078,345.8,10.6,1.100853E-07
3.359636,-0.1382844,3.072876,-27.34337,345.8,10.6,1.100853E-07
3.393366,-0.1233112,3.076404,-27.14487,345.8,10.6,1.100853E-07
3.427451,-0.1090104,3.14146,-26.94713,345.8,10.3,0
3.463175,-0.1013533,3.187266,-26.84779,345.9,9.800001,1.100369E-07
3.496833,-0.08253652,3.281744,-26.65022,346,9.4,1.099888E-07
3.531528,-0.05444558,3.349138,-26.45433,346,9.299999,0
3.565705,-0.0410887,3.384852,-26.35629,346.1,9.099998,1.099412E-07
3.601391,-0.02339147,3.467552,-26.15883,346.1,8.9,1.099412E-07
3.634886,-0.01312691,3.538264,-25.96069,346.1,8.500001,0
3.67027,-0.005992401,3.56922,-25.76284,346.3,7.9,0
3.703659,-0.00323984,3.567602,-25.66442,346.3,7.3,-5.492346E-08
3.738288,0.004634432,3.554247,-25.46786,346.3,6.5,5.492348E-08
3.772936,0.01962519,3.560162,-25.27315,346.5,5.3,5.487711E-08
3.806944,0.04401895,3.570539,-25.08233,347.1,2.799999,0
3.840645,0.05611291,3.56292,-24.9874,348.1,0.4999996,0
3.876153,0.07787673,3.549037,-24.79159,349.1,358.7,0
3.909549,0.0970342,3.568436,-24.59474,350.7,356.8,-2.703579E-08
3.943918,0.103019,3.596946,-24.49601,351.7,355.6,2.696284E-08
3.978678,0.1071155,3.671524,-24.29755,352.5,354.4,-2.691065E-08
4.012716,0.08732966,4.102407,-24.10173,353.1,353.3,-2.687507E-08
4.047364,0.06387902,4.463167,-23.90431,353.4,352.8,-2.685842E-08
4.080496,0.0513457,4.631775,-23.8051,353.4,352.8,-2.685842E-08
4.114483,0.02627905,4.945447,-23.60668,353.4,352.8,-2.685842E-08
4.14877,0.001212404,5.227727,-23.40825,353.4,352.8,-2.685842E-08
4.182622,-0.01132092,5.357095,-23.30904,353.4,352.8,-2.685842E-08
4.216384,-0.03638757,5.592287,-23.11062,353.4,352.8,-2.685842E-08
4.250081,-0.06145422,5.796087,-22.9122,353.4,352.8,-2.685842E-08
4.284194,-0.07398754,5.886215,-22.81298,353.4,352.8,-2.685842E-08
4.317575,-0.09905419,6.042927,-22.61456,353.4,352.8,-2.685842E-08
4.351594,-0.1241208,6.168248,-22.41614,353.4,352.8,-2.685842E-08
4.385604,-0.1366542,6.219136,-22.31693,353.4,352.8,-2.685842E-08
4.418167,-0.1617208,6.297368,-22.1185,353.4,352.8,-2.685842E-08
4.452922,-0.1867875,6.344208,-21.92008,353.4,352.8,-2.685842E-08
4.485898,-0.1993282,6.355856,-21.82081,353.8,353.1,2.68374E-08
4.518991,-0.2233937,6.355608,-21.62189,354.4,354.9,0
4.553046,-0.2412065,6.323968,-21.42218,355.1,357.4,-6.694572E-09
4.585712,-0.2457508,6.296376,-21.32146,356.2,1.5,0
4.619963,-0.2403798,6.217648,-21.12003,357.8,8.900001,-1.335005E-08
4.653099,-0.2090648,6.107528,-20.92083,359,17.1,0
4.686579,-0.1317453,5.966016,-20.7407,0.400001,26.9,-6.670269E-09
4.72058,-0.07454381,5.883489,-20.66004,1.300001,33.6,2.668729E-08
4.754194,0.05689177,5.704462,-20.51145,1.900001,37.5,0
4.788275,0.1936652,5.733594,-20.36746,2.400001,40.2,-5.34077E-08
4.820967,0.2650633,5.747468,-20.29828,2.900001,43,0
4.853963,0.41882,5.790717,-20.17109,3.000001,45.8,1.068682E-07
4.887223,0.5822178,5.822877,-20.0546,3.000001,47.1,-1.068682E-07
4.918491,0.6649567,5.822983,-19.99912,3.200001,48.6,0
4.950673,0.8315687,5.783554,-19.89071,3.500001,50.9,1.069211E-07
4.982116,0.9139531,5.759003,-19.83829,3.700001,52.9,1.069446E-07
5.013149,1.078178,5.737539,-19.73012,3.700001,55.1,-1.069446E-07
5.043743,1.154704,5.736941,-19.67611,3.700001,58.7,-1.069446E-07
5.072622,1.312367,5.718793,-19.55742,3.200001,60.40001,0
5.10304,1.389726,5.696229,-19.4935,3.100001,60.60001,1.068781E-07
5.131807,1.539636,5.652548,-19.35723,3.000001,60.70001,2.137363E-07
5.155234,1.613109,5.641614,-19.28577,2.400001,60.10001,1.068154E-07
5.174972,1.686579,5.644697,-19.21212,1.700001,57.40001,0
5.196936,1.758503,5.652019,-19.13713,1.200001,53.5,-5.337256E-08
5.217493,1.829716,5.669334,-19.06092,359.9,44.7,0
5.238482,1.898079,5.694643,-18.98505,358.7,33.3,2.668729E-08
5.266151,2.031721,5.745673,-18.83965,357.9,21,2.669836E-08
5.296282,2.098969,5.765591,-18.76808,356.3,6.500003,-1.336808E-08
5.327174,2.212333,5.855265,-18.62239,355.2,357.5,-1.338716E-08
5.360357,2.255204,5.918792,-18.54937,354.6,354.1,0
5.394851,2.310156,6.050109,-18.39811,354.5,353.5,-2.680382E-08
5.42847,2.327238,6.140812,-18.23586,354.5,353.5,-2.680382E-08
5.461704,2.32354,6.164623,-18.14982,354.8,353.2,2.679069E-08
5.494268,2.298728,6.180256,-17.96912,355.4,351.4,0
5.527077,2.262698,6.17536,-17.78051,356.2,348.3,0
5.560379,2.244987,6.175793,-17.68961,356.8,344.1,0
5.593302,2.203443,6.132216,-17.50039,357.1,339.8,5.342928E-08
5.625979,2.183135,6.081944,-17.40719,357.6,336.9,5.34077E-08
5.659156,2.159183,5.945943,-17.22314,357.8,336.2,2.670011E-08
5.692287,2.192496,5.807583,-17.05702,357.9,336.1,2.669836E-08
5.724136,2.239982,5.745331,-16.9801,358.8,337.7,2.668628E-08
5.75743,2.263205,5.395462,-16.81489,0.4999997,342,0
5.790881,2.233753,5.371918,-16.65611,1.5,346.1,0
5.823059,2.268044,5.348374,-16.61634,2.1,350.1,0
5.855729,2.347028,5.277742,-16.5316,2.7,354,0
5.888673,2.432475,5.175718,-16.44039,3.2,357.7,0
5.922456,2.477408,5.112934,-16.38927,3.800001,1.700001,-6.684803E-09
5.955395,2.57639,4.963822,-16.28308,4.4,6.700001,0
5.98867,2.696904,4.937116,-16.1709,5.300002,12.9,0
6.022769,2.754113,4.959492,-16.10717,6.500001,21.90001,2.148243E-07
6.05537,2.878313,4.96974,-15.97177,6.700001,27.8,-1.074555E-07
6.088263,2.986384,5.021015,-15.80616,6.700001,30.3,0
6.1212,3.116407,5.036159,-15.76633,6.700001,30.3,0
6.154093,3.241534,5.073508,-15.60643,5.700002,26.7,1.07252E-07
6.187083,3.357399,5.055399,-15.43004,4.400001,17.6,5.351858E-08
6.219086,3.40103,5.043209,-15.3222,2.700001,5.6,0
6.252077,3.433465,5.0518,-15.10467,0.8000001,352.7,0
6.285351,3.418291,5.068622,-14.98714,359.2,341.4,0
6.317528,3.34568,5.094168,-14.7961,358.6,337.6,0
6.350277,3.252574,5.095401,-14.61889,358.5,336.7,-2.668957E-08
6.383248,3.20232,5.099322,-14.53192,358.7,336.1,2.66873E-08
6.4166,3.098064,5.137916,-14.35938,359.4,333.6,0
6.450621,2.987523,5.200444,-14.19017,359.7,327.9,0
6.483356,2.925452,5.236832,-14.1101,359.7,319.5,1.33404E-08
6.514678,2.786765,5.293891,-13.96709,359.7,311,1.33404E-08
6.54781,2.632618,5.328811,-13.84155,359.7,305.4,-1.334039E-08
6.578351,2.547454,5.357161,-13.78993,359.5,303.6,0
6.609865,2.369934,5.419909,-13.69648,359.5,303.6,0
6.640723,2.2798,5.443908,-13.65154,359.7,304,0
6.664001,2.189034,5.456706,-13.60594,0.3000002,305.2,0
6.684654,2.099472,5.456176,-13.55851,0.6000002,306,0
6.703661,2.01057,5.44622,-13.50894,0.9000002,307.1,2.668372E-08
6.724892,1.92412,5.431295,-13.45715,1.1,307.5,0
6.747007,1.756417,5.408764,-13.34775,1.2,308,0
6.7701,1.675584,5.409968,-13.28862,1.3,308.3,0
6.794796,1.597724,5.413179,-13.22654,1.3,308.3,0
6.824044,1.521894,5.405652,-13.16189,1.3,308.3,0
6.853093,1.374484,5.37753,-13.02657,1.3,308.6,0
6.882084,1.302426,5.367348,-12.95595,1.1,309.1,2.668534E-08
6.91149,1.16128,5.37751,-12.81343,1.1,309.5,2.668534E-08
