TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.05958167,0,4.452912,-39,0,0,0
0.1036983,0,4.38228,-39,0,0,0
0.1555288,0,4.217472,-39,0,0,0
0.2079616,0,3.982032,-39,0,0,0
0.2602585,0,3.785832,-39,0,0,0
0.3123224,0,3.432672,-39,0,0,0
0.3633036,0,3.157992,-38.8,0,0,0
0.4161434,0.007291379,3.130554,-38.5,0,0,0
0.4697273,0.03596042,3.159172,-38.2,0,0,0
0.5188975,0.05973483,3.143913,-38,0,0,0
0.5707603,0.09010084,3.052269,-37.7,0,0,0
0.6234036,0.09964652,3.006381,-37.5,0,0,0
0.6752515,0.08908916,2.998276,-37.2,0,0,0
0.7260187,0.05817683,2.968332,-36.9,0,0,0
0.7780877,0.03444288,2.996432,-36.7,0,0,0
0.8305258,0.006441575,3.082197,-36.4,0,0,0
0.8830982,-8.301861E-06,3.105033,-36.2,0,0,0
0.9349276,-0.0150962,3.153581,-35.9,0,0,0
0.9871389,-0.04779104,3.204745,-35.6,0,0,0
1.039717,-0.0711772,3.184581,-35.40013,0.1,359.9,-6.513785E-12
1.091955,-0.09687143,3.11838,-35.10101,0.5000001,359.4,-4.168975E-10
1.144401,-0.09933294,3.089314,-34.80186,0.7,358.9,0
1.196059,-0.08768505,3.044489,-34.60286,1,358,-1.66778E-09
1.24765,-0.06415623,3.00574,-34.30193,1,357.9,-1.66778E-09
1.299965,-0.04876871,3.036015,-34.10123,1,357.9,-1.66778E-09
1.351946,-0.03788707,3.098967,-33.80063,1,357.9,-1.66778E-09
1.403019,-0.04156903,3.112733,-33.60063,1,357.9,-1.66778E-09
1.455512,-0.02977718,3.176899,-33.3,1,357.9,-1.66778E-09
1.506983,-0.005916305,3.200333,-32.99892,1,357.9,-1.66778E-09
1.557465,0.008498713,3.162395,-32.79797,1.1,357.7,0
1.609011,0.01455636,3.10638,-32.49679,1.5,357.3,-3.336196E-09
1.660982,0.001015045,3.089314,-32.29453,2.6,355.7,-6.67698E-09
1.712924,-0.04746125,3.02287,-31.99623,3.099999,354.8,1.335976E-08
1.764872,-0.1098242,3.016432,-31.70025,3.5,354.1,0
1.81788,-0.150774,3.059576,-31.50341,3.5,354.1,0
1.868203,-0.1954888,3.105033,-31.20644,3.5,354.1,0
1.920998,-0.2232919,3.130555,-31.00825,3.5,354.1,0
1.972071,-0.2826471,3.195592,-30.71278,3.5,354.1,0
2.025161,-0.3485151,3.184581,-30.41799,3.5,354.1,0
2.076307,-0.3878968,3.138689,-30.22099,3.5,354.1,0
2.127734,-0.4279879,3.102689,-29.92354,3.5,354.1,0
2.180056,-0.4379961,3.068276,-29.72601,4.1,352.5,0
2.231622,-0.4463646,3.008332,-29.42555,4.3,351.5,-2.675574E-08
2.282737,-0.4524354,3.016432,-29.22435,4.4,351.3,2.675929E-08
2.334519,-0.4701329,3.082198,-28.92358,4.4,351.2,2.675929E-08
2.3864,-0.5076299,3.112733,-28.62581,4.4,351.2,2.675929E-08
2.437933,-0.5253416,3.153581,-28.42617,4.4,351.2,2.675929E-08
2.489432,-0.5389272,3.216314,-28.1247,4.4,351.2,2.675929E-08
2.540277,-0.5467114,3.225397,-27.92571,4.4,351.2,2.675929E-08
2.590641,-0.5683847,3.203202,-27.62857,4.4,351.2,2.675929E-08
2.643307,-0.5963262,3.216846,-27.43271,4.4,351.2,2.675929E-08
2.694138,-0.6617051,3.202548,-27.14253,4.4,351.2,2.675929E-08
2.745551,-0.7417277,3.20789,-26.85463,4.4,351.2,2.675929E-08
2.79641,-0.7951221,3.267555,-26.66266,4.5,351.1,2.676293E-08
2.846588,-0.8636446,3.374419,-26.37297,5.000001,349.6,0
2.897815,-0.9037196,3.417364,-26.17921,5.399999,348.1,-5.359873E-08
2.948528,-0.988461,3.529456,-25.89546,5.8,345.4,-1.072708E-07
3.000232,-1.060704,3.589529,-25.71282,6,342.6,1.073096E-07
3.051013,-1.182444,3.594631,-25.44475,5.999999,339.8,1.073096E-07
3.102429,-1.265449,3.581834,-25.26727,6,338.4,0
3.153457,-1.375688,3.595442,-24.99359,6,337.3,1.073096E-07
3.205457,-1.468487,3.569983,-24.71054,5.999999,337.1,1.073096E-07
3.255679,-1.525359,3.580247,-24.51958,6,337,1.073096E-07
3.307381,-1.613987,3.675068,-24.23437,6,336.9,0
3.358051,-1.681857,3.741648,-24.04792,6,336.9,0
3.408632,-1.792484,3.814144,-23.77201,6,336.9,0
3.459305,-1.855518,3.887735,-23.58349,6,336.9,0
3.509882,-1.942245,3.951883,-23.29738,6,336.9,0
3.560624,-2.000999,3.94113,-23.10828,5.7,337.7,0
3.611087,-2.097552,3.926306,-22.83159,5.5,340.3,0
3.66188,-2.166442,3.937083,-22.65688,6.1,346.5,0
3.712891,-2.260862,3.913883,-22.38446,7.2,354.7,0
3.764036,-2.302851,3.925561,-22.19696,7.7,3.7,0
3.814958,-2.315778,4.024924,-21.89995,7.7,11.3,-5.384636E-08
3.865397,-2.269976,4.11382,-21.60643,7.7,18.8,1.076928E-07
3.917431,-2.211725,4.167594,-21.4159,7.7,26.4,2.153855E-07
3.967917,-2.100357,4.274196,-21.13353,8.700002,34.40001,0
4.017187,-1.999514,4.306028,-20.95026,10.5,44.1,-4.341568E-07
4.06858,-1.802753,4.279864,-20.71065,11.2,51.2,4.351747E-07
4.115576,-1.650471,4.268408,-20.57956,11.1,52.3,0
4.16546,-1.405348,4.260383,-20.40868,11.1,52.3,0
