TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04190699,-4.704304,12.12777,42.18399,22.10003,16.49999,0
0.08301038,-4.63178,12.09163,42.37046,22.10003,15.89999,2.30369E-07
0.1245771,-4.572509,12.07392,42.5628,22.00003,15.19999,0
0.1641216,-4.528985,12.04249,42.75822,22.00003,15.19999,0
0.2054297,-4.494569,11.99645,42.95638,22.00003,14.99999,0
0.2460446,-4.465342,11.97513,43.1556,22.00003,14.99999,0
0.285084,-4.435802,12.00198,43.35474,22.00003,14.99999,0
0.3239999,-4.401194,12.04834,43.55252,22.00003,14.99999,0
0.3627709,-4.356782,12.07489,43.74767,21.60003,15.29999,2.295643E-07
0.4030138,-4.309924,12.09675,43.94225,21.40003,15.69999,-2.292488E-07
0.4417571,-4.272003,12.14282,44.13934,21.40003,15.69999,-2.292488E-07
0.4798899,-4.239684,12.174,44.33801,21.40003,15.69999,-2.292488E-07
0.5187205,-4.208235,12.1581,44.53692,21.40003,15.69999,-2.292488E-07
0.5567496,-4.172622,12.11293,44.73578,21.30003,16.39999,0
0.5959825,-4.123716,12.07774,44.93835,21.60003,21.09999,0
0.6337581,-4.042061,12.06249,45.13866,23.00002,30.79999,-4.63753E-07
0.6713217,-3.919027,12.01884,45.31424,24.40003,40.49999,-9.375087E-07
0.7072314,-3.839924,11.99646,45.39018,25.20003,47.79999,0
0.7442218,-3.670361,11.97513,45.5117,25.40002,56.39999,9.451351E-07
0.7800536,-3.489069,12.00198,45.6044,25.40003,61.59999,0
0.811293,-3.303916,12.04834,45.68426,26.00002,68.00001,9.499106E-07
0.8462903,-3.208786,12.06655,45.71685,27.50003,78.49999,0
0.878862,-3.208454,12.075,45.71689,28.80003,86.99998,-9.742865E-07
0.9095606,-3.20821,12.075,45.71689,29.50002,93.19999,0
0.9414184,-3.208077,12.075,45.71688,29.70003,96.59999,9.828955E-07
0.9733871,-3.208042,12.075,45.71687,29.70003,97.49998,-9.828954E-07
1.002342,-3.208042,12.075,45.71687,29.70003,97.49998,-9.828954E-07
1.030258,-3.208042,12.075,45.71687,29.70003,97.49998,-9.828954E-07
1.057911,-3.208042,12.075,45.71687,29.70003,97.49998,-9.828954E-07
1.084472,-3.208034,12.075,45.71687,29.60003,97.69999,0
1.110943,-3.207995,12.075,45.71687,29.30003,98.69997,-9.790207E-07
1.137134,-3.207948,12.075,45.71686,29.30003,99.89998,-1.958041E-06
1.162651,-3.207902,12.075,45.71685,29.30003,101.1,1.958042E-06
1.190087,-3.207856,12.075,45.71684,29.30003,102.3,-9.790206E-07
1.217251,-3.207848,12.075,45.71684,29.30003,102.5,0
1.24276,-3.207848,12.075,45.71684,29.30003,102.5,0
1.268719,-3.207848,12.075,45.71684,29.30003,102.5,0
1.294678,-3.207848,12.075,45.71684,29.30003,102.5,0
1.320586,-3.207848,12.075,45.71684,29.30003,102.5,0
1.346951,-3.207848,12.075,45.71684,29.30003,102.5,0
1.372602,-3.013386,12.08042,45.66996,29.30003,102.5,0
1.39745,-2.916772,12.09675,45.64373,29.30003,102.5,0
1.4239,-2.820739,12.11919,45.61488,29.30003,102.5,0
1.449775,-2.725155,12.14282,45.58401,29.30003,102.5,0
1.474708,-2.534797,12.174,45.51862,29.30003,102.5,0
1.501254,-2.439794,12.17211,45.48545,29.30003,102.5,0
1.527663,-2.344689,12.15811,45.4526,29.30003,102.5,0
1.552698,-2.153658,12.11295,45.39024,29.30003,102.5,0
1.578968,-2.057486,12.09164,45.36202,29.30003,102.5,0
1.604435,-1.960697,12.07774,45.33659,29.30003,102.5,0
1.629923,-1.862992,12.07393,45.31448,29.20003,102.4,0
1.654857,-1.664439,12.0425,45.28028,29.10003,101.6,0
1.679752,-1.563651,12.01885,45.26827,28.90003,100.8,0
1.705752,-1.462886,11.99647,45.25949,28.90003,100.3,0
1.730747,-1.362044,11.98025,45.25275,28.90003,99.89998,0
1.756052,-1.160682,11.98365,45.24175,28.90003,99.49998,1.950448E-06
1.781359,-1.059773,12.00196,45.23618,28.80003,98.49998,9.742865E-07
1.806842,-0.9592013,12.02516,45.23111,28.70003,97.69998,9.73354E-07
1.832747,-0.759206,12.06654,45.21749,28.60002,97.29998,-9.724263E-07
1.859117,-0.6597329,12.07489,45.207,28.60002,96.99997,-9.724264E-07
1.883672,-0.5603116,12.08041,45.19625,28.50002,96.59998,-9.715034E-07
1.909562,-0.4604985,12.09674,45.18943,28.40002,95.99998,0
1.93461,-0.2598355,12.14281,45.18526,28.40002,95.99998,0
1.960544,-0.1592438,12.16272,45.18565,28.40002,95.99998,0
1.986707,-0.05856413,12.174,45.18687,28.40002,95.99998,0
2.012488,0.1426819,12.15811,45.1894,28.30002,95.89998,0
2.052703,0.347929,12.11295,45.18773,26.60002,98.69997,1.909679E-06
2.116888,0.6587197,12.07393,45.15051,24.50002,106.1,9.38253E-07
2.234261,0.6798041,12.075,45.1381,22.10002,120.3,0
2.319192,0.3244057,11.98728,45.31016,19.90002,125.8,0
