TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03285251,0.07508191,11.98598,42.20898,12.2,8.099973,1.091876E-07
0.04880538,0.09944211,12.014,42.3054,12.2,8.099973,1.091876E-07
0.06577378,0.1218897,12.03753,42.40322,12.2,8.099973,1.091876E-07
0.0995746,0.1592042,12.06893,42.59992,12.2,8.099973,1.091876E-07
0.1163844,0.1592042,12.06893,42.59992,12.2,8.099973,1.091876E-07
0.1326585,0.1742694,12.07275,42.69879,12.2,8.099973,1.091876E-07
0.1489311,0.192209,12.08667,42.79724,12.2,8.099973,1.091876E-07
0.1667596,0.2129652,12.10798,42.89529,12.2,8.099973,1.091876E-07
0.2002032,0.2604942,12.15313,43.09054,12.2,8.099973,1.091876E-07
0.2163239,0.2604942,12.15313,43.09054,12.2,8.099973,1.091876E-07
0.2331681,0.2860505,12.16715,43.18792,12.2,8.099973,1.091876E-07
0.2667041,0.3376388,12.1577,43.38212,12.2,8.499972,0
0.2832091,0.3631193,12.13778,43.47888,12.39999,8.899971,0
0.2995982,0.3878013,12.11414,43.57547,12.59999,9.399971,-1.093553E-07
0.316193,0.3873735,12.11414,43.57309,13.29999,10.99997,0
0.3497567,0.4365057,12.0754,43.76308,14.1,13.39997,1.100369E-07
0.3663459,0.4605274,12.06989,43.858,14.6,14.59997,2.205656E-07
0.3831953,0.4829877,12.06152,43.9532,15.1,15.89997,0
0.400058,0.5047001,12.0433,44.04915,15.5,16.99997,2.214992E-07
0.4329675,0.5254953,12.02013,44.14443,16,18.89997,-2.220451E-07
0.4498353,0.5481369,11.99694,44.241,16.3,19.89998,4.447639E-07
0.4662294,0.5712182,11.97863,44.33759,16.6,21.09997,0
0.4833887,0.5956232,11.97013,44.43381,17.1,22.69998,0
0.5158256,0.6218294,11.97527,44.52773,18.4,27.39997,-4.498868E-07
0.5325477,0.6567624,11.99149,44.62004,19.6,31.39997,-4.531431E-07
