TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04399826,0,4.476456,-39,359.2,359.9,0
0.07458644,0,4.42152,-39,359.1,359.8,-1.042333E-10
0.1117101,0,4.335192,-39,359,359.8,0
0.1509048,0,4.217472,-39,358.5,359.4,0
0.1888299,0,4.06836,-39,358.2,359.1,1.66835E-09
0.2274586,0,3.982032,-39,358.1,359,0
0.2661381,0,3.785832,-39,358.1,358.9,0
0.3055955,0,3.55824,-39,358,358.8,0
0.3421362,0,3.299256,-39,358,358.7,-1.668543E-09
0.3804744,0,3.105,-39,358,358.7,-1.668543E-09
0.4185176,0,3.085831,-39,358,358.7,-1.668543E-09
0.455301,0,3.065831,-39,357.9,358.6,0
0.4931149,0,3.045831,-39,357.9,358.6,0
0.5314121,0,3.025831,-39,357.9,358.3,3.337295E-09
0.5690273,0,3.005831,-39,357.9,358.3,3.337295E-09
0.6076442,0,3.005,-39,357.9,358.3,3.337295E-09
0.6454211,0,3.025,-39,357.9,358.3,3.337295E-09
0.6845814,0,3.045,-39,357.9,358.3,3.337295E-09
0.7227682,0,3.065,-39,357.9,358.3,3.337295E-09
0.7611265,0,3.085,-39,357.9,358.3,3.337295E-09
0.7994473,0,3.105,-39,357.9,358.1,0
0.8372652,0,3.105,-39,357.7,357.8,-3.337742E-09
0.8747506,0,3.105,-39,357.4,357.5,0
0.912762,0,3.105,-39,357.3,357.2,0
0.9509637,-0.00435942,3.12442,-38.79996,357.2,357,0
0.9885307,0.001484083,3.170145,-38.59938,357.2,357,0
1.027249,0.00699955,3.190746,-38.49895,357.2,357,0
1.065029,0.02012873,3.203075,-38.29759,357,356.6,0
1.102401,0.0306132,3.169455,-38.09662,357,356.6,0
1.14017,0.03492766,3.123841,-37.89601,357,356.6,0
1.178249,0.02816958,3.104476,-37.69606,357,356.6,0
1.214656,0.007796392,3.07512,-37.49691,357,356.6,0
1.253149,-0.02235331,3.028854,-37.29836,357,356.6,0
1.290577,-0.05737267,3.005002,-37.10008,357,356.6,0
1.328314,-0.09235555,3.02948,-36.90181,357,356.6,0
1.365518,-0.1082998,3.05236,-36.80258,357,356.6,0
1.402875,-0.1340279,3.094829,-36.60375,357,356.6,0
1.440362,-0.1496954,3.109127,-36.40434,357,356.3,6.67926E-09
1.477426,-0.1740083,3.146397,-36.20558,356.8,355.9,0
1.514326,-0.2082219,3.190746,-36.00797,356.5,355.1,0
1.552444,-0.2487773,3.203075,-35.8117,356.1,354.1,0
1.590238,-0.2913817,3.169455,-35.61697,355.7,352.7,0
1.627499,-0.3130952,3.145689,-35.5197,355.5,352.2,0
1.665345,-0.3514048,3.108824,-35.32308,355.5,352.2,0
1.703441,-0.3766969,3.094369,-35.12468,355.5,352.2,0
1.741453,-0.3897878,3.051643,-34.92563,355.2,351.5,5.354866E-08
1.779837,-0.3981452,3.011669,-34.72509,355,351.1,0
1.816913,-0.4055473,3.012055,-34.52402,354.8,350.8,-2.679069E-08
1.854456,-0.4164922,3.05236,-34.32321,354.7,350.7,2.679498E-08
1.892014,-0.4351044,3.094829,-34.1236,354.7,350.7,2.679498E-08
1.929808,-0.463662,3.109127,-33.92561,354.7,350.7,2.679498E-08
1.968483,-0.4846969,3.146397,-33.72639,354.7,350.7,2.679498E-08
2.005237,-0.4917416,3.170144,-33.62621,354.7,350.7,2.679498E-08
2.042808,-0.5019172,3.203287,-33.42522,354.7,350.7,2.679498E-08
2.079887,-0.5109355,3.190222,-33.22391,354.6,350.6,0
2.117881,-0.5235926,3.14569,-33.02576,354.4,352.2,-2.680837E-08
2.155483,-0.5393496,3.108824,-32.8278,354.4,353.2,0
2.193164,-0.5648655,3.094369,-32.6296,354.4,353.3,0
2.231229,-0.602142,3.051643,-32.4326,354.4,353.3,0
2.269132,-0.6467045,3.011669,-32.23646,354.4,353.3,0
2.306846,-0.6701924,3.005002,-32.13853,354.4,353.3,0
2.344186,-0.7165307,3.02948,-31.9426,354.4,353.3,0
2.382257,-0.7579508,3.075782,-31.74609,354.4,353.3,0
2.419763,-0.7895711,3.104586,-31.54843,354.4,353.3,0
2.458422,-0.8183891,3.12442,-31.35045,354.4,353.2,0
2.49579,-0.858224,3.170144,-31.15428,354.4,351.9,2.680837E-08
2.533521,-0.9085174,3.203287,-30.96012,354.4,351,-2.680837E-08
2.571231,-0.9630504,3.190222,-30.76686,354.4,350.5,0
2.609676,-1.015593,3.14569,-30.5735,354.4,350.1,-5.361673E-08
2.647251,-1.039704,3.123841,-30.47619,354.4,350.1,-5.361673E-08
2.684874,-1.079126,3.104476,-30.28005,354.4,350.1,-5.361673E-08
2.722781,-1.105111,3.07512,-30.08156,354.4,350.1,-5.361673E-08
2.760423,-1.121449,3.028855,-29.88139,354.4,350.1,-5.361673E-08
2.797623,-1.132982,3.005002,-29.68038,354.4,350.1,-5.361673E-08
2.834792,-1.14455,3.02948,-29.47938,354.4,350.1,-5.361673E-08
2.871775,-1.160997,3.075781,-29.27923,354.4,350.1,-5.361673E-08
2.909799,-1.187164,3.104586,-29.08077,354.4,350.1,-5.361673E-08
2.947041,-1.203192,3.109128,-28.98205,354.4,350.1,-5.361673E-08
2.983759,-1.226312,3.146397,-28.78307,354.4,350.1,-5.361673E-08
