TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02019439,6.105891,12.0164,42.17427,14.09999,17.50001,0
0.04093477,6.129704,12.04889,42.26978,14.59999,16.10001,0
0.06103166,6.153055,12.06491,42.36713,14.99999,15.10001,0
0.08220565,6.177776,12.07016,42.46403,15.69999,13.90001,0
0.1031421,6.199533,12.07886,42.56163,16.09999,13.20001,0
0.1241226,6.217008,12.09727,42.66005,16.89999,11.80001,0
0.1463557,6.229563,12.12051,42.75916,17.69999,10.30001,1.120248E-07
0.1676231,6.237635,12.14363,42.85888,18.09999,9.300007,1.122777E-07
0.1896663,6.242698,12.16174,42.95899,18.39999,8.700006,0
0.2126061,6.245954,12.16992,43.05862,18.89999,7.500006,1.128034E-07
0.2366834,6.247018,12.16442,43.15796,19.19999,6.200006,0
0.2595118,6.24633,12.14797,43.25673,19.59999,4.700006,0
0.2836846,6.243941,12.10187,43.45458,19.89999,2.800006,0
0.3068112,6.242687,12.08204,43.55121,20.79999,0.7000062,0
0.3311497,6.240946,12.07093,43.64619,21.79999,357.8,0
0.3555709,6.238012,12.06702,43.74061,22.39999,354.6,0
0.3792398,6.23254,12.05285,43.8407,22.29999,354.7,0
0.4042506,6.229813,12.00761,44.04131,22.29999,354.7,0
0.4291891,6.231145,11.98638,44.14186,22.29999,354.7,0
0.4533547,6.231145,12.07,44.14186,22.29999,354.7,0
0.4781371,6.231145,12.07,44.14186,22.29999,354.7,0
0.5021611,6.231145,12.07,44.14186,22.29999,354.7,0
0.5273895,6.231145,12.07,44.14186,22.29999,354.7,0
0.5512514,6.231145,12.07,44.14186,22.29999,354.7,0
0.5763042,6.231145,12.07,44.14186,22.29999,354.7,0
0.6002446,6.231145,12.07,44.14186,22.29999,354.7,0
0.625415,6.231145,12.07,44.14186,22.29999,354.7,0
0.64938,6.231145,12.07,44.14186,22.29999,354.7,0
0.6740701,6.231145,12.07,44.14186,22.29999,354.7,0
0.6981336,6.231145,12.07,44.14186,22.29999,354.7,0
0.7234389,6.231134,12.07,44.14198,22.29999,354.8,-1.153487E-07
0.7473172,6.231134,12.07,44.14198,22.29999,354.8,-1.153487E-07
0.7721222,6.231134,12.07,44.14198,22.29999,354.8,-1.153487E-07
0.7969955,6.231134,12.07,44.14198,22.29999,354.8,-1.153487E-07
0.8215213,6.231215,12.07,44.14114,22.4,354.1,0
0.8464736,6.231349,12.07,44.13995,22.39999,353.1,1.154315E-07
0.8706803,6.23144,12.07,44.13924,22.4,352.5,0
0.8952006,6.231661,12.07,44.13769,22.4,351.2,-1.154315E-07
0.9195217,6.232139,12.07,44.13497,22.4,348.9,0
0.9445109,6.232669,12.07,44.1325,22.4,346.8,2.308629E-07
0.9695402,6.233322,12.07,44.12994,22.3,344.6,0
0.9946474,6.234446,12.07,44.12627,22.29999,341.4,-2.306973E-07
1.019665,6.235999,12.07,44.1221,22.3,337.7,4.613946E-07
1.04456,6.237401,12.07,44.11892,22,334.8,0
1.069479,6.238907,12.07,44.11591,21.8,332,4.597667E-07
1.09334,6.240375,12.07,44.11329,21.8,329.5,0
1.118629,6.242218,12.07,44.11033,21.8,326.6,-4.597667E-07
1.144414,6.244208,12.07,44.10748,21.7,323.7,0
1.169906,6.246038,12.07,44.10509,21.59999,321.2,-4.591284E-07
1.195826,6.24805,12.07,44.10271,22.09999,318.6,-9.214758E-07
1.221302,6.250084,12.07,44.1005,22.5,316.1,9.241178E-07
1.247475,6.250587,12.07,44.09998,22.4,315.5,0
1.274392,6.250587,12.07,44.09998,22.4,315.5,0
1.2999,6.250587,12.07,44.09998,22.4,315.5,0
1.326196,6.250587,12.07,44.09998,22.4,315.5,0
1.351928,6.250587,12.07,44.09998,22.4,315.5,0
1.378247,6.250587,12.07,44.09998,22.4,315.5,0
1.404192,6.250587,12.07,44.09998,22.4,315.5,0
1.43038,6.250587,12.07,44.09998,22.4,315.5,0
1.457239,6.250587,12.07,44.09998,22.4,315.5,0
1.483024,6.250587,12.07,44.09998,22.4,315.5,0
1.509092,6.250587,12.07,44.09998,22.4,315.5,0
1.535129,6.250587,12.07,44.09998,22.4,315.5,0
1.561303,6.250587,12.07,44.09998,22.4,315.5,0
1.587129,6.250587,12.07,44.09998,22.4,315.5,0
1.612107,6.250587,12.07,44.09998,22.4,315.5,0
1.639551,6.250587,12.07,44.09998,22.4,315.5,0
1.665369,6.250587,12.07,44.09998,22.4,315.5,0
1.691022,6.250587,12.07,44.09998,22.4,315.5,0
1.717257,6.250587,12.07,44.09998,22.4,315.5,0
1.743025,6.250587,12.07,44.09998,22.4,315.5,0
1.769467,6.250587,12.07,44.09998,22.4,315.5,0
1.795169,6.250587,12.07,44.09998,22.4,315.5,0
1.821459,6.250503,12.07,44.10007,22.4,315.6,0
1.847165,6.250503,12.07,44.10007,22.4,315.6,0
1.873148,6.250419,12.07,44.10015,22.7,315.7,-9.254616E-07
1.899112,6.251522,12.07,44.09904,22.7,314.4,9.254616E-07
1.925096,6.25265,12.07,44.09797,22.8,313.1,0
1.951321,6.253713,12.07,44.09699,22.8,311.9,9.261394E-07
1.977477,6.253891,12.07,44.09683,22.8,311.7,-9.261391E-07
2.003365,6.254071,12.07,44.09667,22.8,311.5,0
2.030547,6.254796,12.07,44.09604,22.9,310.7,-9.268207E-07
2.056308,6.255991,12.07,44.09504,23.4,309.4,0
2.082222,6.257493,12.07,44.09384,23.8,307.8,0
2.109622,6.259222,12.07,44.09254,24,306,0
2.135309,6.260594,12.07,44.09157,24.3,304.6,0
2.161186,6.260693,12.07,44.0915,24.3,304.5,-9.367681E-07
2.188315,6.260693,12.07,44.0915,24.3,304.5,-9.367681E-07
2.214037,6.260693,12.07,44.0915,24.3,304.5,-9.367681E-07
2.240122,6.260693,12.07,44.0915,24.3,304.5,-9.367681E-07
2.265321,6.260693,12.07,44.0915,24.3,304.5,-9.367681E-07
2.291251,6.260693,12.07,44.0915,24.3,304.5,-9.367681E-07
2.317084,6.260792,12.07,44.09143,24.3,304.4,-9.367681E-07
2.342493,6.260891,12.07,44.09137,24.4,304.3,0
2.367943,6.260891,12.07,44.09137,24.4,304.3,0
2.393284,6.260891,12.07,44.09137,24.4,304.3,0
2.419488,6.260891,12.07,44.09137,24.4,304.3,0
2.445457,6.260891,12.07,44.09137,24.4,304.3,0
2.470857,6.260891,12.07,44.09137,24.4,304.3,0
2.496284,6.262091,12.07,44.09056,24.7,303.1,0
2.52252,6.262696,12.07,44.09018,24.79999,302.5,9.405099E-07
2.547197,6.262798,12.07,44.09011,24.89999,302.4,0
2.573495,6.262798,12.07,44.09011,24.89999,302.4,0
2.598993,6.262798,12.07,44.09011,24.89999,302.4,0
2.62434,6.262798,12.07,44.09011,24.89999,302.4,0
2.650266,6.262899,12.07,44.09005,24.9,302.3,-9.412702E-07
2.676199,6.262899,12.07,44.09005,24.9,302.3,-9.412702E-07
2.701452,6.262899,12.07,44.09005,24.9,302.3,-9.412702E-07
2.727071,6.262899,12.07,44.09005,24.9,302.3,-9.412702E-07
2.752269,6.262899,12.07,44.09005,24.9,302.3,-9.412702E-07
2.777867,6.262899,12.07,44.09005,24.9,302.3,-9.412702E-07
2.804435,6.262899,12.07,44.09005,24.9,302.3,-9.412702E-07
2.829345,6.262899,12.07,44.09005,24.9,302.3,-9.412702E-07
2.855289,6.262899,12.07,44.09005,24.9,302.3,-9.412702E-07
2.881123,6.262899,12.07,44.09005,24.9,302.3,-9.412702E-07
2.907143,6.262899,12.07,44.09005,24.9,302.3,-9.412702E-07
2.93213,6.263817,12.07,44.08947,25.2,301.4,-9.435765E-07
2.958644,6.186142,11.97262,44.15052,26.2,299.5,0
2.984082,6.025186,11.98274,44.26886,27.1,296.7,0
3.008935,5.941373,12.00282,44.32319,27.7,294.9,0
3.034963,5.855006,12.02649,44.37365,28,293.1,-9.669584E-07
3.06108,5.675754,12.06491,44.46307,28.4,291.5,9.705847E-07
3.086085,5.583216,12.07016,44.501,28.59999,290.7,9.724261E-07
3.112181,5.490483,12.07885,44.53853,28.59999,290.4,0
3.137041,5.398659,12.09727,44.5785,28.59999,290.4,0
3.162774,5.217433,12.14363,44.66497,28.59999,290.4,0
3.18753,5.127543,12.16174,44.71033,28.69999,290.3,0
3.212003,5.03771,12.16992,44.75621,28.8,290.1,0
3.236761,4.947899,12.16442,44.80178,28.8,290.1,0
3.260635,4.767499,12.12548,44.89078,28.8,290.1,0
3.285316,4.675743,12.10187,44.93333,28.9,289.6,-9.752235E-07
3.310649,4.582446,12.08204,44.97296,29,288.9,9.761657E-07
3.335313,4.48849,12.07093,45.00833,29.09999,288.7,0
3.35939,4.487994,12.07,45.0085,29.2,288.4,-1.956128E-06
3.384429,4.487664,12.07,45.0086,29.30001,288.2,-9.790203E-07
3.409842,4.487664,12.07,45.0086,29.30001,288.2,-9.790203E-07
3.433703,4.487333,12.07,45.00871,29.4,288,0
3.45844,4.487333,12.07,45.00871,29.4,288,0
3.483204,4.487167,12.07,45.00877,29.4,287.9,9.799818E-07
3.507459,4.487167,12.07,45.00877,29.4,287.9,9.799818E-07
3.532499,4.487001,12.07,45.00882,29.50001,287.8,0
3.557585,4.48667,12.07,45.00892,29.60001,287.6,0
3.580944,4.486171,12.07,45.00908,29.70001,287.3,0
3.606955,4.486005,12.07,45.00913,29.70001,287.2,-9.82895E-07
3.6313,4.485672,12.07,45.00924,29.70001,287,-9.828952E-07
3.656653,4.485506,12.07,45.00928,29.80001,286.9,0
3.680306,4.485172,12.07,45.00938,29.90001,286.7,-9.84862E-07
3.705773,4.485005,12.07,45.00944,29.90001,286.6,0
3.730233,4.484337,12.07,45.00963,30.10002,286.2,-9.868489E-07
3.75556,4.484337,12.07,45.00963,30.10002,286.2,-9.868489E-07
3.780235,4.484337,12.07,45.00963,30.10002,286.2,-9.868489E-07
3.805573,4.484337,12.07,45.00963,30.10002,286.2,-9.868489E-07
3.830042,4.484337,12.07,45.00963,30.10002,286.2,-9.868489E-07
