TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02216543,0.1185546,12.02369,42.29449,6.300015,355.4,-2.684253E-08
0.04449559,0.1021821,12.04782,42.39335,6.300015,355.4,-2.684253E-08
0.06618686,0.0881099,12.06772,42.49254,6.300015,355.4,-2.684253E-08
0.08825222,0.07702201,12.079,42.59197,6.300015,355.4,-2.684253E-08
0.1104705,0.06800985,12.08286,42.69157,6.300015,355.4,-2.684253E-08
0.1317877,0.05607667,12.09689,42.79093,6.300015,355.4,-2.684253E-08
0.1529694,0.04131498,12.11825,42.89007,6.300015,355.4,-2.684253E-08
0.1750137,0.0243401,12.14205,42.98899,6.300015,355.3,0
0.1960425,0.00559994,12.16335,43.08762,6.300015,355,0
0.2168778,-0.01466156,12.17726,43.18623,6.300015,355,0
0.238021,-0.03529341,12.17893,43.28471,6.300015,354.9,-2.684253E-08
0.2599053,-0.05585099,12.1675,43.38304,6.400015,354.7,-2.684774E-08
0.2807883,-0.07592858,12.14751,43.48161,6.400015,354.7,-2.684774E-08
0.3018659,-0.1110701,12.10147,43.67888,6.500015,354.5,0
0.3238337,-0.125271,12.08526,43.7778,6.500015,354.4,-2.685304E-08
0.3449323,-0.1363188,12.07987,43.87667,6.500016,354.1,-5.370608E-08
0.3660083,-0.1442609,12.07135,43.9757,6.600015,353.7,0
0.3879685,-0.1497727,12.05249,44.07505,6.700015,353.3,0
0.4091717,-0.1534895,12.02985,44.17485,6.700016,353,-2.686389E-08
0.4297766,-0.1533773,12.08,44.17398,6.700016,352.4,0
0.4517953,-0.1532768,12.08,44.17325,6.900016,351.9,0
0.4729873,-0.1532348,12.08,44.17296,6.900016,351.7,0
0.4939539,-0.1531254,12.08,44.17223,6.900015,351.2,0
0.5159418,-0.152837,12.08,44.17049,6.900015,350,5.375015E-08
0.5369192,-0.1525968,12.08,44.16919,6.900016,349.1,0
0.5578587,-0.1425131,12.00668,44.16914,6.900015,347.6,0
0.5784585,-0.1421928,12.08,44.16775,6.900016,346.5,0
0.6005988,-0.1416793,12.08,44.16574,6.900016,344.9,0
0.6215183,-0.1410723,12.08,44.16361,6.900015,343.2,0
0.6427713,-0.140606,12.08,44.16212,6.900016,342,0
0.6633521,-0.1398043,12.08,44.15979,6.900017,340.1,0
0.6847816,-0.1389256,12.08,44.15748,6.900015,338.2,2.150006E-07
0.7052408,-0.1382806,12.08,44.15592,6.900016,336.9,0
0.726637,-0.1369974,12.08,44.15308,6.900015,334.5,0
0.7473019,-0.136017,12.08,44.1511,6.900016,332.8,0
0.7683733,-0.1344051,12.08,44.14813,6.900015,330.2,0
0.7891183,-0.1324505,12.08,44.14491,6.900015,327.3,0
0.8088462,-0.1310825,12.08,44.14286,6.900016,325.4,-2.150006E-07
0.829679,-0.1289442,12.08,44.13991,6.900016,322.6,-2.150006E-07
0.8499919,-0.1272475,12.08,44.13778,7.000017,320.5,0
0.8697594,-0.1244263,12.08,44.13455,7.800015,317.2,0
0.8884748,-0.1226277,12.08,44.13267,8.200017,315.2,0
0.9088688,-0.1200979,12.08,44.13024,8.800017,312.5,-2.159859E-07
0.9272538,-0.1185457,12.08,44.12886,9.100018,310.9,0
0.9474272,-0.1166532,12.08,44.12727,9.400017,309,0
0.9652113,-0.1155338,12.08,44.12638,9.600016,307.9,0
0.9840073,-0.1150194,12.08,44.12599,9.700014,307.4,0
1.003279,-0.1146054,12.08,44.12568,9.900014,307,4.333396E-07
1.021144,-0.1141892,12.08,44.12536,10.10001,306.6,4.336063E-07
1.040773,-0.1140849,12.08,44.12529,10.10001,306.5,4.336063E-07
1.058267,-0.1137709,12.08,44.12505,10.20001,306.2,4.337419E-07
1.076584,-0.1130337,12.08,44.12452,10.50002,305.5,-4.341568E-07
1.094699,-0.1127157,12.08,44.12429,10.60002,305.2,-4.342979E-07
1.113873,-0.1121832,12.08,44.12392,10.60001,304.7,0
1.132045,-0.1111085,12.08,44.12319,10.70001,303.7,0
1.151004,-0.1101305,12.08,44.12255,10.90002,302.8,0
1.168805,-0.1088111,12.08,44.12172,11.30002,301.6,0
1.18811,-0.1069128,12.08,44.12059,11.50002,299.9,0
1.206028,-0.1055531,12.08,44.11983,11.60001,298.7,0
1.22494,-0.1041777,12.08,44.11909,11.60001,297.5,-4.357877E-07
1.243038,-0.1027872,12.08,44.11839,11.60002,296.3,-4.357877E-07
1.261833,-0.1003193,12.08,44.11723,11.60002,294.2,4.357876E-07
1.279809,-0.09829137,12.08,44.11635,11.60001,292.5,8.715754E-07
1.297932,-0.09611681,12.08,44.11549,11.60002,290.7,0
1.31652,-0.09268337,12.08,44.11428,11.60001,287.9,-8.715754E-07
1.334596,-0.090197,12.08,44.11353,11.60001,285.9,-4.357877E-07
1.353493,-0.08793791,12.08,44.11293,11.70002,284.1,0
1.37145,-0.08464377,12.08,44.11218,12.00002,281.5,4.364238E-07
1.389282,-0.08260098,12.08,44.11179,12.20001,279.9,0
1.406941,-0.08067677,12.08,44.11148,12.50001,278.4,-4.372515E-07
1.425299,-0.07913198,12.08,44.11127,12.60001,277.2,0
1.440958,-0.07797067,12.08,44.11113,12.80001,276.3,-8.755312E-07
1.456023,-0.07719531,12.08,44.11105,12.80001,275.7,4.377656E-07
1.471945,-0.07667796,12.08,44.111,12.90001,275.3,8.758799E-07
1.488107,-0.07641915,12.08,44.11098,13.00002,275.1,0
1.50312,-0.07628972,12.08,44.11097,13.00002,275,4.381156E-07
1.518753,-0.07628972,12.08,44.11097,13.00002,275,4.381156E-07
1.534976,-0.07628972,12.08,44.11097,13.00002,275,4.381156E-07
1.54991,-0.07628972,12.08,44.11097,13.00002,275,4.381156E-07
1.565865,-0.07616026,12.08,44.11095,13.10002,274.9,-8.765859E-07
1.580883,-0.07616026,12.08,44.11095,13.10002,274.9,-8.765859E-07
1.596994,-0.07628972,12.08,44.11097,13.10002,275,0
1.611863,-0.07667796,12.08,44.111,13.30001,275.3,-4.38652E-07
1.629182,-0.07693668,12.08,44.11103,13.30002,275.5,4.386519E-07
