TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.06129747,0,4.452912,-39,0,0,0
0.1209318,0,4.335192,-39,0,0,0
0.2103786,0,4.06836,-39,0,0,0
0.2618363,0,3.785832,-39,0,0,0
0.3540121,0,3.157992,-39,0,0,0
0.4019834,0,3.105,-39,0,0,0
0.4884287,0,3.061014,-39,0.1,359.1,0
0.5426384,0,3.031014,-39,358.8,357.4,0
0.6316722,0,3.025,-39,354.8,352.9,0
0.6864423,0,3.045,-39,352.9,350.4,-5.377318E-08
0.7538176,0,3.085,-39,351.8,349.6,-5.391203E-08
0.8425394,0,3.105,-39,351.7,349.5,0
0.8946138,0,3.105,-39,353.7,348.8,-1.073701E-07
0.9731734,0,3.105,-39,0.0999988,348.5,8.337646E-10
1.053808,0,3.105,-39,5.599999,350,5.361673E-08
1.108303,0,3.105,-39,6.199999,350.2,0
1.17734,0,3.105,-39,5.599999,351.2,-2.680837E-08
1.262797,0,3.105,-39,2.499999,355.1,0
1.317396,0,3.105,-39,1.799999,355.4,-6.673399E-09
1.388397,0,3.105,-39,1.599999,355.5,0
1.473135,0,3.105,-39,1.599999,355.5,0
1.526688,0,3.105,-39,1.499999,355.9,0
1.596714,0,3.105,-39,359.4,359.2,4.169045E-10
1.68541,0,3.105,-39,356.8,4,-6.680523E-09
1.742352,0,3.105,-39,356.4,4.199999,0
1.810892,0,3.105,-39,355.2,4.299999,0
1.894481,0,3.105,-39,353.7,4.299999,0
1.951307,0,3.105,-39,353.7,4.299999,0
2.020396,0,3.105,-39,353.7,4.299999,0
2.104817,0,3.105,-39,353.7,4.299999,0
2.16253,0,3.105,-39,353.8,3.999999,1.34187E-08
2.231893,0,3.105,-39,354.2,3.599999,-1.340886E-08
2.315171,0,3.105,-39,354.3,3.499999,0
2.372517,0,3.105,-39,354.3,3.499999,0
2.441469,0,3.105,-39,354.3,3.499999,0
2.523793,0,3.105,-39,354.7,2.899999,1.339749E-08
2.577582,0,3.105,-39,355.4,2.599999,0
2.66595,0,3.105,-39,356.9,2.299999,-6.679882E-09
2.732521,0,3.105,-39,357.2,2.099999,0
2.786456,0,3.105,-39,357.4,1.999999,0
2.863179,0,3.105,-39,357.4,1.999999,0
2.944099,0,3.105,-39,357.4,1.999999,0
3.000013,0,3.105,-39,357.4,1.999999,0
3.07069,0.02297611,3.146397,-38.70062,357.4,1.999999,0
3.155113,0.09570174,3.190222,-38.20285,357.4,1.999999,0
3.213236,0.1330866,3.123841,-37.90398,357.4,1.999999,0
3.281435,0.1459351,3.094369,-37.60424,357.4,1.999999,0
3.365063,0.1245042,3.011669,-37.20325,357.4,1.999999,0
3.422883,0.09993082,3.02948,-36.90221,357.4,1.999999,0
3.491155,0.08649281,3.094829,-36.60156,357.4,1.999999,0
3.575048,0.0794708,3.170144,-36.10101,357.4,1.999999,0
3.632911,0.05554707,3.203075,-35.79999,357.4,1.999999,0
3.701441,0.03446896,3.145689,-35.49907,357.4,1.999999,0
3.784237,0.03903215,3.094369,-35.09898,357.4,1.999999,0
3.840991,0.07359065,3.028854,-34.80039,357.7,1.699999,0
3.910015,0.1175633,3.012055,-34.5017,357.9,1.499999,0
3.994201,0.1684615,3.104586,-34.00286,357.9,1.499999,0
4.049869,0.1792177,3.12442,-33.80307,357.9,1.499999,0
4.119862,0.2284556,3.203287,-33.40392,358.1,1.099999,1.668444E-09
4.203422,0.2796194,3.145689,-32.99977,358.8,357.8,0
4.257033,0.2801559,3.104476,-32.69796,358.9,356.9,3.335668E-09
4.343793,0.2316942,3.028854,-32.29962,359,356.6,0
4.395728,0.1788556,3.012055,-32.00196,359.1,356.2,0
4.483997,0.1172259,3.094829,-31.6051,359.6,354.7,1.667567E-09
4.539856,0.08140649,3.12442,-31.30724,359.9,353.6,4.168823E-10
4.6235,-0.001649301,3.203287,-30.91459,0.09999837,352.9,-4.168823E-10
4.679661,-0.07280856,3.169455,-30.62128,0.09999837,352.8,0
4.748667,-0.1306336,3.108824,-30.32672,0.09999837,352.5,0
4.8328,-0.1700842,3.028855,-29.82799,0.09999837,352.2,0
4.88795,-0.1741821,3.005002,-29.62712,0.1999984,351.7,0
4.958224,-0.1909604,3.075782,-29.22549,0.1999984,350.6,0
5.029963,-0.2305638,3.109127,-28.92795,0.1999984,349.6,0
5.080812,-0.2644354,3.170144,-28.62889,0.1999983,348.9,0
5.162417,-0.2963741,3.190222,-28.2268,0.1999984,348.3,0
5.208183,-0.3177279,3.170127,-28.02759,0.2999983,348,-3.3351E-09
5.287427,-0.3926157,3.176842,-27.6389,0.2999983,348,-3.3351E-09
5.33461,-0.4792606,3.154825,-27.35386,0.2999983,348,-3.3351E-09
5.416728,-0.6086923,3.213569,-26.97663,0.2999983,347.7,0
5.465193,-0.6695396,3.288692,-26.78734,0.3999983,347.6,0
5.524117,-0.7441036,3.365661,-26.49952,0.3999983,347.6,0
5.583291,-0.8294302,3.470171,-26.21436,0.3999983,347.6,0
5.642573,-0.9281731,3.550423,-25.93201,0.3999983,347.6,0
5.702338,-1.024264,3.541638,-25.65006,0.3999983,347.6,0
5.761653,-1.100802,3.549303,-25.36393,0.3999983,347.6,0
5.820753,-1.149595,3.543168,-25.07129,0.3999983,347.6,0
5.880381,-1.182184,3.54014,-24.77453,0.3999983,347.6,0
5.938608,-1.214891,3.631108,-24.4778,0.3999983,347.6,0
5.997553,-1.26419,3.726656,-24.1841,0.3999983,347.6,0
6.057684,-1.316971,3.812116,-23.89202,0.5999984,347.5,-6.670473E-09
6.117715,-1.351587,3.912208,-23.59588,0.8999984,347.8,0
6.177634,-1.381795,3.921672,-23.30062,1.399998,349.3,-1.33442E-08
6.253343,-1.435098,3.915165,-22.914,2.299999,352.7,0
6.296434,-1.469173,3.915055,-22.72005,2.499999,353.4,1.335292E-08
6.375278,-1.556778,3.904095,-22.33365,2.999998,355.4,1.335852E-08
6.418198,-1.596032,3.958347,-22.13893,3.199998,356.6,6.680522E-09
6.478478,-1.637836,4.068064,-21.8443,3.799999,358.8,0
6.536695,-1.652357,4.142192,-21.54771,4.299999,0.399998,0
6.596803,-1.711422,4.250927,-21.26342,4.799999,2.599998,0
6.66858,-1.770874,4.298898,-20.97482,5.399999,5.199998,2.679936E-08
6.71828,-1.770834,4.281828,-20.67375,5.8,7.399999,0
6.773086,-1.675757,4.292804,-20.43522,5.999998,9.299999,0
6.846835,-1.486325,4.263348,-20.26463,6.299999,10.7,5.368506E-08
6.897119,-1.282784,4.258413,-20.09478,6.599999,11.7,0
6.950821,-1.145775,4.303363,-19.98064,6.699998,12.4,0
7.026018,-0.8859212,4.409654,-19.74882,6.999999,13.8,-5.376159E-08
7.075717,-0.6974589,4.470641,-19.56999,7.099999,14.6,0
7.141826,-0.4896996,4.557488,-19.39462,7.099999,14.6,0
7.18853,-0.3474214,4.579121,-19.27884,7.099998,14.7,0
7.264459,-0.07130791,4.538692,-19.04608,7.099998,14.7,0
7.311975,0.1132488,4.53911,-18.86552,7.099998,14.7,0
7.383093,0.2750291,4.507317,-18.67867,7.099998,14.7,0
7.428737,0.3757423,4.49454,-18.55244,7.099998,14.7,0
7.502321,0.5776208,4.579363,-18.30008,7.099998,14.7,0
7.545707,0.6866339,4.636933,-18.17575,7.099998,14.7,0
7.619767,0.9158685,4.718388,-17.93055,7.099998,14.7,0
7.66182,1.019785,4.779454,-17.80488,7.099998,14.7,0
7.729734,1.169645,4.822809,-17.61539,7.099998,14.6,0
7.779274,1.322908,4.792163,-17.4295,7.099999,13,0
7.838135,1.490615,4.781954,-17.25216,7.099999,11.4,0
7.895107,1.679199,4.762194,-17.08447,7.099999,8.8,-5.377319E-08
7.953406,1.877284,4.736067,-16.92272,7.099999,6.200001,2.688659E-08
8.01268,2.071889,4.784714,-16.76447,6.999999,3.500001,-1.34404E-08
8.071468,2.250631,4.866969,-16.60967,6.6,0.9000006,3.357302E-09
8.131449,2.407232,4.91194,-16.45997,6.199998,357.7,0
8.190298,2.512169,4.95961,-16.3649,5.799998,355.1,0
8.249541,2.67154,5.033727,-16.22846,5.699999,353.9,0
8.319561,2.882478,5.040868,-16.04881,5.499999,351.9,0
8.37298,3.026268,5.007865,-15.91617,5.499999,349.4,0
8.430882,3.106334,5.01103,-15.79194,5.499999,346,-5.360765E-08
8.489065,3.119766,5.013918,-15.52781,5.499999,342.1,0
8.546865,3.110783,5.002085,-15.24907,5.499999,339.8,-1.072153E-07
8.603354,2.974205,5.081412,-14.98274,5.499999,339.7,0
8.677734,2.815797,5.19983,-14.61928,5.499999,339.7,0
8.72151,2.736729,5.25913,-14.43683,5.499999,339.7,0
8.751785,2.648723,5.333289,-14.25897,5.499999,339.7,0
8.784024,2.602971,5.3631,-14.17031,5.499999,339.7,0
8.815023,2.510718,5.386625,-13.99362,5.499998,339.4,0
8.843674,2.464964,5.381932,-13.90558,5.499998,339,1.072153E-07
8.87081,2.419797,5.372485,-13.81731,5.499999,338.7,-1.072153E-07
8.899647,2.33452,5.359047,-13.63888,5.599998,338.2,0
8.927192,2.295325,5.364867,-13.54863,5.699998,337.8,-1.07252E-07
8.955359,2.225314,5.369881,-13.36376,5.799999,337.3,0
8.983119,2.193309,5.360943,-13.26994,5.799998,337.2,0
9.011556,2.133878,5.34499,-13.07987,5.799998,337.2,0
9.040102,2.105609,5.347756,-12.98429,5.799998,337.2,0
9.068222,2.07752,5.363773,-12.88864,5.799998,337.2,0
9.096349,2.019643,5.427003,-12.69806,5.799998,337.2,0
9.124378,1.98872,5.464447,-12.6036,5.799998,337.2,0
9.152287,1.920239,5.526413,-12.41755,5.799998,337.2,0
9.180093,1.882003,5.543786,-12.32617,5.799998,337.2,0
9.20806,1.84587,5.569258,-12.2339,5.799998,337.2,0
9.235995,1.781248,5.640463,-12.04615,5.799998,337.2,0
9.264239,1.738902,5.672967,-11.97382,5.799998,337.2,0
9.291654,1.621341,5.705263,-11.8886,5.799998,337.2,0
9.319162,1.562577,5.705554,-11.84598,5.799998,337.2,0
9.347192,1.50341,5.697052,-11.80353,5.799998,337.2,0
9.375151,1.382249,5.667727,-11.71981,5.799998,337.2,0
9.402921,1.319444,5.653936,-11.67889,5.799998,337.2,0
9.429944,1.254617,5.645415,-11.63882,5.799998,337.2,0
9.457815,1.11741,5.64585,-11.56185,5.799998,337.2,0
9.486091,1.045035,5.637266,-11.52495,5.799998,337.2,0
9.51395,0.8946308,5.607902,-11.45353,5.799998,337.2,0
9.54207,0.8174125,5.594152,-11.41867,5.799998,337.2,0
9.570308,0.7393905,5.585712,-11.38415,5.799998,337.2,0
9.597955,0.5829045,5.597595,-11.31542,5.799998,337.2,0
9.626185,0.5050876,5.617745,-11.28109,5.799998,337.2,0
9.653854,0.352208,5.670139,-11.21111,5.799998,337.2,0
9.680838,0.2779552,5.694918,-11.17511,5.799998,337.2,0
9.708915,0.2053913,5.715334,-11.13808,5.799998,337.2,0
9.736102,0.06556591,5.738036,-11.06211,5.799998,337.2,0
9.763965,-0.006866417,5.75832,-11.02509,5.799998,337.2,0
9.790777,-0.0813179,5.783795,-10.98884,5.799998,337.2,0
9.818738,-0.2346497,5.83625,-10.91791,5.799998,337.2,0
9.846045,-0.3127143,5.856178,-10.88289,5.799998,337.2,0
9.87402,-0.4698032,5.867108,-10.81273,5.799998,337.2,0
9.90176,-0.5478144,5.858333,-10.77738,5.799998,337.2,0
9.928994,-0.6249686,5.844468,-10.74156,5.799998,337.2,0
9.957025,-0.7751023,5.815577,-10.66782,5.799998,337.2,0
9.984571,-0.8472578,5.807645,-10.62956,5.799998,337.2,0
10.01181,-0.9838493,5.808412,-10.54944,5.799998,337.2,0
10.04,-1.048335,5.800009,-10.50759,5.799998,337.2,0
10.06689,-1.11041,5.787059,-10.46506,5.799998,337.2,0
10.09517,-1.230861,5.759983,-10.37779,5.799998,337.2,0
10.12185,-1.28971,5.753119,-10.33358,5.799998,337.2,0
10.14976,-1.348193,5.755464,-10.28921,5.799998,337.2,0
10.17811,-1.465701,5.790922,-10.2007,5.799998,337.2,0
