"Item" "Order" "SubjectNo" "Room"
"FireExtinguisher" 1 "P83" "Bedroom"
"StrawberryDonut" 2 "P83" "Bedroom"
"OldRadio" 3 "P83" "Bedroom"
"MosquitoRacket" 4 "P83" "Bedroom"
"Glasses" 5 "P83" "Bedroom"
"Laptop" 6 "P83" "Bedroom"
"Pinza" 1 "P83" "Classroom"
"Matrioshka" 2 "P83" "Classroom"
"PaperCoffeeCup" 3 "P83" "Classroom"
"Jug" 4 "P83" "Classroom"
"TennisBall" 5 "P83" "Classroom"
"Pumpkin" 6 "P83" "Classroom"
"Bread" 1 "P83" "Gym"
"HTCVive" 2 "P83" "Gym"
"WineBottle" 3 "P83" "Gym"
"Router" 4 "P83" "Gym"
"Hammer" 5 "P83" "Gym"
"FirstAidKit" 6 "P83" "Gym"
"ShowerHead" 1 "P83" "Library"
"Basket" 2 "P83" "Library"
"CokeCan" 3 "P83" "Library"
"Microphone" 4 "P83" "Library"
"RockingHorse" 5 "P83" "Library"
"Clamps" 6 "P83" "Library"
"Toothpaste" 1 "P83" "LivingRoom"
"MobilePhone" 2 "P83" "LivingRoom"
"CoffeeMachine" 3 "P83" "LivingRoom"
"UGGboot" 4 "P83" "LivingRoom"
"Chaynik" 5 "P83" "LivingRoom"
"BallonDog" 6 "P83" "LivingRoom"
"Canister" 1 "P83" "StorageRoom"
"DeskLight" 2 "P83" "StorageRoom"
"Official hat" 3 "P83" "StorageRoom"
"Recorder" 4 "P83" "StorageRoom"
"NailScissors" 5 "P83" "StorageRoom"
"CinRoll" 6 "P83" "StorageRoom"
