"Room" "Item" "Order" "SubjectNo"
"Bedroom" "UGGboot" 1 "P01"
"Bedroom" "StrawberryDonut" 2 "P01"
"Bedroom" "BallonDog" 3 "P01"
"Bedroom" "Official hat" 4 "P01"
"Bedroom" "Bread" 5 "P01"
"Bedroom" "OldRadio" 6 "P01"
"Classroom" "FireExtinguisher" 1 "P01"
"Classroom" "TennisBall" 2 "P01"
"Classroom" "Basket" 3 "P01"
"Classroom" "Hammer" 4 "P01"
"Classroom" "MosquitoRacket" 5 "P01"
"Classroom" "Toothpaste" 6 "P01"
"Gym" "Pumpkin" 1 "P01"
"Gym" "CinRoll" 2 "P01"
"Gym" "RockingHorse" 3 "P01"
"Gym" "ShowerHead" 4 "P01"
"Gym" "Chaynik" 5 "P01"
"Gym" "WineBottle" 6 "P01"
"Library" "DeskLight" 1 "P01"
"Library" "NailScissors" 2 "P01"
"Library" "Pinza" 3 "P01"
"Library" "Glasses" 4 "P01"
"Library" "Canister" 5 "P01"
"Library" "Clamps" 6 "P01"
"LivingRoom" "HTCVive" 1 "P01"
"LivingRoom" "MobilePhone" 2 "P01"
"LivingRoom" "Recorder" 3 "P01"
"LivingRoom" "CoffeeMachine" 4 "P01"
"LivingRoom" "Jug" 5 "P01"
"LivingRoom" "Matrioshka" 6 "P01"
"StorageRoom" "Router" 1 "P01"
"StorageRoom" "FirstAidKit" 2 "P01"
"StorageRoom" "Microphone" 3 "P01"
"StorageRoom" "CokeCan" 4 "P01"
"StorageRoom" "Laptop" 5 "P01"
"StorageRoom" "PaperCoffeeCup" 6 "P01"
"Bedroom" "UGGboot" 1 "P02"
"Bedroom" "StrawberryDonut" 2 "P02"
"Bedroom" "BallonDog" 3 "P02"
"Bedroom" "Official hat" 4 "P02"
"Bedroom" "Bread" 5 "P02"
"Bedroom" "OldRadio" 6 "P02"
"Gym" "Pumpkin" 1 "P02"
"Gym" "CinRoll" 2 "P02"
"Gym" "RockingHorse" 3 "P02"
"Gym" "ShowerHead" 4 "P02"
"Gym" "Chaynik" 5 "P02"
"Gym" "WineBottle" 6 "P02"
"Library" "DeskLight" 1 "P02"
"Library" "NailScissors" 2 "P02"
"Library" "Pinza" 3 "P02"
"Library" "Glasses" 4 "P02"
"Library" "Canister" 5 "P02"
"Library" "Clamps" 6 "P02"
"LivingRoom" "HTCVive" 1 "P02"
"LivingRoom" "MobilePhone" 2 "P02"
"LivingRoom" "Recorder" 3 "P02"
"LivingRoom" "CoffeeMachine" 4 "P02"
"LivingRoom" "Jug" 5 "P02"
"LivingRoom" "Matrioshka" 6 "P02"
"StorageRoom" "Router" 1 "P02"
"StorageRoom" "FirstAidKit" 2 "P02"
"StorageRoom" "Microphone" 3 "P02"
"StorageRoom" "CokeCan" 4 "P02"
"StorageRoom" "Laptop" 5 "P02"
"StorageRoom" "PaperCoffeeCup" 6 "P02"
"Classroom" "FireExtinguisher" 1 "P02"
"Classroom" "TennisBall" 2 "P02"
"Classroom" "Basket" 3 "P02"
"Classroom" "Hammer" 4 "P02"
"Classroom" "MosquitoRacket" 5 "P02"
"Bedroom" "UGGboot" 1 "P03"
"Bedroom" "StrawberryDonut" 2 "P03"
"Bedroom" "BallonDog" 3 "P03"
"Bedroom" "Official hat" 4 "P03"
"Bedroom" "Bread" 5 "P03"
"Bedroom" "OldRadio" 6 "P03"
"Library" "DeskLight" 1 "P03"
"Library" "NailScissors" 2 "P03"
"Library" "Pinza" 3 "P03"
"Library" "Glasses" 4 "P03"
"Library" "Canister" 5 "P03"
"Library" "Clamps" 6 "P03"
"LivingRoom" "HTCVive" 1 "P03"
"LivingRoom" "MobilePhone" 2 "P03"
"LivingRoom" "Recorder" 3 "P03"
"LivingRoom" "CoffeeMachine" 4 "P03"
"LivingRoom" "Jug" 5 "P03"
"LivingRoom" "Matrioshka" 6 "P03"
"StorageRoom" "Router" 1 "P03"
"StorageRoom" "FirstAidKit" 2 "P03"
"StorageRoom" "Microphone" 3 "P03"
"StorageRoom" "CokeCan" 4 "P03"
"StorageRoom" "Laptop" 5 "P03"
"StorageRoom" "PaperCoffeeCup" 6 "P03"
"Classroom" "FireExtinguisher" 1 "P03"
"Classroom" "TennisBall" 2 "P03"
"Classroom" "Basket" 3 "P03"
"Classroom" "Hammer" 4 "P03"
"Classroom" "MosquitoRacket" 5 "P03"
"Gym" "Pumpkin" 1 "P03"
"Gym" "CinRoll" 2 "P03"
"Gym" "RockingHorse" 3 "P03"
"Gym" "ShowerHead" 4 "P03"
"Gym" "Chaynik" 5 "P03"
"Bedroom" "UGGboot" 1 "P04"
"Bedroom" "StrawberryDonut" 2 "P04"
"Bedroom" "BallonDog" 3 "P04"
"Bedroom" "Official hat" 4 "P04"
"Bedroom" "Bread" 5 "P04"
"Bedroom" "OldRadio" 6 "P04"
"Classroom" "FireExtinguisher" 1 "P04"
"Classroom" "TennisBall" 2 "P04"
"Classroom" "Basket" 3 "P04"
"Classroom" "Hammer" 4 "P04"
"Classroom" "MosquitoRacket" 5 "P04"
"Classroom" "Toothpaste" 6 "P04"
"Gym" "Pumpkin" 1 "P04"
"Gym" "CinRoll" 2 "P04"
"Gym" "RockingHorse" 3 "P04"
"Gym" "ShowerHead" 4 "P04"
"Gym" "Chaynik" 5 "P04"
"Gym" "WineBottle" 6 "P04"
"LivingRoom" "HTCVive" 1 "P04"
"LivingRoom" "MobilePhone" 2 "P04"
"LivingRoom" "Recorder" 3 "P04"
"LivingRoom" "CoffeeMachine" 4 "P04"
"LivingRoom" "Jug" 5 "P04"
"LivingRoom" "Matrioshka" 6 "P04"
"StorageRoom" "Router" 1 "P04"
"StorageRoom" "FirstAidKit" 2 "P04"
"StorageRoom" "Microphone" 3 "P04"
"StorageRoom" "CokeCan" 4 "P04"
"StorageRoom" "Laptop" 5 "P04"
"StorageRoom" "PaperCoffeeCup" 6 "P04"
"Library" "DeskLight" 1 "P04"
"Library" "NailScissors" 2 "P04"
"Library" "Pinza" 3 "P04"
"Library" "Glasses" 4 "P04"
"Library" "Canister" 5 "P04"
"Bedroom" "UGGboot" 1 "P05"
"Bedroom" "StrawberryDonut" 2 "P05"
"Bedroom" "BallonDog" 3 "P05"
"Bedroom" "Official hat" 4 "P05"
"Bedroom" "Bread" 5 "P05"
"Bedroom" "OldRadio" 6 "P05"
"Classroom" "FireExtinguisher" 1 "P05"
"Classroom" "TennisBall" 2 "P05"
"Classroom" "Basket" 3 "P05"
"Classroom" "Hammer" 4 "P05"
"Classroom" "MosquitoRacket" 5 "P05"
"Classroom" "Toothpaste" 6 "P05"
"Gym" "Pumpkin" 1 "P05"
"Gym" "CinRoll" 2 "P05"
"Gym" "RockingHorse" 3 "P05"
"Gym" "ShowerHead" 4 "P05"
"Gym" "Chaynik" 5 "P05"
"Gym" "WineBottle" 6 "P05"
"Library" "DeskLight" 1 "P05"
"Library" "NailScissors" 2 "P05"
"Library" "Pinza" 3 "P05"
"Library" "Glasses" 4 "P05"
"Library" "Canister" 5 "P05"
"Library" "Clamps" 6 "P05"
"LivingRoom" "HTCVive" 1 "P05"
"LivingRoom" "MobilePhone" 2 "P05"
"LivingRoom" "Recorder" 3 "P05"
"LivingRoom" "CoffeeMachine" 4 "P05"
"LivingRoom" "Jug" 5 "P05"
"LivingRoom" "Matrioshka" 6 "P05"
"StorageRoom" "Router" 1 "P05"
"StorageRoom" "FirstAidKit" 2 "P05"
"StorageRoom" "Microphone" 3 "P05"
"StorageRoom" "CokeCan" 4 "P05"
"StorageRoom" "Laptop" 5 "P05"
"StorageRoom" "PaperCoffeeCup" 6 "P05"
"Bedroom" "FireExtinguisher" 1 "P06"
"Bedroom" "Chaynik" 2 "P06"
"Bedroom" "MobilePhone" 3 "P06"
"Bedroom" "UGGboot" 4 "P06"
"Bedroom" "Glasses" 5 "P06"
"Bedroom" "Pinza" 6 "P06"
"Classroom" "BallonDog" 1 "P06"
"Classroom" "Recorder" 2 "P06"
"Classroom" "HTCVive" 3 "P06"
"Classroom" "Toothpaste" 4 "P06"
"Classroom" "CokeCan" 5 "P06"
"Classroom" "WineBottle" 6 "P06"
"Gym" "CoffeeMachine" 1 "P06"
"Gym" "RockingHorse" 2 "P06"
"Gym" "Microphone" 3 "P06"
"Gym" "DeskLight" 4 "P06"
"Gym" "OldRadio" 5 "P06"
"Gym" "PaperCoffeeCup" 6 "P06"
"Library" "Clamps" 1 "P06"
"Library" "TennisBall" 2 "P06"
"Library" "Laptop" 3 "P06"
"Library" "Canister" 4 "P06"
"Library" "Hammer" 5 "P06"
"Library" "Official hat" 6 "P06"
"LivingRoom" "MosquitoRacket" 1 "P06"
"LivingRoom" "StrawberryDonut" 2 "P06"
"LivingRoom" "ShowerHead" 3 "P06"
"LivingRoom" "Bread" 4 "P06"
"LivingRoom" "FirstAidKit" 5 "P06"
"LivingRoom" "Router" 6 "P06"
"StorageRoom" "NailScissors" 1 "P06"
"StorageRoom" "Basket" 2 "P06"
"StorageRoom" "Pumpkin" 3 "P06"
"StorageRoom" "Matrioshka" 4 "P06"
"StorageRoom" "CinRoll" 5 "P06"
"StorageRoom" "CinRoll" 6 "P06"
"Bedroom" "PiggyBank" 1 "P07"
"Bedroom" "MechanicalGloves" 2 "P07"
"Bedroom" "Grape" 3 "P07"
"Bedroom" "Teacup" 4 "P07"
"Bedroom" "BaseballBat" 5 "P07"
"Bedroom" "Toaster" 6 "P07"
"Classroom" "Kettle" 1 "P07"
"Classroom" "Squeezer" 2 "P07"
"Classroom" "Openner" 3 "P07"
"Classroom" "Calculator" 4 "P07"
"Classroom" "HTCViveController" 5 "P07"
"Classroom" "OfficeBin" 6 "P07"
"Gym" "Avocado" 1 "P07"
"Gym" "Pineapple" 2 "P07"
"Gym" "Stapler" 3 "P07"
"Gym" "JBLSpeaker" 4 "P07"
"Gym" "Controller" 5 "P07"
"Gym" "Mouse" 6 "P07"
"Library" "EggBeater" 1 "P07"
"Library" "Padella" 2 "P07"
"Library" "CleaningBucket" 3 "P07"
"Library" "NikonCamera" 4 "P07"
"Library" "HandDrill" 5 "P07"
"Library" "MokeExpress" 6 "P07"
"StorageRoom" "SaltSub" 1 "P07"
"StorageRoom" "Typewriter" 2 "P07"
"StorageRoom" "Apple" 3 "P07"
"StorageRoom" "Paprika" 4 "P07"
"StorageRoom" "Headphones" 5 "P07"
"StorageRoom" "Cabbaage" 6 "P07"
"Bedroom" "PiggyBank" 1 "P08"
"Bedroom" "MechanicalGloves" 2 "P08"
"Bedroom" "Grape" 3 "P08"
"Bedroom" "Teacup" 4 "P08"
"Bedroom" "BaseballBat" 5 "P08"
"Bedroom" "Toaster" 6 "P08"
"Classroom" "Kettle" 1 "P08"
"Classroom" "Squeezer" 2 "P08"
"Classroom" "Openner" 3 "P08"
"Classroom" "Calculator" 4 "P08"
"Classroom" "HTCViveController" 5 "P08"
"Classroom" "OfficeBin" 6 "P08"
"Gym" "Avocado" 1 "P08"
"Gym" "Pineapple" 2 "P08"
"Gym" "Stapler" 3 "P08"
"Gym" "JBLSpeaker" 4 "P08"
"Gym" "Controller" 5 "P08"
"Gym" "Mouse" 6 "P08"
"Library" "EggBeater" 1 "P08"
"Library" "Padella" 2 "P08"
"Library" "CleaningBucket" 3 "P08"
"Library" "NikonCamera" 4 "P08"
"Library" "HandDrill" 5 "P08"
"Library" "MokeExpress" 6 "P08"
"LivingRoom" "PencilSharpener" 1 "P08"
"LivingRoom" "Muffin" 2 "P08"
"LivingRoom" "MilkCarton" 3 "P08"
