"Room","Object","Order"
"Bedroom","Paprika",1
"Bedroom","MokeExpress",2
"Bedroom","Muffin",3
"Bedroom","Padella",4
"Bedroom","Avocado",5
"Bedroom","MilkCarton",6
"Classroom","JBLSpeaker",1
"Classroom","Openner",2
"Classroom","Kettle",3
"Classroom","EggBeater",4
"Classroom","Apple",5
"Classroom","SaltSub",6
"Gym","Pineapple",1
"Gym","Spoons",2
"Gym","PencilSharpener",3
"Gym","OfficeBin",4
"Gym","CleaningBucket",5
"Gym","Calculator",6
"Library","Squeezer",1
"Library","HandDrill",2
"Library","Stapler",3
"Library","Teacup",4
"Library","HTCViveController",5
"Library","Mouse",6
"LivingRoom","Cabbaage",1
"LivingRoom","Controller",2
"LivingRoom","MechanicalGloves",3
"LivingRoom","Mushroom",4
"LivingRoom","Grape",5
"LivingRoom","RugbyBall",6
"StorageRoom","PiggyBank",1
"StorageRoom","Toaster",2
"StorageRoom","BaseballBat",3
"StorageRoom","Typewriter",4
"StorageRoom","NikonCamera",5
"StorageRoom","Headphones",6
