"Room" "Object" "Order"
"Bedroom" "Microphone" 1
"Bedroom" "UGGboot" 2
"Bedroom" "Laptop" 3
"Bedroom" "Hammer" 4
"Bedroom" "OldRadio" 5
"Bedroom" "Pumpkin" 6
"Gym" "Clamps" 1
"Gym" "HTCVive" 2
"Gym" "MobilePhone" 3
"Gym" "Matrioshka" 4
"Gym" "FireExtinguisher" 5
"Gym" "StrawberryDonut" 6
"Library" "Basket" 1
"Library" "CokeCan" 2
"Library" "RockingHorse" 3
"Library" "PaperCoffeeCup" 4
"Library" "NailScissors" 5
"Library" "Pinza" 6
"StorageRoom" "WineBottle" 1
"StorageRoom" "Canister" 2
"StorageRoom" "DeskLight" 3
"StorageRoom" "Router" 4
"StorageRoom" "BallonDog" 5
"StorageRoom" "CinRoll" 6
"Classroom" "Jug" 1
"Classroom" "Glasses" 2
"Classroom" "Bread" 3
"Classroom" "FirstAidKit" 4
"Classroom" "MosquitoRacket" 5
"Classroom" "Official hat" 6
"LivingRoom" "Chaynik" 1
"LivingRoom" "Toothpaste" 2
"LivingRoom" "TennisBall" 3
"LivingRoom" "Recorder" 4
"LivingRoom" "CoffeeMachine" 5
"LivingRoom" "ShowerHead" 6
