TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.025858,6.335154,12.05671,42.16533,24.80001,9.799995,0
0.05171549,6.350654,12.07718,42.26144,25.70001,8.099997,1.184379E-07
0.07728714,6.366028,12.11801,42.4607,26.30001,6.199996,0
0.1041704,6.367083,12.14138,42.56027,26.90002,4.099995,1.196703E-07
0.1298986,6.363105,12.16024,42.65925,27.30002,1.599995,0
0.1562487,6.344907,12.16559,42.85828,27.50002,0.09999508,-1.87994E-09
0.1821781,6.333635,12.15005,42.95669,27.70002,358.8,3.013398E-08
0.2093415,6.321249,12.12796,43.05447,27.90002,357.4,-6.037897E-08
0.236856,6.297415,12.08379,43.25056,28.20001,355.6,0
0.263317,6.28653,12.07153,43.34828,28.30002,354.6,-1.212089E-07
0.2911455,6.277377,12.06787,43.44681,28.50001,354,-1.214379E-07
0.3194815,6.266626,12.03383,43.64647,28.60001,353.8,0
0.3461057,6.264699,12.01005,43.74586,28.80001,353.1,1.217858E-07
0.3744987,6.262647,11.97356,43.94604,28.80001,352.1,0
0.4021245,6.260987,11.97063,44.04522,28.90001,350.2,2.438059E-07
0.4298919,6.255766,11.98105,44.14475,28.90001,348.5,0
0.4573012,6.236126,12.02401,44.34447,28.90001,347,0
0.4850487,6.221018,12.04671,44.44351,28.90001,346.1,2.438059E-07
0.5118268,6.201772,12.06367,44.54176,28.90001,346,0
0.5401797,6.15692,12.07741,44.7367,28.90001,346,0
0.5684588,6.13774,12.09505,44.83498,28.90001,346,0
0.5961801,6.106309,12.14138,45.03326,28.90001,346,0
0.6245905,6.092866,12.1602,45.13297,28.90001,346,0
0.6526068,6.067544,12.16559,45.33278,28.90001,346,0
0.6793655,6.054503,12.15005,45.43247,28.80001,346.1,2.435716E-07
0.7068861,6.040537,12.12796,45.53202,28.80001,346.1,2.435716E-07
0.7347008,6.007014,12.08379,45.72976,28.80001,346.1,2.435716E-07
0.7631995,5.986347,12.07153,45.82731,28.60001,346.3,0
