TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.0353259,-4.369309,12.14111,42.21108,5.900004,348.3,5.364502E-08
0.07235496,-4.439163,12.17486,42.39898,5.900004,348.3,5.364502E-08
0.1048442,-4.502558,12.15363,42.59009,5.900004,348.3,5.364502E-08
0.1390806,-4.532881,12.13126,42.68594,5.900004,348.3,5.364502E-08
0.1749135,-4.587758,12.08758,42.87881,5.900004,348.3,5.364502E-08
0.2090936,-4.630976,12.0723,43.07411,5.900004,348.3,5.364502E-08
0.2437128,-4.661165,12.03716,43.2721,5.900004,348.3,5.364502E-08
0.2775881,-4.672842,12.01336,43.37266,5.900006,348.9,-5.364502E-08
0.3137704,-4.689865,11.9779,43.57457,5.900005,350.3,0
0.3491096,-4.700374,11.98721,43.77693,6.300007,352.4,-2.684253E-08
0.3808568,-4.700521,12.075,43.77822,7.000006,354.6,-2.688079E-08
0.4162315,-4.700622,12.075,43.77958,7.700006,356.9,-1.346159E-08
0.4514235,-4.691115,12.03072,43.98058,8.200006,357.7,0
0.4859889,-4.687056,12.06954,44.18092,8.500006,358.3,1.348837E-08
0.5215313,-4.689312,12.0834,44.38092,8.600004,358.5,1.349191E-08
0.5563605,-4.68656,12.10158,44.48102,8.600005,358.6,0
0.5919358,-4.673699,12.14794,44.68139,8.600005,358.6,0
0.6278939,-4.655591,12.17486,44.8819,8.600005,358.6,0
0.6626984,-4.637147,12.1528,45.08241,8.600005,358.6,0
0.6977667,-4.629172,12.13126,45.18253,8.600005,358.6,0
0.7323691,-4.619442,12.08758,45.38283,8.600005,358.6,0
0.7669858,-4.621609,12.0723,45.58283,8.600005,358.6,0
0.8000153,-4.62792,12.05845,45.68271,8.600005,358.6,0
0.8339234,-4.64847,12.01338,45.88227,8.600005,358.6,0
0.8667867,-4.6755,11.9779,46.08167,8.600005,358.6,0
0.8997669,-4.689908,11.97598,46.18134,8.600005,358.6,0
0.933323,-4.717444,12.00708,46.38085,8.600003,358.3,0
0.9659538,-4.740105,12.05316,46.58024,8.500006,358.1,0
0.999184,-4.748127,12.06953,46.68003,8.500006,358.1,0
1.030614,-4.758433,12.08338,46.8798,8.500006,358.1,0
1.062363,-4.778337,12.12471,47.07925,8.500006,358.1,0
1.093989,-4.791485,12.14792,47.17887,8.500006,358.1,0
1.123661,-4.821104,12.17486,47.37799,8.500006,358.1,0
1.154522,-4.836347,12.16981,47.47754,8.500006,358.1,0
1.182311,-4.864629,12.13127,47.67672,8.500006,358.1,0
1.209927,-4.864629,12.075,47.67672,8.500006,358.1,0
1.237012,-4.864629,12.075,47.67672,8.500006,358.1,0
1.265491,-4.873124,12.075,47.67643,8.500006,358.1,0
1.293293,-4.873124,12.075,47.67643,8.500006,358.1,0
1.320377,-4.873124,12.075,47.67643,8.500006,358.1,0
1.348506,-4.887859,12.08047,47.87605,8.500006,358.1,0
1.375745,-4.892588,12.0749,47.97595,8.500006,358.1,0
1.403343,-4.891635,12.04844,48.17593,8.500006,358,0
1.431071,-4.887208,12.02529,48.27585,8.400005,357.8,-2.696975E-08
1.458993,-4.881182,12.00208,48.37537,8.400005,357.2,-1.348487E-08
1.485566,-4.867851,11.97514,48.57438,8.300005,355.1,-2.696284E-08
1.512743,-4.864299,11.9802,48.67316,8.200006,352.4,-5.391203E-08
1.539556,-4.86595,11.99636,48.77214,8.200005,349,-5.391203E-08
1.565346,-4.885508,12.04238,48.97125,8.200005,344.1,1.078241E-07
1.592101,-4.906946,12.06241,49.0689,8.200005,340.5,0
1.616711,-4.906861,12.075,49.06868,8.700004,336.6,1.079639E-07
1.639925,-4.906783,12.075,49.06851,9.200002,333.5,0
1.663215,-4.906675,12.075,49.06831,9.700002,329.7,-2.165392E-07
1.684804,-4.906584,12.075,49.06816,10.1,326.8,-2.168032E-07
1.706478,-4.906398,12.075,49.06791,11.9,321.5,0
1.727411,-4.906153,12.075,49.06763,13.90001,315.3,0
1.749366,-4.905879,12.075,49.06738,15.5,309.1,0
1.770057,-4.905659,12.075,49.06722,15.9,304.5,-4.438687E-07
1.789821,-4.905354,12.075,49.06703,15.7,298.5,0
1.810409,-4.905259,12.075,49.06698,14.8,296.7,0
1.830294,-4.905253,12.075,49.06698,14.7,296.6,0
1.850342,-4.905253,12.075,49.06698,14.7,296.6,0
1.870623,-4.905253,12.075,49.06698,14.7,296.6,0
1.891371,-4.905253,12.075,49.06698,14.7,296.6,0
1.911638,-4.905253,12.075,49.06698,14.7,296.6,0
1.931289,-4.905253,12.075,49.06698,14.7,296.6,0
1.953159,-4.905253,12.075,49.06698,14.7,296.6,0
1.972744,-4.905253,12.075,49.06698,14.7,296.6,0
1.993219,-4.905253,12.075,49.06698,14.7,296.6,0
2.013988,-4.905253,12.075,49.06698,14.7,296.6,0
2.033797,-4.905253,12.075,49.06698,14.7,296.6,0
2.054789,-4.905253,12.075,49.06698,14.7,296.6,0
2.075164,-4.905253,12.075,49.06698,14.7,296.6,0
2.095016,-4.905221,12.075,49.06696,15,296,4.419458E-07
2.116184,-4.905173,12.075,49.06694,15,295.1,0
2.135932,-4.905053,12.075,49.06689,15.1,292.9,-4.421532E-07
2.157009,-4.904953,12.075,49.06685,15.2,291.1,0
2.177334,-4.904835,12.075,49.0668,15.2,289,8.847245E-07
2.197966,-4.904773,12.075,49.06678,15.3,287.9,0
2.218937,-4.904762,12.075,49.06678,15.4,287.7,8.855696E-07
2.239497,-4.90475,12.075,49.06678,15.5,287.5,0
2.259769,-4.904739,12.075,49.06677,15.6,287.3,-8.864274E-07
2.279816,-4.904722,12.075,49.06677,15.9,287,0
2.299569,-4.90471,12.075,49.06676,16.2,286.8,0
