TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.0419081,0,4.476456,-39,359.8,0.3,0
0.07148106,0,4.452912,-39,359.7,0.4,1.042218E-10
0.1077163,0,4.38228,-39,359.7,0.4,1.042218E-10
0.1432084,0,4.280256,-39,359.7,0.4,1.042218E-10
0.180373,0,4.14684,-39,359.7,0.4,1.042218E-10
0.2165753,0,3.982032,-39,359.7,0.3,5.211092E-11
0.2524919,0,3.887856,-39,5.385461E-09,0.2,0
0.289894,0,3.67596,-39,0.9000002,0.7,0
0.3244753,0,3.432672,-39,1.1,1.2,0
0.36038,0,3.157992,-39,1.1,1.2,0
0.3963956,0,3.105,-39,1,1.3,0
0.4324127,0,3.105,-39,0.6000001,1.5,0
0.4695747,0,3.076992,-39,0.6000001,2.4,8.338091E-10
0.5056278,0,3.056992,-39,1.9,4.800001,6.673775E-09
0.5426317,0,3.036992,-39,2.7,8.7,0
0.5789788,0,3.016992,-39,3.1,11.8,-5.343905E-08
0.6158313,0,3.005,-39,3.3,14.6,2.672474E-08
0.6518279,0,3.015,-39,3.3,16.3,-5.344948E-08
0.6889924,0,3.035,-39,3,18.2,-5.343408E-08
0.7254027,0,3.055,-39,2.9,18.6,-5.342927E-08
0.762483,0,3.075,-39,2.9,18.6,-5.342927E-08
0.7982528,0,3.095,-39,2.9,18.6,-5.342927E-08
0.8354522,0,3.105,-39,2.9,18.7,0
0.8719255,0,3.105,-39,3.2,19.6,0
0.9067255,0,3.105,-39,3.800001,20.90001,-5.347842E-08
0.9425476,0,3.105,-39,3.800001,22.4,0
0.9789613,0,3.105,-39,3.200001,23.2,0
1.015276,0,3.105,-39,2.600001,23.3,0
1.051009,0,3.105,-39,2.4,21.7,2.670385E-08
1.086325,0,3.105,-39,3.900001,11.9,2.674235E-08
1.122944,0.04661727,3.12442,-38.80497,4.900001,7.100003,0
1.157324,0.08759683,3.170144,-38.60807,5.200001,5.900002,0
1.193348,0.1085946,3.190746,-38.50959,5.300001,5.700002,0
1.230545,0.1520018,3.203075,-38.31283,4.800002,5.600002,-2.677433E-08
1.266291,0.1938845,3.169455,-38.11501,3.600002,4.900002,1.336659E-08
1.303575,0.2273617,3.123841,-37.91333,2.400001,2.600002,0
1.339452,0.2415892,3.104476,-37.70593,1.300001,358.1,-1.667956E-09
1.376444,0.2259344,3.075119,-37.49933,0.6000008,353.7,-3.335236E-09
1.412764,0.2064607,3.051643,-37.39839,0.4000007,352,0
1.449701,0.1574447,3.011669,-37.20321,0.4000008,351.9,3.335134E-09
1.485576,0.1057068,3.012055,-37.00855,0.4000008,351.9,3.335134E-09
1.522127,0.1057161,3.105,-37.00862,0.4000007,352,-1.667567E-09
1.557674,0.1057252,3.105,-37.00868,0.2000007,352.1,-8.337684E-10
1.592951,0.1057252,3.105,-37.00868,0.1000007,352.1,-4.168823E-10
1.629401,0.1057252,3.105,-37.00868,0.1000007,352.1,-4.168823E-10
1.665193,0.1057432,3.105,-37.00882,359.6,352.3,0
1.701835,0.1057693,3.105,-37.00901,358.9,352.6,-6.671336E-09
1.737203,0.1057861,3.105,-37.00914,358.4,352.8,-6.672708E-09
1.77327,0.1058105,3.105,-37.00934,358,353.1,0
1.808246,0.1058488,3.105,-37.00967,357.5,353.6,1.335292E-08
1.845576,0.1058704,3.105,-37.00986,357.2,353.9,1.335616E-08
1.882086,0.1059522,3.105,-37.01072,356.6,355.2,0
1.917379,0.1060519,3.105,-37.01231,355.4,357.6,1.338332E-08
1.953535,0.1060769,3.105,-37.0131,354.9,358.8,-3.348309E-09
1.989854,0.1060769,3.105,-37.0131,354.9,358.8,-3.348309E-09
2.024796,0.08059228,3.05236,-36.81359,354.9,358.8,-3.348309E-09
2.060193,0.06251568,3.094829,-36.61392,354.9,358.7,6.696618E-09
2.096269,0.05416591,3.109128,-36.41406,354.8,358.5,0
2.132513,0.04720964,3.12442,-36.31422,354.8,358.4,0
2.168337,0.02529877,3.170144,-36.11475,354.8,358.4,0
2.20324,-0.002717189,3.203287,-35.91546,354.8,358.4,0
2.239001,-0.03191745,3.190222,-35.71643,354.8,358.2,1.339534E-08
2.275413,-0.04578035,3.169455,-35.61682,354.8,358.2,1.339534E-08
2.310519,-0.06824788,3.123841,-35.41776,354.8,358,6.697672E-09
2.346783,-0.08032407,3.104476,-35.21841,354.8,357.8,1.339534E-08
2.382707,-0.07946126,3.07512,-35.0187,355.1,357.5,0
2.418225,-0.06987046,3.028855,-34.81835,355.3,357.3,6.692611E-09
2.454559,-0.06329144,3.011669,-34.71804,355.4,357.2,0
2.490354,-0.04929482,3.012055,-34.51712,355.4,357.2,0
2.525607,-0.03778953,3.05236,-34.31631,355.4,357.2,0
2.562023,-0.03368495,3.094829,-34.11587,355.4,357.2,0
2.597228,-0.03964597,3.109128,-33.91592,355.4,357.2,0
2.633817,-0.04019568,3.124421,-33.81583,355.4,357.2,0
2.669174,-0.03365199,3.170145,-33.61527,355.4,357.2,0
2.705329,-0.02100847,3.203287,-33.41442,355.4,357.2,0
2.741216,-0.007174425,3.190222,-33.2135,355.4,357.2,0
2.777398,0.00294099,3.145689,-33.01277,355.4,357.2,0
2.813028,0.005069874,3.12384,-32.91254,355.4,357.2,0
2.849471,0.000405699,3.104476,-32.71253,355.4,357.2,0
2.885068,-0.01788126,3.075119,-32.51319,355.4,357.2,0
2.921332,-0.04595002,3.028854,-32.31432,355.4,357.2,0
2.956912,-0.0788913,3.005002,-32.11569,355.4,357.2,0
2.993294,-0.0956552,3.012055,-32.01639,355.4,357.2,0
3.029043,-0.1267003,3.052361,-31.81767,355.4,357.2,0
3.065262,-0.1503446,3.094829,-31.61859,355.4,357.2,0
3.099654,-0.1639233,3.109128,-31.41902,355.4,357.2,0
3.135735,-0.185116,3.146398,-31.21981,355.4,357.2,0
3.171628,-0.1992271,3.170145,-31.12038,355.4,357.2,0
3.207818,-0.2314105,3.203287,-30.92172,355.4,357.2,0
3.243717,-0.2647846,3.190222,-30.72311,355.4,357.2,0
3.279121,-0.2944397,3.145689,-30.52432,355.4,357.2,0
3.315857,-0.3154668,3.108824,-30.32511,355.4,357.2,0
3.351072,-0.3212144,3.104476,-30.22528,355.4,357.2,0
3.386964,-0.3224673,3.075119,-30.02509,355.4,357.2,0
3.422542,-0.3139383,3.028854,-29.82444,355.4,357.2,0
3.458789,-0.3005368,3.005002,-29.62355,355.4,357.2,0
3.495,-0.2935431,3.012055,-29.52308,355.4,357.2,0
3.529999,-0.2820379,3.052361,-29.32228,355.4,357.2,0
3.566456,-0.2779335,3.094829,-29.12184,355.4,357.2,0
3.602108,-0.2838947,3.109128,-28.92189,355.4,357.2,0
3.637295,-0.2822419,3.146398,-28.72157,355.4,357.2,0
3.673043,-0.2779007,3.170145,-28.62124,355.5,357.2,0
3.708937,-0.265257,3.203287,-28.42039,355.7,357.2,0
3.744992,-0.251423,3.190222,-28.21947,355.8,357.2,6.688067E-09
3.780887,-0.2413282,3.173343,-28.01984,355.8,357.2,6.688067E-09
3.817039,-0.2399732,3.166169,-27.82175,355.8,357.2,6.688067E-09
3.852991,-0.2440654,3.176663,-27.72293,355.8,357.2,6.688067E-09
3.888084,-0.2624869,3.176864,-27.5258,355.8,357.2,6.688067E-09
3.923824,-0.2910315,3.160311,-27.32872,355.8,357.2,6.688067E-09
3.958984,-0.3241186,3.165275,-27.13231,355.8,357.2,6.688067E-09
3.995121,-0.3409805,3.187958,-27.03518,355.8,357.2,6.688067E-09
4.029951,-0.3720775,3.257848,-26.83867,355.8,357.2,6.688067E-09
4.064852,-0.3958265,3.329941,-26.64178,356.3,356.7,-6.684038E-09
4.101479,-0.4112716,3.373853,-26.44457,356.5,355.7,0
4.13626,-0.4378244,3.440723,-26.24845,356.5,354.6,0
4.171851,-0.4564903,3.479237,-26.15133,356.2,353.4,-1.33696E-08
4.206814,-0.5019248,3.545182,-25.9589,355.7,351.9,0
4.242918,-0.5537134,3.565,-25.76821,355.3,350.9,-2.677045E-08
4.278552,-0.6049767,3.553315,-25.5795,354.9,349,0
4.314451,-0.6303297,3.547796,-25.48813,354.6,346.5,0
4.350315,-0.6808883,3.56081,-25.30393,354,342.8,5.365478E-08
4.385085,-0.7315165,3.561729,-25.11792,353.7,340.2,0
4.419833,-0.7823315,3.54343,-24.92695,353.5,339.3,0
4.45465,-0.8069076,3.54009,-24.83198,353.4,337.9,0
4.489947,-0.8603339,3.567882,-24.64122,353.3,336,1.074555E-07
4.524503,-0.9227434,3.635224,-24.4527,353.2,334.1,0
4.55963,-0.9977319,3.704327,-24.26918,353,333,0
4.593284,-1.041183,3.727272,-24.18007,353,332.8,1.075232E-07
4.628622,-1.128562,3.77337,-24.0022,353,332.8,1.075232E-07
4.663631,-1.206275,3.845409,-23.81923,353,332.8,1.075232E-07
4.697873,-1.278584,3.904937,-23.63341,352.9,332.7,0
4.732727,-1.314212,3.91771,-23.54025,352.9,332.7,0
4.767372,-1.386901,3.910682,-23.35429,352.9,332.7,0
4.801157,-1.465032,3.891363,-23.17151,352.9,332.7,0
4.835917,-1.553095,3.89827,-22.99366,352.8,332.6,0
4.870399,-1.601939,3.901326,-22.90732,352.8,332.6,0
4.904378,-1.70711,3.884896,-22.73886,352.4,332.8,1.076675E-07
4.939463,-1.817073,3.871226,-22.57574,352.1,335.5,0
4.973852,-1.867955,3.878006,-22.49538,352,341.1,-1.077705E-07
5.008502,-1.95453,3.930479,-22.31813,352,345.9,-1.077705E-07
5.043224,-2.021353,4.00553,-22.13121,352.1,348.3,-5.387213E-08
5.077861,-2.070528,4.063417,-21.93932,352.5,350.1,0
5.113156,-2.089075,4.082552,-21.84209,353,352.4,0
5.148043,-2.127215,4.149196,-21.64688,353.6,355.7,0
5.183207,-2.162405,4.223143,-21.44833,354.6,0.6999999,0
5.218258,-2.183405,4.265195,-21.24645,355.6,4.6,0
5.252604,-2.186443,4.268992,-21.14272,356.3,8.200001,-5.347231E-08
5.288002,-2.174901,4.257091,-20.94232,356.6,10.9,-2.672747E-08
5.32271,-2.071974,4.241143,-20.82188,356.6,11,0
5.357759,-1.955341,4.249114,-20.70531,356.5,11.3,0
5.392378,-1.893225,4.243477,-20.64779,356.5,11.3,0
5.427724,-1.761844,4.220902,-20.53434,356.5,11.4,-2.673028E-08
5.462896,-1.625372,4.208418,-20.42115,356.4,12,0
5.497787,-1.486982,4.233912,-20.30743,356.2,12.5,2.673921E-08
5.532788,-1.418272,4.260307,-20.24997,356.1,12.9,0
5.567593,-1.283158,4.321061,-20.13448,355.9,13.4,0
5.602806,-1.155521,4.368826,-20.01651,355.7,13.8,5.351148E-08
5.638523,-1.032145,4.400814,-19.89699,355.5,14,5.352586E-08
5.673717,-0.9667924,4.428099,-19.83802,355.3,14.2,0
