TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04062482,0,4.476456,-39,0,0,0
0.06666051,0,4.452912,-39,0,0,0
0.1164257,0,4.335192,-39,0,0,0
0.1493829,0,4.280256,-39,0,0,0
0.1828153,0,4.14684,-39,0,0,0
0.2165032,0,3.982032,-39,0,0,0
0.2501608,0,3.887856,-39,0,0,0
0.2841767,0,3.67596,-39,359.8,0,0
0.3179924,0,3.432672,-39,358.8,359.8,0
0.3844646,0,3.105,-39,356.8,359.2,1.670131E-09
0.4098429,0,3.105,-39,355.9,359.1,0
0.4348815,0,3.061764,-39,355.5,359,0
0.4670279,0,3.051764,-39,355.1,359,0
0.4999764,0,3.031764,-39,355,359,-3.347793E-09
0.5688537,0,3.005,-39,354.9,358.9,-3.348309E-09
0.5966008,0,3.025,-39,354.9,358.9,-3.348309E-09
0.6218006,0,3.035,-39,354.9,358.9,-3.348309E-09
0.649035,0,3.045,-39,354.9,358.9,-3.348309E-09
0.6834773,0,3.065,-39,354.9,358.9,-3.348309E-09
0.7173838,0,3.085,-39,354.9,358.9,-3.348309E-09
0.7675062,0,3.105,-39,354.9,358.9,-3.348309E-09
0.8006178,0,3.105,-39,354.9,358.9,-3.348309E-09
0.8329054,0,3.105,-39,354.9,358.9,-3.348309E-09
0.8665086,0,3.105,-39,354.9,358.9,-3.348309E-09
0.8998691,0,3.105,-39,354.9,358.9,-3.348309E-09
0.9336997,0,3.105,-39,354.9,358.9,-3.348309E-09
0.9672522,0,3.105,-39,354.9,358.9,-3.348309E-09
1.017703,0,3.105,-39,354.9,358.9,-3.348309E-09
1.050911,0,3.105,-39,354.9,358.9,-3.348309E-09
1.083331,0,3.105,-39,354.9,358.9,-3.348309E-09
1.116723,0,3.105,-39,354.9,358.9,-3.348309E-09
1.150102,0,3.105,-39,354.9,358.9,-3.348309E-09
1.183102,0,3.105,-39,354.9,358.9,-3.348309E-09
1.217181,0,3.105,-39,354.9,358.9,-3.348309E-09
1.266661,0,3.105,-39,354.9,358.9,-3.348309E-09
1.299941,0,3.105,-39,354.9,358.9,-3.348309E-09
1.333483,0,3.105,-39,354.9,358.9,-3.348309E-09
1.366529,0,3.105,-39,354.9,358.9,-3.348309E-09
1.399482,0,3.105,-39,354.9,358.9,-3.348309E-09
1.432974,0,3.105,-39,354.9,358.9,-3.348309E-09
1.467124,0,3.105,-39,354.9,358.9,-3.348309E-09
1.516518,0,3.105,-39,354.9,358.9,-3.348309E-09
1.550169,0,3.105,-39,354.9,358.9,-3.348309E-09
1.582825,0,3.105,-39,354.9,358.9,-3.348309E-09
1.616607,0,3.105,-39,354.9,358.9,-3.348309E-09
1.650019,0,3.105,-39,354.9,358.9,-3.348309E-09
1.683482,0,3.105,-39,354.9,358.9,-3.348309E-09
1.717047,0,3.105,-39,354.6,359,-3.34992E-09
1.750731,0,3.105,-39,354.4,359.1,0
1.800225,0,3.105,-39,354.3,359.2,0
1.833837,0,3.105,-39,354.3,359.2,0
1.866314,-0.0003186439,3.109128,-38.89999,354.3,359.2,0
1.89991,0.008324042,3.146398,-38.69985,354.3,359.2,0
1.933201,0.02553054,3.190746,-38.4996,354.3,359.2,0
1.966302,0.03580954,3.203287,-38.39944,354.3,359.2,0
1.999563,0.05664714,3.190222,-38.19913,354.3,359.2,0
2.032973,0.0737619,3.145689,-37.99887,354.3,359.2,0
2.067677,0.07938726,3.123841,-37.89878,353.2,359.2,-3.35868E-09
2.100052,0.08170655,3.104476,-37.69873,352,359.2,0
2.13356,0.07038794,3.07512,-37.49887,350.8,359.2,0
2.167119,0.06074918,3.051643,-37.39899,349.6,359.2,0
2.199712,0.03658472,3.011669,-37.19931,348.7,359.2,0
2.249681,0.009994831,3.012055,-36.9994,347.5,358.8,0
2.274953,-0.01549107,3.052361,-36.79984,347,358.6,0
2.317204,-0.03426442,3.094829,-36.60023,346.9,358.6,-1.369666E-08
2.35006,-0.03933779,3.104586,-36.50032,346.7,358.5,0
2.383758,-0.05009374,3.12442,-36.30055,346.4,358.4,0
