TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.05380824,0,4.452912,-39,0,0,0
0.1110614,0,4.335192,-39,0,0,0
0.1764968,0,4.14684,-39,0,0,0
0.2442373,0,3.785832,-39,0,0,0
0.3320061,0,3.299256,-39,357.7,357.1,-6.675483E-09
0.3795972,0,3.105,-39,357.7,357.1,-6.675483E-09
0.4425302,0,3.071204,-39,357.7,357.1,-6.675483E-09
0.5094255,0,3.031204,-39,357.7,357.1,-6.675483E-09
0.5778824,0,3.005,-39,357.7,357.1,-6.675483E-09
0.6629914,0,3.045,-39,357.7,357.1,-6.675483E-09
0.710854,-0.002681117,3.116397,-38.69973,357.6,357,0
0.7781963,0.01323465,3.203287,-38.39817,357.8,356.6,0
0.8459404,0.0328958,3.145689,-37.99508,359.4,355.8,0
0.9303181,0.01298992,3.094369,-37.59563,359.7,355.9,0
0.9800343,-0.01531181,3.051643,-37.39714,359.7,355.9,0
1.044371,-0.08895996,3.012055,-37.00146,359.6,356,0
1.112554,-0.1392946,3.075782,-36.70425,359.6,356,0
1.179155,-0.169724,3.109128,-36.40565,359.6,356,0
1.264074,-0.2476106,3.203287,-35.90987,359.6,356,0
1.310774,-0.2851366,3.190222,-35.71201,359.6,356,0
1.378961,-0.332952,3.123841,-35.41428,359.6,356.2,0
1.444446,-0.3560542,3.07512,-35.01494,359.6,356.2,0
1.529082,-0.3411354,3.005002,-34.61307,359.6,356.2,0
1.581805,-0.3312789,3.02948,-34.41197,359.6,356.2,0
1.643748,-0.3312933,3.104587,-34.01109,359.6,356.2,0
1.711091,-0.3385845,3.146398,-33.71091,359.6,356.2,0
1.777984,-0.3268591,3.203287,-33.40947,359.6,356.2,0
1.862082,-0.309923,3.145689,-33.00747,359.6,356.2,0
1.913508,-0.3176973,3.104476,-32.70732,359.6,356.2,0
1.982725,-0.354313,3.051643,-32.40909,359.6,356.2,0
2.071159,-0.4437645,3.02948,-31.91393,359.6,356.2,0
2.120625,-0.4751895,3.075782,-31.71558,359.6,356.2,0
2.191128,-0.5155344,3.12442,-31.31738,359.6,356.2,0
2.281295,-0.5806611,3.203287,-30.92175,359.9,355,0
2.334763,-0.6409605,3.169455,-30.62671,-5.512062E-07,354.4,0
2.403927,-0.7009404,3.104476,-30.23312,0.1999995,353,0
2.494362,-0.7229435,3.028854,-29.83359,0.2999995,352.4,-1.667549E-09
2.54593,-0.7277821,3.012055,-29.53198,0.4999995,351.8,0
2.617829,-0.7413605,3.075782,-29.23104,0.6999994,350.4,-6.670605E-09
2.70646,-0.8041981,3.146398,-28.73393,1.199999,347.5,0
2.759643,-0.8280345,3.190746,-28.53401,1.2,346.9,0
2.849681,-0.8872695,3.167961,-28.03459,1.199999,346.2,0
2.900963,-0.9246967,3.160721,-27.83777,1.199999,345.3,-1.334314E-08
2.971442,-1.042733,3.160837,-27.45933,1.199999,345.2,1.334314E-08
3.061467,-1.189844,3.178781,-27.08831,1.199999,344.9,1.334314E-08
3.112241,-1.297255,3.285491,-26.80974,1.199999,344.7,-1.334314E-08
3.183846,-1.417367,3.391332,-26.43197,1.1,344.6,1.334267E-08
3.27293,-1.562117,3.528876,-26.06121,1.1,344.6,1.334267E-08
3.323996,-1.675955,3.542695,-25.78543,1.1,344.6,1.334267E-08
3.393299,-1.776518,3.530496,-25.5056,1.1,344.6,1.334267E-08
3.48302,-1.86869,3.536215,-25.12146,1.1,344.6,1.334267E-08
3.533845,-1.917169,3.532699,-24.82666,1.1,344.6,1.334267E-08
3.603281,-1.981988,3.660855,-24.43441,1.1,344.6,1.334267E-08
3.692163,-1.989979,3.773332,-24.02332,0.9999997,344.5,-1.334224E-08
3.743886,-2.043877,3.882265,-23.73046,0.7999994,345,-6.670757E-09
3.814762,-2.087639,3.919054,-23.43745,0.7999994,347.1,0
3.90331,-2.169762,3.907706,-22.95654,0.7999994,351.5,0
3.953978,-2.208356,3.904863,-22.76832,0.7999996,355.3,0
4.026244,-2.283553,3.897759,-22.38066,0.7999995,359.1,-4.169223E-10
4.112771,-2.33047,4.031147,-21.98656,0.7999994,5.199999,3.335379E-09
4.165393,-2.311832,4.107119,-21.69019,0.7999994,9.9,-6.670757E-09
4.236424,-2.280434,4.213822,-21.39114,0.7999995,17.8,0
4.324362,-2.161922,4.279734,-20.90888,0.8999995,25.2,0
4.376873,-2.048338,4.259491,-20.75934,1.299999,28,2.66873E-08
4.463254,-1.700605,4.246695,-20.41971,2,33.6,0
4.517008,-1.54987,4.231049,-20.2867,2.399999,35.3,5.34077E-08
4.602623,-1.237558,4.311936,-20.0336,2.599999,36.3,5.341584E-08
4.655436,-1.016028,4.397069,-19.83439,3.099999,38.3,0
4.742143,-0.7222594,4.502683,-19.56596,3.099999,39.20001,1.068781E-07
4.795501,-0.4868835,4.570603,-19.37684,3.099999,39.30001,0
4.864934,-0.1767161,4.535155,-19.12172,3.099999,39.30001,0
4.951758,0.101877,4.527981,-18.84077,3.099999,39.30001,0
5.005326,0.2899719,4.495896,-18.61195,3.099999,38.90001,0
5.074087,0.4731184,4.540056,-18.37924,3.099999,36.6,0
5.158896,0.7291022,4.659292,-18.08406,3.099999,32.4,-5.343905E-08
5.212417,0.9250283,4.728076,-17.873,3.099999,27.5,-5.343905E-08
5.278301,1.098197,4.817699,-17.66063,3.099999,22.9,0
5.347392,1.316492,4.8107,-17.38956,3.1,18.40001,0
5.434039,1.551439,4.795092,-17.14147,2.999999,13.7,2.671704E-08
5.489585,1.747468,4.766956,-16.97318,2.2,8.400003,0
5.571951,2.013108,4.764199,-16.75737,1.599999,3.600003,0
5.626082,2.198051,4.841718,-16.60162,1.499999,3.200003,0
5.711818,2.420183,4.917915,-16.39355,0.9999995,359.8,0
5.762974,2.528041,4.964502,-16.2943,0.6999994,357.4,0
5.851831,2.807317,5.068705,-16.05552,0.6999994,355.3,0
5.90318,2.969081,5.048661,-15.91493,0.6999994,352.9,0
