TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04172461,0,4.476456,-39,0,0,0
0.08435084,0,4.42152,-39,0,0,0
0.1340329,0,4.280256,-39,0,0,0
0.1831141,0,4.14684,-39,0,0,0
0.2170762,0,3.982032,-39,0,0,0
0.2673166,0,3.67596,-39,0,0,0
0.3190165,0,3.432672,-39,0,359.6,0
0.3503091,0,3.157992,-39,0.4,358.6,4.168918E-10
0.4008036,0,3.105,-39,0.7000001,358.5,-8.338255E-10
0.4497806,0,3.069753,-39,0.7000001,358.5,-8.338255E-10
0.4841917,0,3.059753,-39,0.7000001,358.5,-8.338255E-10
0.5520338,0,3.019753,-39,0.7000001,358.5,-8.338255E-10
0.5830073,0,3.009753,-39,0.7000001,358.5,-8.338255E-10
0.6164322,0,3.015,-39,0.7000001,358.5,-8.338255E-10
0.6675208,0,3.045,-39,0.7000001,358.5,-8.338255E-10
0.7334135,0,3.075,-39,0.7000001,358.5,-8.338255E-10
0.7583938,0,3.085,-39,0.7000001,358.5,-8.338255E-10
0.800355,0,3.105,-39,0.7000001,358.5,-8.338255E-10
0.8502799,0,3.105,-39,0.8000001,358.5,8.338445E-10
0.883599,0,3.105,-39,0.8000001,358.5,8.338445E-10
0.9338009,0,3.105,-39,0.8000001,358.5,8.338445E-10
0.9839192,0,3.105,-39,0.8000001,358.5,8.338445E-10
1.017803,0,3.105,-39,0.8000001,358.5,8.338445E-10
1.067459,0,3.105,-39,0.8000001,358.5,8.338445E-10
1.116929,0,3.105,-39,0.8000001,358.5,8.338445E-10
1.149616,0,3.105,-39,0.8000001,358.5,8.338445E-10
1.20153,0,3.105,-39,0.8000001,358.5,8.338445E-10
1.234174,0,3.105,-39,0.8000001,358.5,8.338445E-10
1.283214,0,3.105,-39,0.8000001,358.5,8.338445E-10
1.333675,0,3.105,-39,0.8000001,358.5,8.338445E-10
1.367404,0,3.105,-39,0.8000001,358.5,8.338445E-10
1.417435,0,3.105,-39,0.8000001,358.5,8.338445E-10
1.467175,0,3.105,-39,0.8000001,358.5,8.338445E-10
1.500006,0,3.105,-39,0.8000001,358.5,8.338445E-10
1.551095,0,3.105,-39,0.8000001,358.5,8.338445E-10
1.600589,0,3.105,-39,0.9,358.6,0
1.634369,0,3.105,-39,0.9,358.6,0
1.683762,0,3.105,-39,0.9,358.6,0
1.74962,0,3.105,-39,0.9,358.6,0
1.773315,0,3.105,-39,0.9,358.6,0
1.817151,0,3.105,-39,0.9,358.7,8.338661E-10
1.867205,0,3.105,-39,0.9,358.9,-8.338662E-10
1.900443,0,3.105,-39,0.9,358.9,-8.338662E-10
1.951503,0,3.105,-39,0.9,358.9,-8.338662E-10
2.013557,0,3.105,-39,0.9,358.9,-8.338662E-10
2.045345,0,3.105,-39,0.9,358.9,-8.338662E-10
2.083523,0.001577529,3.12442,-38.79993,0.9,358.9,-8.338662E-10
2.133618,0.02291011,3.190746,-38.49947,0.9,358.9,-8.338662E-10
2.166331,0.04271689,3.203075,-38.29905,0.9,358.9,-8.338662E-10
2.236113,0.04271689,3.105,-38.29905,0.9,358.9,-8.338662E-10
2.264545,0.04271689,3.105,-38.29905,0.9,358.9,-8.338662E-10
2.300095,0.04271689,3.105,-38.29905,0.9,358.9,-8.338662E-10
2.351078,0.04271689,3.105,-38.29905,0.9,358.9,-8.338662E-10
2.383584,0.04271689,3.105,-38.29905,0.9,358.9,-8.338662E-10
2.43329,0.04271689,3.105,-38.29905,0.9,358.9,-8.338662E-10
2.483797,0.04271689,3.105,-38.29905,0.9,358.9,-8.338662E-10
2.517048,0.04271689,3.105,-38.29905,0.9,358.9,-8.338662E-10
2.567712,0.04271689,3.105,-38.29905,0.9,358.9,-8.338662E-10
2.616714,0.04271689,3.105,-38.29905,0.9,358.9,-8.338662E-10
