SubjectNo	PC_01	PC_02	PC_03	PC_04	PC_05	PC_06	PC_07	PC_08	PC_09	PC_10	PC_11	PC_12	EC_01	EC_02	EC_03	EC_04	EC_05	EC_06	EC_07	EC_08	EC_09	EC_10
P61	4	2	4	3	2	4	3	2	2	2	2	1	3	3	3	4	4	4	4	4	3	4
P62	3	2	4	1	2	1	1	3	3	2	4	3	2	2	2	1	2	2	2	1	2	1
P63	3	2	4	2	2	3	2	2	2	2	3	3	4	2	3	2	4	3	3	2	2	2
P64	2	1	3	2	2	2	2	1	2	2	4	2	2	1	2	3	3	2	2	1	2	1
P65	3	3	3	3	2	1	1	2	2	2	4	2	3	2	3	2	3	3	3	2	2	1
P66	3	4	3	2	4	3	2	1	3	4	3	2	3	2	3	2	4	4	3	3	2	2
P67	2	4	3	2	1	3	2	4	4	2	4	4	3	2	2	2	3	2	3	2	2	2
P68	3	4	4	2	3	2	3	4	4	4	4	3	4	2	4	2	4	3	3	2	4	3
P69	3	1	4	2	3	3	4	2	3	3	3	1	2	1	2	1	3	2	3	2	2	2
P70	3	4	4	3	2	3	2	3	1	3	4	2	3	2	3	1	4	2	3	2	2	3
P71	4	3	3	1	3	2	2	3	2	3	4	3	3	2	3	3	3	3	2	1	3	3
P72	3	2	4	1	3	4	3	3	1	3	4	2	4	3	4	4	4	4	3	3	4	4
P73	3	4	3	2	3	4	2	2	4	3	3	3	4	3	4	3	4	3	4	3	4	3
P74	4	2	4	2	1	2	2	4	4	3	4	2	4	1	2	2	3	3	2	1	2	3
P75	3	3	2	2	1	2	2	1	2	3	4	1	3	2	2	3	4	3	3	2	3	2
P76	3	3	3	2	2	3	3	3	3	3	4	4	3	4	3	4	3	3	4	4	4	3
P77	3	4	4	2	3	4	2	3	3	4	4	4	4	4	3	3	2	3	3	3	2	2
P78	4	3	4	1	4	4	4	4	4	3	4	4	3	3	4	3	4	3	4	3	4	3
P79	2	1	2	1	3	2	4	2	2	2	3	1	3	2	4	2	4	3	3	4	3	2
P80	3	3	4	2	4	4	2	3	2	4	4	4	4	3	3	2	4	4	2	2	4	2
P81	4	4	4	4	3	4	4	1	3	4	4	2	4	3	3	4	4	3	4	4	4	4
P82	3	2	4	1	3	3	3	2	3	1	4	2	3	1	3	2	3	3	2	2	3	3
P83	2	4	2	2	2	3	1	2	4	3	2	2	2	2	3	3	3	3	3	3	2	3
P84	4	4	4	4	3	4	3	4	3	4	3	3	3	2	3	4	3	4	4	3	2	4
P85	2	2	3	1	3	3	2	3	2	2	3	2	3	2	3	2	2	2	2	2	1	2
P86	2	3	4	3	3	3	4	4	4	4	4	4	3	4	2	3	3	3	3	3	3	4
P87	3	3	4	2	4	2	3	1	1	3	4	1	3	1	3	2	2	3	2	2	3	2
