TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.036486,-4.793215,12.1623,42.17321,20.49999,337.5,4.557484E-07
0.07117441,-4.894221,12.15694,42.35188,21.2,342.3,2.28937E-07
0.1051731,-4.937052,12.13528,42.45361,21.49999,349.4,0
0.1380527,-4.990525,12.09051,42.66028,21.39999,357.3,0
0.1699654,-5.003402,12.07356,42.87498,20.8,6.000006,0
0.2057776,-4.986254,12.06147,42.99121,20.8,16.40001,2.283243E-07
0.2446149,-4.9116,12.01739,43.18938,20.79999,24.30001,0
0.2828559,-4.805484,11.97957,43.36984,20.8,32.20001,4.566485E-07
0.3219852,-4.675961,11.98436,43.53031,20.6,39.90001,4.560466E-07
0.3601826,-4.530688,12.02663,43.67145,19.7,45.50001,-4.534255E-07
0.3977698,-4.378833,12.06738,43.80245,18.79999,49.20001,-4.509451E-07
0.4363885,-4.225091,12.08114,43.93034,18.3,51.00001,0
0.4734893,-4.062403,12.12063,44.04616,17.89999,53.80001,0
0.507215,-3.976771,12.14418,44.09701,17.5,55.90001,-4.476032E-07
0.5394109,-3.799899,12.1743,44.18933,17.3,58.10001,0
0.5723546,-3.619988,12.15697,44.2737,17.1,60.3,0
0.6048067,-3.530507,12.13531,44.31272,16.8,62.4,0
0.6365465,-3.34791,12.09053,44.3908,16.5,63.60001,8.904424E-07
0.6677711,-3.34836,12.075,44.39058,16.4,63.90001,0
0.6974218,-3.34736,12.07724,44.38696,16.3,64.3,-8.89528E-07
0.7275499,-3.34736,12.075,44.38696,16.3,64.3,-8.89528E-07
0.7563826,-3.34736,12.075,44.38696,16.3,64.3,-8.89528E-07
0.7867164,-3.34736,12.075,44.38696,16.3,64.3,-8.89528E-07
0.8155394,-3.34736,12.075,44.38696,16.3,64.3,-8.89528E-07
0.8449608,-3.34736,12.075,44.38696,16.3,64.3,-8.89528E-07
0.8747475,-3.34736,12.075,44.38696,16.3,64.3,-8.89528E-07
0.903767,-3.34736,12.075,44.38696,16.3,64.3,-8.89528E-07
0.9321637,-3.34736,12.075,44.38696,16.3,64.3,-8.89528E-07
0.9617108,-3.34736,12.075,44.38696,16.3,64.3,-8.89528E-07
0.9917222,-3.34736,12.075,44.38696,16.3,64.3,-8.89528E-07
1.020849,-3.350831,12.075,44.38538,16.7,66.50002,8.913693E-07
1.049175,-3.359588,12.075,44.38205,18.2,71.90001,8.987356E-07
1.078003,-3.369465,12.075,44.37938,19.2,77.8,-9.040607E-07
1.108119,-3.376982,12.075,44.37805,19.8,82.20001,0
1.136291,-3.385099,12.075,44.37727,20.5,86.90001,9.114968E-07
1.165788,-3.39169,12.075,44.37714,21,90.7,-9.145153E-07
1.195039,-3.396372,12.075,44.3773,21.40001,93.40001,0
1.224587,-3.40242,12.075,44.37785,22.1,96.9,0
1.252084,-3.406029,12.075,44.37835,22.4,99,0
1.279566,-3.410127,12.075,44.37909,23.00001,101.4,0
1.30576,-3.41301,12.075,44.37972,23.50001,103.1,0
1.330587,-3.415704,12.075,44.38038,24.1,104.7,9.352999E-07
1.35692,-3.417212,12.075,44.38079,24.2,105.6,-9.360321E-07
1.382584,-3.418046,12.075,44.38103,24.2,106.1,9.360321E-07
1.407634,-3.418213,12.075,44.38108,24.2,106.2,9.360319E-07
1.433535,-3.41838,12.075,44.38113,24.2,106.3,0
1.45858,-3.41838,12.075,44.38113,24.2,106.3,0
1.48363,-3.41838,12.075,44.38113,24.2,106.3,0
1.507739,-3.41838,12.075,44.38113,24.2,106.3,0
1.533326,-3.418713,12.075,44.38123,24.1,106.5,0
1.558357,-3.418713,12.075,44.38123,24,106.5,9.345716E-07
1.583542,-3.418879,12.075,44.38127,23.9,106.6,0
1.608287,-3.32321,12.07503,44.35215,23.9,106.6,0
1.634368,-3.129692,12.05202,44.30124,23.9,106.6,0
1.659308,-3.031711,12.02937,44.27988,23.7,106.6,-9.324107E-07
1.684312,-2.933149,12.00582,44.26046,23.7,106.6,-9.324107E-07
1.709531,-2.734987,11.9757,44.22512,23.7,106.6,-9.324107E-07
1.734201,-2.635667,11.97832,44.208,23.6,106.5,9.316984E-07
1.75915,-2.536408,11.99303,44.19065,23.6,106.3,-9.316981E-07
1.784274,-2.437316,12.01469,44.1726,24,105.8,9.345715E-07
1.808459,-2.338578,12.03848,44.15386,24.8,105.2,9.405099E-07
