TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.05818178,0,4.452912,-39,0,0,0
0.1022266,0,4.38228,-39,0,0,0
0.1506871,0,4.280256,-39,0,0,0
0.2003838,0,4.06836,-39,0,0,0
0.2508703,0,3.887856,-39,0,0,0
0.3015082,0,3.55824,-39,0,0,0
0.3520229,0,3.299256,-39,0,0,0
0.4012239,0,3.105,-39,0,0,0
0.4515051,0,3.0804,-39,0,0,0
0.5013496,0.0125139,3.091797,-38.7,0,0,0
0.5520624,0.03251497,3.116146,-38.5,0,0,0
0.600233,0.06782353,3.090222,-38.2,0,0,0
0.6507949,0.08773266,3.065689,-38,0.2,0,0
0.7019377,0.09986696,3.054476,-37.69983,0.7,359.9,5.211409E-11
0.7778732,0.07232098,3.018855,-37.29974,1,359.8,0
0.808134,0.06067492,3.011669,-37.19979,1,359.8,0
0.842591,0.03618197,3.012055,-36.99987,1,359.8,0
0.8810106,0.01418319,3.052361,-36.79995,1.1,359.8,0
0.9194328,-0.000405906,3.094829,-36.59999,1.1,359.8,0
0.9669635,-0.00491743,3.109128,-36.40001,1.1,359.8,0
1.017423,-0.02663738,3.170144,-36.10016,1.3,359.6,0
1.067963,-0.0504727,3.203287,-35.9004,1.5,359.5,0
1.118111,-0.08744599,3.169455,-35.60099,2,359.3,0
1.167567,-0.1060821,3.123841,-35.40186,3.1,358.9,0
1.217007,-0.1142175,3.094369,-35.10213,3.600001,358.8,-3.341647E-09
1.268028,-0.1043677,3.051643,-34.90202,3.7,358.7,-3.342019E-09
1.31763,-0.07790609,3.005002,-34.60135,3.7,358.7,-3.342019E-09
1.376405,-0.05152718,3.05236,-34.30067,3.7,358.7,-3.342019E-09
1.418313,-0.04217704,3.094829,-34.10041,3.7,358.7,-3.342019E-09
1.467642,-0.04290215,3.109128,-33.90037,3.7,358.7,-3.342019E-09
1.518935,-0.02904028,3.170145,-33.59998,3.7,358.7,-3.342019E-09
1.574231,-0.001440737,3.203075,-33.29927,3.7,358.7,-3.342019E-09
1.624247,0.01640404,3.169455,-33.09896,3.7,358.8,0
