TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02285346,0.121078,11.97894,42.27016,11.40001,350.9,0
0.04507266,0.09375989,11.98127,42.36336,11.40001,354.7,0
0.06692906,0.07299682,11.99302,42.46034,11.40001,357.3,0
0.08944383,0.05746644,12.01321,42.55811,11.40001,1.4,0
0.1111791,0.05048387,12.03689,42.65733,11.60001,5.7,0
0.1328549,0.05315337,12.05916,42.75732,12,8.000002,5.455297E-08
0.1555282,0.06255222,12.0751,42.85696,12.10001,9.100001,0
0.177613,0.07704944,12.0802,42.95591,12.20001,9.600001,1.091876E-07
0.1997901,0.09137563,12.0891,43.05492,12.30001,9.800001,0
0.2213022,0.1121065,12.13091,43.25444,12.30001,10.3,-1.09229E-07
0.2436887,0.1202694,12.154,43.35483,12.40001,10.8,0
0.2664164,0.1280799,12.17198,43.45554,12.40001,11.4,0
0.2884601,0.1363152,12.17994,43.55641,12.40001,12,0
0.3106865,0.1455807,12.17422,43.65733,12.40001,12.6,-1.092707E-07
0.3314494,0.1563911,12.15763,43.75777,12.40001,12.9,1.092707E-07
0.3543788,0.1565345,12.08,43.75838,12.40001,13.4,1.092707E-07
0.3764409,0.1566231,12.08,43.75875,12.40001,13.7,0
0.3980608,0.1566832,12.08,43.75899,12.40001,13.9,0
0.4192306,0.1567136,12.08,43.75911,12.40001,14,1.092707E-07
0.4425263,0.1567136,12.08,43.75911,12.40001,14,1.092707E-07
0.4634324,0.1567442,12.08,43.75924,12.40001,14.1,0
0.4854704,0.1567442,12.08,43.75924,12.40001,14.1,0
0.507122,0.1567442,12.08,43.75924,12.40001,14.1,0
0.5289636,0.1567442,12.08,43.75924,12.40001,14.1,0
0.5513803,0.1567442,12.08,43.75924,12.40001,14.1,0
0.5722494,0.1567442,12.08,43.75924,12.40001,14.1,0
0.5943085,0.1567442,12.08,43.75924,12.40001,14.1,0
0.6160612,0.1567442,12.08,43.75924,12.40001,14.1,0
0.6369123,0.1567442,12.08,43.75924,12.40001,14.1,0
0.6593609,0.1568061,12.08,43.75948,12.40001,14.3,0
