TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.05792572,0,4.452912,-39,0,0,0
0.105306,0,4.38228,-39,0,0,0
0.1875277,0,4.14684,-39,0,0,0
0.2292166,0,3.982032,-39,0.1,359.9,-6.513785E-12
0.305126,0,3.55824,-39,0.3,359.8,0
0.348204,0,3.299256,-39,0.3,359.8,0
0.42773,0,3.105,-39,0.3,359.8,0
0.4709825,0,3.055237,-39,0.3,359.8,0
0.5476621,0,3.025237,-39,0.4,359.7,0
0.5916222,0,3.005,-39,0.6,359.5,0
0.6526495,0,3.035,-39,0.7,359.4,0
0.7143449,0,3.065,-39,0.7,359.4,0
0.7750385,0,3.095,-39,0.7,359.4,0
0.8372768,0,3.105,-39,0.7,359.4,0
0.8980044,0,3.105,-39,0.7,359.4,0
0.9608292,0,3.105,-39,0.7,359.4,0
1.022017,0,3.105,-39,0.7,359.4,0
1.082321,0.009371657,3.146397,-38.69989,0.7,359.4,0
1.158223,0.04883227,3.203075,-38.29945,0.7,359.4,0
1.205851,0.0691231,3.169455,-38.09936,0.6999999,359.5,-2.084564E-10
1.286229,0.08694809,3.104476,-37.6992,0.6999999,359.5,-2.084564E-10
1.327311,0.07667733,3.07512,-37.49944,0.6000001,359.6,2.084522E-10
1.406803,0.03236628,3.005002,-37.09974,0.5000001,359.6,-1.042244E-10
1.449423,0.007808486,3.02948,-36.89994,0.4,359.7,-1.04223E-10
1.528292,-0.02083895,3.104586,-36.50009,0.1,359.9,0
1.575586,-0.03398117,3.146398,-36.20005,359.6,0.1999999,-5.211148E-11
1.649101,-0.06461018,3.203287,-35.89978,358.7,0.3999999,0
1.696963,-0.09687442,3.169455,-35.59955,358.6,0.3999999,4.170061E-10
1.770335,-0.1153965,3.104476,-35.19924,358.3,0.4999999,0
1.81929,-0.1051246,3.07512,-34.99932,358.1,0.4999999,0
1.892846,-0.06011646,3.005002,-34.59979,357.8,0.3999999,0
1.936167,-0.0355588,3.02948,-34.4,357.5,0.2999999,-4.172789E-10
2.012577,-0.006911361,3.104547,-34.00014,357.1,0.1999999,-4.174162E-10
2.064396,-0.0006905659,3.12442,-33.80017,357,0.1999999,0
2.119073,0.0274536,3.190746,-33.50021,356.9,0.09999994,0
2.19301,0.07418733,3.169455,-33.10028,356.9,0.09999994,0
2.23991,0.09074073,3.123841,-32.90031,356.9,0.09999994,0
2.31558,0.08802069,3.07512,-32.49935,356.7,359.5,0
2.367654,0.06791373,3.028854,-32.29761,356.9,358,0
2.427208,0.02228968,3.012055,-31.9975,357.2,355.7,-6.678079E-09
2.485897,-0.02961721,3.075782,-31.70036,357.2,354.4,1.335616E-08
