TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02617924,6.439891,11.97096,42.30765,13.30001,10.6,0
0.05145275,6.446919,11.98212,42.40892,13.30001,9.200001,0
0.0763845,6.452228,12.00197,42.51001,13.30001,7.6,5.483149E-08
0.1019808,6.456136,12.02559,42.61095,13.30001,5.2,5.483149E-08
0.127319,6.462192,12.06447,42.81129,13.30001,2.400001,0
0.1537394,6.464904,12.07009,42.91127,13.30001,0.1000005,-8.567421E-10
0.1799258,6.462883,12.07832,43.01123,13.30001,358.9,0
0.2055272,6.462883,12.07,43.01122,13.20001,358.8,-1.370224E-08
0.2301213,6.462883,12.07,43.01122,13.20001,358.8,-1.370224E-08
0.2570816,6.462883,12.07,43.01122,13.20001,358.8,-1.370224E-08
0.2852118,6.462883,12.07,43.01122,13.30001,358.7,0
0.3114906,6.462883,12.07,43.01122,14.20001,358.7,0
0.3371044,6.462883,12.07,43.01119,16.10001,357.9,2.776957E-08
0.3643191,6.462889,12.07,43.01109,20.10001,355.5,0
0.3908052,6.462896,12.07,43.01102,23.10001,353.5,0
0.4181252,6.462904,12.07,43.01095,25.10001,351.8,1.178505E-07
0.4447894,6.462909,12.07,43.01092,25.90002,351,-2.372759E-07
0.4719657,6.462909,12.07,43.01092,25.90002,351,-2.372759E-07
0.4991548,6.441978,12.09646,43.10884,25.60002,350.9,0
0.526679,6.392847,12.14282,43.30347,25.10002,350.8,0
0.5549463,6.365855,12.16121,43.40041,25.10002,350.8,0
0.5818168,6.338171,12.16985,43.49723,25.10002,350.8,0
0.609634,6.283153,12.14874,43.69092,25.10002,350.8,0
0.6365743,6.257031,12.12638,43.78799,25.10002,350.8,0
0.6644813,6.232643,12.10273,43.88535,25.10002,350.8,0
0.6914113,6.191492,12.07113,44.08129,25.10002,350.8,0
0.7186214,6.175816,12.06734,44.18058,25.10002,351.1,0
0.7468502,6.155015,12.03229,44.3818,25.40002,352.4,-1.181419E-07
0.7733876,6.150389,12.00849,44.48431,25.50002,354,0
0.8007666,6.150317,11.98707,44.58619,25.50002,355.1,0
0.8283611,6.156574,11.97095,44.78923,26.00002,357.3,-5.936938E-08
0.8553829,6.163566,11.98212,44.89067,26.50001,359,1.490636E-08
0.8825628,6.172729,12.00197,44.99133,26.80002,0.2000022,0
0.9098576,6.190298,12.04806,45.19147,27.40001,2.100002,6.010355E-08
0.9368897,6.198683,12.06447,45.29126,27.90002,3.200002,0
0.9621648,6.20574,12.07009,45.39103,28.50002,4.000002,1.214379E-07
0.9893919,6.2272,12.09646,45.58974,29.30001,6.100002,1.223776E-07
1.016503,6.245587,12.1196,45.68761,30.30002,8.800001,-2.47214E-07
1.041561,6.270451,12.14282,45.78405,31.10001,10.8,2.492721E-07
1.067916,6.330331,12.16985,45.9753,31.60001,11.9,0
1.093498,6.362586,12.16486,46.07048,31.70001,12.1,2.508706E-07
1.119281,6.394677,12.14874,46.16574,31.70001,12.2,0
1.145296,6.425782,12.12639,46.26104,31.70002,12.4,5.017411E-07
1.17106,6.482927,12.08267,46.45273,31.70001,12.7,0
1.196119,6.507793,12.07113,46.54874,31.50002,13.2,2.503324E-07
1.221124,6.530201,12.06734,46.64603,31.50002,13.3,0
1.246981,6.566627,12.03229,46.84627,32.40002,11.2,5.055937E-07
1.272278,6.577794,12.00849,46.94898,33.30003,9.1,-2.55374E-07
1.297201,6.583457,11.98708,47.05131,34.70003,7.500001,0
1.322194,6.537557,11.97295,47.08749,36.50003,6.300001,2.655242E-07
1.346704,6.457551,11.9741,47.12293,38.20003,5.300002,1.35803E-07
1.372788,6.409907,11.98376,47.15101,40.80003,4.000001,1.409808E-07
1.399105,6.356951,11.99834,47.18935,42.70002,2.900001,0
1.424456,6.303819,12.01669,47.24313,44.70004,1.200001,0
1.449562,6.217226,12.05537,47.39809,46.10003,359.7,-9.6194E-09
1.474975,6.200702,12.06776,47.49546,47.10002,358.7,7.838878E-08
1.50013,6.197502,12.07139,47.59541,47.50003,358,-7.898409E-08
1.524072,6.19072,12.08339,47.69519,47.60003,357.4,-1.582699E-07
1.548215,6.166814,12.12742,47.89422,47.60003,357.1,0
1.571175,6.151445,12.1496,47.99347,47.60003,356.9,0
1.594983,6.134611,12.16534,48.0927,47.60003,356.9,0
1.617928,6.117281,12.16974,48.19182,47.60003,356.8,0
1.641978,6.099901,12.16058,48.29078,47.70004,356.6,-1.585732E-07
