TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04437272,0,4.452912,-39,0,0,0
0.07180303,0,4.42152,-39,0,0,0
0.1070559,0,4.335192,-39,0,0,0
0.1476775,0,4.217472,-39,0,0,0
0.1833327,0,4.06836,-39,0,0,0
0.2197607,0,3.982032,-39,0,0,0
0.2553286,0,3.785832,-39,0,0,0
0.2926521,0,3.55824,-39,0,0,0
0.327516,0,3.299256,-39,0,0,0
0.3634668,0,3.105,-39,0,0,0
0.3989547,0,3.105,-39,0,0,0
0.4357076,0.005417925,3.096444,-38.8,0,0,0
0.4716799,0.02175094,3.122169,-38.6,0,0,0
0.5062231,0.04419121,3.135311,-38.4,0,0,0
0.5421728,0.06782353,3.102247,-38.2,0,0,0
0.5812898,0.07855059,3.07148,-38.1,0,0,0
0.6167033,0.09475496,3.033841,-37.9,0,0,0
0.6529804,0.09986711,3.034476,-37.7,0,0,0
0.6890036,0.09134007,3.02512,-37.5,0,0,0
0.7262557,0.07301958,2.998855,-37.3,0,0,0
0.7617683,0.04982049,2.995002,-37.1,0,0,0
0.7982379,0.03792743,3.012055,-37,0,0,0
0.834301,0.01662688,3.05236,-36.8,0,0,0
0.8705576,0.00273571,3.094829,-36.6,0,0,0
0.906065,-0.001077686,3.109128,-36.4,0,0,0
0.9413471,-0.005417943,3.12442,-36.3,0,0,0
0.9782047,-0.02175097,3.170144,-36.1,0,0,0
1.013102,-0.04419125,3.203287,-35.9,0,0,0
1.049306,-0.06782357,3.190222,-35.7,0,0,0
1.085334,-0.08773269,3.145689,-35.5,0,0,0
1.121072,-0.09475499,3.123841,-35.4,0,0,0
1.157267,-0.09986696,3.104476,-35.19983,0,0.1,0
1.192969,-0.09099083,3.075119,-34.99984,0,0.1,0
1.228228,-0.07232128,3.028855,-34.79987,0,0.1,0
1.264349,-0.04877316,3.005002,-34.59991,0,0.1,0
1.300127,-0.03670579,3.012055,-34.49994,0,0.1,0
1.337243,-0.01505602,3.05236,-34.29997,0,0.1,0
1.37199,-0.0008158268,3.094829,-34.1,0,0.1,0
1.408187,0.003346587,3.109127,-33.9,0,0.1,0
1.443945,0.01513183,3.146397,-33.70002,0,0.1,0
1.48008,0.02454358,3.170145,-33.60004,0,0.1,0
1.514739,0.0473327,3.203287,-33.40008,0,0.1,0
1.550965,0.07131407,3.190222,-33.20012,0,0.1,0
