TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04894649,0,4.452912,-39,0,0,0
0.08126565,0,4.42152,-39,0,0,0
0.1216121,0,4.335192,-39,0,0,0
0.1626334,0,4.217472,-39,0,0,0
0.203023,0,4.06836,-39,0,0,0
0.2436451,0,3.887856,-39,0,0,0
0.2965757,0,3.55824,-39,0,0,0
0.3260284,0,3.432672,-39,0,0,0
0.3644675,0,3.157992,-39,0,0,0
0.4045384,0,3.105,-39,0,0,0
0.4454801,0,3.084965,-39,0,0,0
0.4857235,0,3.064965,-39,0,0,0
0.526736,0,3.034965,-39,0,0,0
0.5679169,0,3.014965,-39,0,0,0
0.6086524,0,3.015,-39,0,0,0
0.6489188,0,3.035,-39,0,0,0
0.6898919,0,3.055,-39,0,0,0
0.7305591,0,3.075,-39,0,0,0
0.7717718,0,3.095,-39,0,0,0
0.8135479,0,3.105,-39,0,0,0
0.8547791,0.005417925,3.12442,-38.8,0,0,0
0.8951917,0.02174882,3.170144,-38.59969,0.5000001,359.2,-2.084488E-10
0.9359082,0.04137687,3.203287,-38.39863,1.3,358.2,0
0.9899201,0.06621997,3.169455,-38.09592,3,356.9,6.679259E-09
1.016434,0.06993596,3.145689,-37.9948,4.400001,356.4,-1.337965E-08
1.059492,0.06859238,3.108824,-37.79398,5.800001,356.1,-1.340886E-08
1.099042,0.05312535,3.094369,-37.59457,6.1,356.1,-1.341618E-08
1.139662,0.02551665,3.051643,-37.39598,6.300001,356.1,-1.342126E-08
1.180043,-0.009411294,3.011669,-37.1979,6.7,356.1,0
1.221993,-0.04675424,3.012055,-36.99998,7.3,356.1,0
1.26283,-0.08160859,3.05236,-36.8019,8.3,356.1,-2.696284E-08
1.305495,-0.1090713,3.094829,-36.60329,9.8,355.9,0
1.345764,-0.1271743,3.109128,-36.40408,10.8,355.8,-2.716153E-08
1.387719,-0.1697636,3.170145,-36.1064,11.7,355.8,2.724653E-08
1.427885,-0.2067912,3.203287,-35.90858,12.2,355.8,-2.72969E-08
1.468679,-0.2450161,3.190222,-35.71073,12.4,355.9,2.731768E-08
1.509728,-0.2791845,3.145689,-35.51251,12.6,356,0
1.551164,-0.3044027,3.108824,-35.31344,12.8,356.2,-2.736035E-08
1.591689,-0.3157932,3.094369,-35.11376,12.8,356.2,-2.736035E-08
1.631639,-0.3150408,3.051643,-34.91327,12.8,356.2,-2.736035E-08
1.672604,-0.3069682,3.011669,-34.71229,12.8,356.2,-2.736035E-08
1.712726,-0.2964759,3.012055,-34.51122,12.9,356.1,0
1.754015,-0.2888275,3.052361,-34.31023,12.9,356.1,0
1.794087,-0.2885717,3.094829,-34.10975,12.9,356.1,0
1.833518,-0.2983702,3.109128,-33.90995,12.9,356.1,0
1.874473,-0.3005592,3.146398,-33.70971,12.7,356.4,0
1.914322,-0.2931558,3.190746,-33.50884,12.7,356.4,0
1.955411,-0.2821101,3.203075,-33.30775,12.7,356.4,0
2.00804,-0.2692694,3.145689,-33.01172,10.2,359.9,0
2.037738,-0.2624682,3.123841,-32.91484,8.299999,1.8,-1.348142E-08
2.074746,-0.2513629,3.104476,-32.72015,5.399999,4.7,-1.339968E-08
2.115516,-0.2436835,3.075119,-32.52235,3.899999,6.1,-1.337118E-08
2.155705,-0.240794,3.028854,-32.3228,2.199998,7.1,0
2.196817,-0.23926,3.005002,-32.12267,0.6999982,8.5,-3.335302E-09
2.237972,-0.2326865,3.02948,-31.92195,358.9,9.600001,0
2.2793,-0.217325,3.075782,-31.72192,357.1,11,2.671464E-08
2.320357,-0.1873532,3.104586,-31.524,356.7,11.3,0
2.360254,-0.1535796,3.12442,-31.3268,356.7,11.3,0
2.401498,-0.1304067,3.170145,-31.12747,356.7,11.3,0
2.442439,-0.1132227,3.203287,-30.92695,356.7,11.3,0
2.482844,-0.09720762,3.190222,-30.7262,356.7,11.3,0
2.52238,-0.07754149,3.145689,-30.52617,356.7,11.3,0
2.562257,-0.04940456,3.108824,-30.32784,356.7,11.3,0
2.603307,-0.008608721,3.094369,-30.13325,356.6,10.6,0
2.643489,0.04145361,3.051643,-29.94239,356.6,8.4,0
2.683599,0.09137853,3.011669,-29.75141,356.9,4.9,0
2.723488,0.1320444,3.012055,-29.55642,357.9,1.5,0
2.763047,0.1585725,3.052361,-29.35788,358.8,358.6,0
2.803686,0.1675827,3.094829,-29.15778,359.6,355,1.667567E-09
2.843568,0.1539406,3.109128,-28.95813,-2.850811E-06,350.8,0
2.883031,0.1330788,3.146398,-28.75799,-2.850811E-06,346.7,2.544444E-14
2.923178,0.1062077,3.190746,-28.55749,359.9,344.4,0
2.963485,0.07449283,3.203075,-28.35616,359.6,341.9,0
3.003557,0.03315268,3.173301,-28.15767,359.4,340.8,0
3.042405,-0.01802536,3.155665,-27.96562,359.4,340.7,-6.670473E-09
