Room,Object,Order
Bedroom,Mouse,1
Bedroom,Typewriter,2
Bedroom,Padella,3
Bedroom,Padella,4
Bedroom,Calculator,5
Bedroom,Headphones,6
Gym,Toaster,1
Gym,Mushroom,2
Gym,MechanicalGloves,3
Gym,HTCViveController,4
Gym,Squeezer,5
Gym,Squeezer,6
Library,Grape,1
Library,Muffin,2
Library,Cabbaage,3
Library,NikonCamera,4
Library,MokeExpress,5
Library,JBLSpeaker,6
StorageRoom,CleaningBucket,1
StorageRoom,Controller,2
StorageRoom,MilkCarton,3
StorageRoom,Openner,4
StorageRoom,BaseballBat,5
StorageRoom,Kettle,6
LivingRoom,Stapler,1
LivingRoom,Paprika,2
LivingRoom,SaltSub,3
LivingRoom,OfficeBin,4
LivingRoom,RugbyBall,5
Classroom,Spoons,1
Classroom,HandDrill,2
Classroom,Teacup,3
Classroom,EggBeater,4
Classroom,PiggyBank,5
