"Room","Object","Order"
"Bedroom","Calculator",1
"Bedroom","NikonCamera",2
"Bedroom","MokeExpress",3
"Bedroom","Apple",4
"Bedroom","Grape",5
"Bedroom","MilkCarton",6
"Classroom","Controller",1
"Classroom","RugbyBall",2
"Classroom","Padella",3
"Classroom","BaseballBat",4
"Classroom","Spoons",5
"Classroom","Stapler",6
"Gym","Typewriter",1
"Gym","Mushroom",2
"Gym","PencilSharpener",3
"Gym","Headphones",4
"Gym","JBLSpeaker",5
"Gym","HandDrill",6
"Library","Kettle",1
"Library","Mouse",2
"Library","Squeezer",3
"Library","Pineapple",4
"Library","Avocado",5
"Library","Teacup",6
"LivingRoom","MechanicalGloves",1
"LivingRoom","OfficeBin",2
"LivingRoom","EggBeater",3
"LivingRoom","Muffin",4
"LivingRoom","HTCViveController",5
"LivingRoom","PiggyBank",6
"StorageRoom","Cabbaage",1
"StorageRoom","Paprika",2
"StorageRoom","Toaster",3
"StorageRoom","Openner",4
"StorageRoom","CleaningBucket",5
"StorageRoom","SaltSub",6
