"Room" "Object" "Order"
"Bedroom" "BallonDog" 1
"Bedroom" "PaperCoffeeCup" 2
"Bedroom" "MosquitoRacket" 3
"Bedroom" "Hammer" 4
"Bedroom" "RockingHorse" 5
"Bedroom" "NailScissors" 6
"Classroom" "Router" 1
"Classroom" "DeskLight" 2
"Classroom" "OldRadio" 3
"Classroom" "ShowerHead" 4
"Classroom" "Chaynik" 5
"Classroom" "Glasses" 6
"Gym" "Bread" 1
"Gym" "Microphone" 2
"Gym" "Basket" 3
"Gym" "Laptop" 4
"Gym" "MobilePhone" 5
"Gym" "Clamps" 6
"Library" "CoffeeMachine" 1
"Library" "Jug" 2
"Library" "WineBottle" 3
"Library" "Matrioshka" 4
"Library" "Pumpkin" 5
"Library" "UGGboot" 6
"LivingRoom" "FireExtinguisher" 1
"LivingRoom" "StrawberryDonut" 2
"LivingRoom" "TennisBall" 3
"LivingRoom" "FirstAidKit" 4
"LivingRoom" "Official hat" 5
"LivingRoom" "Pinza" 6
"StorageRoom" "HTCVive" 1
"StorageRoom" "Canister" 2
"StorageRoom" "CinRoll" 3
"StorageRoom" "Toothpaste" 4
"StorageRoom" "Recorder" 5
"StorageRoom" "CokeCan" 6
