TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.0433464,0,4.476456,-39,0,359.9,0
0.07243986,0,4.42152,-39,0,359.8,0
0.1101071,0,4.335192,-39,0,359.8,0
0.1504906,0,4.217472,-39,0,359.6,0
0.1888789,0,4.14684,-39,0,359.2,0
0.2270742,0,3.982032,-39,359.4,358.7,4.169045E-10
0.2663071,0,3.785832,-39,359.4,358.7,4.169045E-10
0.302322,0,3.55824,-39,359.4,358.7,4.169045E-10
0.3381994,0,3.299256,-39,359.4,358.7,4.169045E-10
0.3764666,0,3.105,-39,359.4,358.7,4.169045E-10
0.4134417,0,3.085866,-39,359.4,358.7,4.169045E-10
0.4509119,0,3.065866,-39,359.4,358.7,4.169045E-10
0.4862299,0,3.055866,-39,359.4,358.7,4.169045E-10
0.5233009,0,3.035866,-39,359.4,358.7,4.169045E-10
0.5600476,0,3.015866,-39,359.4,358.7,4.169045E-10
0.5966034,0,3.005,-39,359.4,358.7,4.169045E-10
0.6333342,0,3.025,-39,359.4,358.7,4.169045E-10
0.6706663,0,3.045,-39,359.4,358.5,0
0.7091121,0,3.055,-39,359.4,358.5,0
0.744893,0,3.075,-39,359.4,358.5,0
0.7816982,0,3.095,-39,359.4,358.5,0
0.8194584,0,3.105,-39,359.7,358.5,0
0.8562364,0,3.105,-39,0.3,358.8,-2.084437E-10
0.8926218,0,3.105,-39,0.6,358.9,0
0.9295558,0,3.105,-39,0.7999998,358.9,0
0.966225,0,3.105,-39,0.9999998,358.9,0
1.003728,0,3.105,-39,1.1,359,8.339169E-10
1.04165,0,3.105,-39,1.1,359,8.339169E-10
1.078761,0,3.105,-39,1.1,359,8.339169E-10
1.115749,0,3.105,-39,1.1,359,8.339169E-10
1.151571,0,3.105,-39,1.4,359,0
1.188361,0,3.105,-39,1.6,358.9,0
1.224976,0,3.105,-39,1.6,358.9,0
1.260624,0,3.105,-39,1.6,358.9,0
1.298628,0,3.105,-39,1.7,358.8,-1.668261E-09
1.335832,0,3.105,-39,1.7,358.8,-1.668261E-09
1.371671,0,3.105,-39,1.9,358.8,0
1.408706,0,3.105,-39,2.4,358.8,1.668991E-09
1.445832,0,3.105,-39,2.8,358.8,0
1.481485,0,3.105,-39,3.1,358.8,0
1.518218,0,3.105,-39,3.299999,358.8,0
1.555422,0,3.105,-39,3.399999,358.9,0
1.592322,0,3.105,-39,3.399999,358.9,0
1.629496,0.001577529,3.12442,-38.79993,3.399999,358.9,0
1.666131,0.006752306,3.146397,-38.69981,3.399999,358.9,0
1.703696,0.02291011,3.190746,-38.49947,3.399999,358.9,0
1.739374,0.04271689,3.203075,-38.29905,3.399999,358.9,0
1.776077,0.06125854,3.169455,-38.09866,3.5,358.9,0
1.812895,0.07362032,3.123841,-37.89838,3.5,358.9,0
1.84917,0.07594813,3.108824,-37.79832,3.7,358.9,-3.34202E-09
1.886347,0.07024073,3.094369,-37.59839,3.9,358.9,-3.342794E-09
1.923987,0.05236554,3.051643,-37.3987,4,358.9,-3.343197E-09
1.961174,0.02715578,3.011669,-37.19915,4.3,358.9,0
1.998659,-0.0004771277,3.012055,-36.99951,4.6,358.7,-3.34583E-09
2.036749,-0.02631197,3.05236,-36.79995,5,358.4,6.695585E-09
2.072993,-0.04578247,3.094829,-36.60041,5.300001,358.1,0
2.109953,-0.05622473,3.109127,-36.40065,5.400001,358,6.699839E-09
2.146332,-0.06405196,3.12442,-36.30087,5.600001,357.9,0
2.184805,-0.08769978,3.170144,-36.10168,5.900001,357.7,-1.341125E-08
2.220696,-0.1181483,3.203287,-35.90274,6.000001,357.7,0
2.257858,-0.149788,3.190222,-35.70385,6.000001,357.7,0
2.296028,-0.1777074,3.14569,-35.50481,6.000001,357.7,0
2.333087,-0.1969954,3.108824,-35.30542,6.000001,357.7,0
2.36979,-0.2031549,3.094369,-35.10551,6.000001,357.7,0
2.40624,-0.2013779,3.07512,-35.00536,6.000001,357.7,0
2.442955,-0.1910984,3.028855,-34.80478,6.000001,357.7,0
2.479821,-0.1759443,3.005002,-34.60401,6.000001,357.7,0
2.517164,-0.1608288,3.02948,-34.40319,6.100002,357.8,0
2.553867,-0.1503101,3.075782,-34.20263,6.100001,357.9,-6.708088E-09
2.591402,-0.1493015,3.104586,-34.00246,6.000001,358.2,6.706848E-09
2.627865,-0.1512604,3.109128,-33.90248,5.900002,358.6,6.705627E-09
2.665133,-0.1447115,3.146398,-33.70239,5.600001,359.2,-3.351046E-09
2.702177,-0.1275025,3.190746,-33.50235,5.400001,359.6,-1.67496E-09
2.739038,-0.1052473,3.203075,-33.30249,5.200002,359.9,-4.186044E-10
2.77677,-0.08321232,3.169455,-33.103,4.800001,0.2999997,8.366978E-10
2.814047,-0.06596347,3.123841,-32.90342,4.400002,0.4999997,1.672456E-09
2.851275,-0.05910992,3.104476,-32.70382,4.200002,0.6999997,0
2.887983,-0.06062015,3.094369,-32.60379,4.100002,0.6999997,0
2.924721,-0.07221589,3.051643,-32.40378,4.000001,0.7999996,0
2.962296,-0.0907956,3.011669,-32.2035,3.900001,0.7999997,1.671397E-09
2.999653,-0.111796,3.012055,-32.00319,3.900001,0.7999997,1.671397E-09
3.035821,-0.1303021,3.05236,-31.80291,3.900001,0.7999997,1.671397E-09
3.073035,-0.1413992,3.094829,-31.60273,3.700001,0.5999997,0
3.111171,-0.1431181,3.109128,-31.4027,3.600002,0.3999996,8.354117E-10
3.146535,-0.1467603,3.12442,-31.30269,3.500002,0.1999997,4.176607E-10
3.1839,-0.1623953,3.170144,-31.10271,3.400002,-3.306662E-07,0
3.220934,-0.1848356,3.203287,-30.90271,3.400002,-3.306662E-07,0
3.257814,-0.2084679,3.190222,-30.70271,3.400002,-3.306662E-07,0
3.294604,-0.2283769,3.145689,-30.50271,3.400002,-3.306662E-07,0
3.331728,-0.2396475,3.108824,-30.30271,3.400002,-3.306662E-07,0
3.368518,-0.2405112,3.104476,-30.20271,3.400002,-3.306662E-07,0
3.40606,-0.2319841,3.07512,-30.00271,3.400002,-3.306662E-07,0
