TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.09733517,0,4.42152,-39,359.9,0,0
0.1453852,0,4.280256,-39,359.9,0,0
0.2358446,0,3.982032,-39,359.9,0,0
0.2958034,0,3.67596,-39,359.8,0.09999999,-1.302763E-11
0.3880111,0,3.105,-39,359.8,0.09999999,-1.302763E-11
0.4443101,0,3.048896,-39,359.8,0.09999999,-1.302763E-11
0.535104,0,3.008896,-39,359.8,0.09999999,-1.302763E-11
0.5936353,0,3.025,-39,359.8,0.09999999,-1.302763E-11
0.6850101,0,3.075,-39,359.8,0.09999999,-1.302763E-11
0.7467107,0,3.105,-39,359.8,0.09999999,-1.302763E-11
0.8347926,0,3.105,-39,359.8,0.09999999,-1.302763E-11
0.8960286,0,3.105,-39,359.7,0.2,0
0.9843225,0,3.105,-39,359.7,0.2,0
1.04398,0,3.105,-39,359.7,0.2,0
1.134289,0,3.105,-39,359.7,0.2,0
1.193079,0,3.105,-39,359.7,1.41927E-09,0
1.283884,0,3.105,-39,1.1,359,8.339169E-10
1.342493,0,3.105,-39,1.8,358.5,0
1.433805,0,3.105,-39,2,358.4,-1.668543E-09
1.493886,0,3.105,-39,2,358.4,-1.668543E-09
1.583763,0,3.105,-39,2,358.4,-1.668543E-09
1.64317,0,3.105,-39,2,358.4,-1.668543E-09
1.733893,0,3.105,-39,2,358.4,-1.668543E-09
1.788986,0,3.105,-39,2,358.4,-1.668543E-09
1.883671,0,3.105,-39,2,358.4,-1.668543E-09
1.939951,0,3.105,-39,2,358.4,-1.668543E-09
2.032086,0,3.105,-39,2,358.4,-1.668543E-09
2.088207,0,3.105,-39,2,358.4,-1.668543E-09
2.181234,0,3.105,-39,2,358.4,-1.668543E-09
2.237406,0,3.105,-39,2,358.4,-1.668543E-09
2.331853,0,3.105,-39,2,358.4,-1.668543E-09
2.386533,0,3.105,-39,2,358.4,-1.668543E-09
2.472272,0,3.105,-39,2,358.4,-1.668543E-09
2.547026,0,3.105,-39,2,358.4,-1.668543E-09
2.612195,0,3.105,-39,2,358.4,-1.668543E-09
2.700535,0,3.105,-39,2,358.4,-1.668543E-09
2.756994,0,3.105,-39,2,358.4,-1.668543E-09
2.847633,0,3.105,-39,2,358.4,-1.668543E-09
2.906301,0,3.105,-39,2,358.4,-1.668543E-09
2.997505,0,3.105,-39,2,358.4,-1.668543E-09
3.060501,0,3.105,-39,2,358.4,-1.668543E-09
3.145779,0,3.105,-39,2,358.4,-1.668543E-09
3.206401,0,3.105,-39,2,358.4,-1.668543E-09
3.29504,0,3.105,-39,2,358.4,-1.668543E-09
3.35466,0,3.105,-39,2,358.4,-1.668543E-09
3.44547,0,3.105,-39,2,358.4,-1.668543E-09
3.508004,0.004132439,3.146397,-38.69976,2,358.4,-1.668543E-09
3.593956,0.03659848,3.203075,-38.29871,2,358.4,-1.668543E-09
3.650688,0.0597768,3.145689,-37.99794,2,358.4,-1.668543E-09
3.743436,0.049422,3.075119,-37.49803,2,358.4,-1.668543E-09
3.801823,0.01143962,3.011669,-37.19898,2,358.4,-1.668543E-09
3.891958,-0.04480725,3.05236,-36.80039,2,358.4,-1.668543E-09
3.948697,-0.0696994,3.104586,-36.50097,2,358.4,-1.668543E-09
4.040491,-0.116267,3.190746,-36.00208,2,358.4,-1.668543E-09
4.096043,-0.1454929,3.203075,-35.80281,2,358.4,-1.668543E-09
4.18936,-0.2022747,3.108824,-35.30421,2,358.4,-1.668543E-09
4.245568,-0.2029911,3.07512,-35.00411,2,358.4,-1.668543E-09
4.329472,-0.1726563,3.005002,-34.60311,2,358.4,-1.668543E-09
4.408335,-0.1424686,3.075781,-34.20211,2,358.4,-1.668543E-09
4.47426,-0.1413231,3.109127,-33.90196,2,358.4,-1.668543E-09
4.557806,-0.1210668,3.190746,-33.50124,2,358.4,-1.668543E-09
4.622193,-0.08621782,3.169456,-33.10011,2,358.4,-1.668543E-09
4.706583,-0.07636089,3.104476,-32.69445,2.1,355.4,0
4.770033,-0.1172945,3.051644,-32.39503,2.1,354.2,-1.334918E-08
4.855569,-0.2026757,3.012055,-32.00144,2.1,353.9,0
4.916728,-0.263881,3.075781,-31.70615,1.9,353.1,1.334755E-08
5.005664,-0.3447125,3.146397,-31.21264,1.7,351.5,0
5.068198,-0.4203381,3.203287,-30.92092,1.6,351.1,1.334542E-08
5.1546,-0.5251915,3.14569,-30.53278,1.6,350.9,-1.334542E-08
5.214422,-0.5846207,3.104476,-30.23847,1.6,350.9,-1.334542E-08
5.30354,-0.626018,3.011669,-29.73884,1.6,350.8,0
5.360997,-0.6393692,3.029479,-29.43709,1.6,350.8,0
5.4538,-0.6771098,3.104586,-29.03799,1.6,350.8,0
5.512873,-0.7126179,3.146397,-28.73983,1.6,350.8,0
5.600108,-0.7379603,3.190222,-28.23742,1.6,350.8,0
5.656229,-0.7504418,3.168296,-28.03793,1.6,350.8,0
5.750669,-0.8276947,3.171885,-27.5486,1.6,350.8,0
5.798026,-0.8781258,3.154202,-27.35635,1.6,350.8,0
5.882862,-1.013454,3.251859,-26.87739,1.6,350.8,0
5.932103,-1.059466,3.323563,-26.68442,1.6,350.8,0
5.997509,-1.116001,3.397096,-26.393,1.6,350.2,1.334542E-08
6.076329,-1.222795,3.536763,-26.01189,1.3,348,0
6.126284,-1.319404,3.551566,-25.73079,1.1,347.3,1.334267E-08
6.204975,-1.429024,3.551583,-25.35198,1,346.7,0
6.255261,-1.466978,3.554122,-25.15963,0.9000002,345.8,0
6.328693,-1.525127,3.541617,-24.7688,0.4000001,342.7,0
6.379759,-1.583454,3.63155,-24.47631,0.1000001,341.4,0
6.443769,-1.664484,3.725583,-24.19019,0.1,341.1,1.667529E-09
6.507696,-1.750835,3.809648,-23.90618,0.1,340.8,0
6.586912,-1.842721,3.9222,-23.51797,359.9,340,1.667529E-09
6.636561,-1.890178,3.91638,-23.32458,359.9,339.9,0
6.714286,-2.009006,3.907109,-22.94628,359.9,339.9,0
6.766332,-2.128883,3.895975,-22.67381,359.9,339.9,0
6.825178,-2.264391,3.891184,-22.40657,359.9,339.9,0
6.90246,-2.44207,4.017709,-22.04981,359.9,339.9,0
6.95236,-2.519289,4.074261,-21.86717,359.9,339.9,0
7.01545,-2.635283,4.157897,-21.59328,359.9,339.9,0
7.079856,-2.582502,4.23775,-21.45494,0.3000001,345.2,-3.335099E-09
7.12326,-2.53322,4.239701,-21.38107,1.4,350.8,-6.672097E-09
7.166509,-2.472142,4.221369,-21.29078,2.5,356.9,0
7.21025,-2.395868,4.199716,-21.18693,3.100001,1.4,3.33994E-09
7.28755,-2.198121,4.197484,-20.96887,3.8,9.100002,2.673922E-08
7.336945,-2.077132,4.178705,-20.84713,3.5,12.2,0
7.411627,-1.8033,4.175839,-20.61491,3,16.1,-2.671704E-08
7.463972,-1.594333,4.262578,-20.43499,2.500001,19.4,2.670584E-08
7.527805,-1.395723,4.336137,-20.24644,1.800001,22.5,0
7.607697,-1.117889,4.443788,-19.994,0.8000004,25.6,0
7.655751,-0.96856,4.494554,-19.86816,0.6000006,25.9,0
