"Item" "Order" "SubjectNo" "Room"
"MosquitoRacket" 1 "P70" "Bedroom"
"Jug" 2 "P70" "Bedroom"
"ShowerHead" 3 "P70" "Bedroom"
"Bread" 4 "P70" "Bedroom"
"WineBottle" 5 "P70" "Bedroom"
"DeskLight" 6 "P70" "Bedroom"
"OldRadio" 1 "P70" "Classroom"
"TennisBall" 2 "P70" "Classroom"
"Canister" 3 "P70" "Classroom"
"Matrioshka" 4 "P70" "Classroom"
"CokeCan" 5 "P70" "Classroom"
"UGGboot" 6 "P70" "Classroom"
"StrawberryDonut" 1 "P70" "Gym"
"CinRoll" 2 "P70" "Gym"
"MobilePhone" 3 "P70" "Gym"
"CoffeeMachine" 4 "P70" "Gym"
"FireExtinguisher" 5 "P70" "Gym"
"FirstAidKit" 6 "P70" "Gym"
"PaperCoffeeCup" 1 "P70" "Library"
"Pinza" 2 "P70" "Library"
"Hammer" 3 "P70" "Library"
"Router" 4 "P70" "Library"
"Chaynik" 5 "P70" "Library"
"NailScissors" 6 "P70" "Library"
"BallonDog" 1 "P70" "LivingRoom"
"Laptop" 2 "P70" "LivingRoom"
"Basket" 3 "P70" "LivingRoom"
"HTCVive" 4 "P70" "LivingRoom"
"Official hat" 5 "P70" "LivingRoom"
"Toothpaste" 6 "P70" "LivingRoom"
"Microphone" 1 "P70" "StorageRoom"
"Clamps" 2 "P70" "StorageRoom"
"Pumpkin" 3 "P70" "StorageRoom"
"Recorder" 4 "P70" "StorageRoom"
"Glasses" 5 "P70" "StorageRoom"
"RockingHorse" 6 "P70" "StorageRoom"
