TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.06076798,0,4.452912,-39,0,0,0
0.09995843,0,4.38228,-39,0,0,0
0.1506107,0,4.217472,-39,0,0,0
0.2012921,0,4.06836,-39,0,0,0
0.2509073,0,3.785832,-39,0,0,0
0.3015344,0,3.55824,-39,0,0,0
0.3508139,0,3.157992,-39,0,0,0
0.4004906,0,3.105,-39,0,0,0
0.4506076,0,3.070162,-39,0,0,0
0.500349,0,3.050162,-39,0.1,359.7,0
0.5519239,0,3.020162,-39,0.2,359.5,5.211052E-11
0.6006246,0,3.005,-39,0.2,359.5,5.211052E-11
0.6534551,0,3.035,-39,0.2,359.5,5.211052E-11
0.7003111,0,3.055,-39,0.3,359.3,2.084437E-10
0.7630665,0,3.085,-39,0.4,359.1,0
0.8047037,0,3.105,-39,0.5000001,359,-4.168975E-10
0.8582659,0,3.105,-39,0.5,358.9,-4.168975E-10
0.9088576,0,3.105,-39,0.5,358.9,-4.168975E-10
0.9593359,0,3.105,-39,0.6000001,358.7,-4.169045E-10
1.012213,0.005703883,3.146397,-38.69977,0.6,358.6,0
1.06284,0.02080967,3.190746,-38.49923,0.7000001,358.4,0
1.11299,0.0477244,3.190222,-38.19824,0.7000001,358.3,0
1.163677,0.06166562,3.145689,-37.99697,0.7,357.8,8.338255E-10
1.214099,0.06222916,3.104476,-37.69568,0.7,357.2,0
1.26469,0.04383991,3.07512,-37.49459,0.7,356.1,-1.667651E-09
1.316019,-0.006214984,3.011669,-37.19601,0.5000001,354.9,0
1.36654,-0.06785925,3.02948,-36.8998,0.4000001,353.8,-1.667567E-09
1.416932,-0.1075878,3.075782,-36.70274,0.2,352.4,-8.337684E-10
1.467899,-0.1567042,3.109128,-36.40665,359.9,351.5,-8.337645E-10
1.51796,-0.1975532,3.146398,-36.21069,359.7,350.8,1.66755E-09
1.568577,-0.2766711,3.203287,-35.9203,359.7,349.9,1.667549E-09
1.619662,-0.3347698,3.190222,-35.72882,359.7,348.8,0
1.669988,-0.419158,3.123841,-35.44122,359.7,347.9,0
1.720663,-0.4659318,3.104476,-35.24742,359.7,347.5,0
1.769877,-0.5144594,3.051643,-34.95104,359.7,347.4,0
1.820819,-0.5372286,3.011669,-34.75119,359.7,347.4,0
1.871126,-0.5684517,3.02948,-34.45077,359.7,347.4,0
1.92256,-0.5943086,3.075782,-34.25161,359.7,347.4,0
1.971961,-0.6504555,3.109128,-33.95676,359.7,347.4,0
2.02173,-0.6829234,3.146397,-33.75908,359.7,347.4,0
2.071813,-0.7174518,3.203287,-33.4594,359.7,347.4,0
2.121325,-0.7380173,3.190222,-33.25906,359.7,347.4,0
2.171731,-0.7771059,3.123841,-32.96073,359.7,347.6,3.335099E-09
2.221044,-0.8144667,3.104476,-32.7672,359.7,349.3,1.66755E-09
2.26985,-0.8862236,3.051643,-32.47796,359.7,351,1.66755E-09
2.320697,-0.9384326,3.011669,-32.28505,359.6,352.2,-1.667567E-09
2.370584,-1.013807,3.02948,-31.99323,359.6,353.6,0
2.419931,-1.05417,3.075782,-31.7968,359.6,355.6,0
2.470107,-1.086686,3.109128,-31.49836,359.6,358.4,0
2.52073,-1.103703,3.146397,-31.2981,359.6,1.399999,0
2.571817,-1.128019,3.203287,-30.99672,359.7,2.299999,-4.168874E-10
2.62065,-1.143601,3.190222,-30.79582,359.7,2.399999,0
2.670894,-1.157946,3.123841,-30.49495,359.7,2.399999,0
2.721724,-1.154678,3.104476,-30.29491,359.7,2.399999,0
2.773194,-1.12536,3.051643,-29.99588,359.7,2.399999,0
2.822837,-1.09563,3.011669,-29.79695,359.7,2.399999,0
2.872618,-1.048031,3.02948,-29.49863,359.8,2.499999,0
2.924199,-1.021115,3.075782,-29.29962,359.8,2.499999,0
2.973828,-0.9985121,3.109128,-29.00032,359.9,2.399999,0
3.023927,-0.9787083,3.146397,-28.80091,0.1000001,2.099999,0
3.074502,-0.9360537,3.203287,-28.50212,0.2000001,1.899999,-2.084421E-10
3.124097,-0.9057864,3.190222,-28.30242,0.4000001,1.399999,-4.168918E-10
3.173147,-0.8710513,3.154641,-28.00373,0.5000002,0.3999992,0
3.225121,-0.8655186,3.169589,-27.70402,0.6000001,358.6,-8.338091E-10
3.274634,-0.8837981,3.156624,-27.50446,0.6000002,357.1,0
3.324461,-0.9149834,3.146378,-27.30715,0.6000001,356.3,0
3.373666,-0.9695828,3.208558,-27.0134,0.6000002,355.8,-1.667618E-09
3.42453,-1.00255,3.28442,-26.81744,0.6000002,355.5,-3.335236E-09
3.473929,-1.035851,3.362146,-26.52245,0.6000002,355.3,-1.667618E-09
3.523441,-1.063801,3.428965,-26.32639,0.6000003,354.8,-1.667618E-09
3.572688,-1.122789,3.53214,-26.03427,0.6000002,354.2,-3.335236E-09
3.623209,-1.166776,3.552186,-25.84084,0.6000003,353.9,-3.335236E-09
3.671878,-1.26317,3.567062,-25.25639,0.6000002,353.7,-3.335236E-09
3.721706,-1.292838,3.578253,-24.86221,0.6000002,353.7,-3.335236E-09
3.770581,-1.302581,3.637623,-24.26624,0.6000002,353.7,-3.335236E-09
3.820693,-1.320963,3.768152,-23.87023,0.6000002,353.7,-3.335236E-09
3.870213,-1.360205,3.936682,-23.27752,0.6000002,353.7,-3.335236E-09
3.918934,-1.365185,4.010252,-22.88004,0.6000002,353.7,-3.335236E-09
3.967228,-1.39774,4.009936,-22.28633,0.6000002,353.7,-3.335236E-09
4.017354,-1.461709,4.008627,-21.89536,0.6000002,353.7,-3.335236E-09
4.066435,-1.627684,4.086797,-21.33925,0.5000002,354.7,-1.66759E-09
4.114635,-1.747097,4.210967,-20.97622,0.2000002,356.3,-8.337684E-10
4.164186,-1.747841,4.316444,-20.62278,1.703027E-07,357.8,1.987847E-16
4.213324,-1.51177,4.416221,-20.3378,359.8,359.7,5.211052E-11
4.262051,-1.345058,4.390308,-20.13599,359.4,2.399999,0
4.310738,-1.044393,4.38106,-19.82098,359.1,4.6,-3.335464E-09
4.359563,-0.8068435,4.34969,-19.60419,358.6,6.8,0
4.40874,-0.4274441,4.421049,-19.27734,357.8,9.599999,-1.335005E-08
4.457828,-0.1828999,4.513349,-19.05031,356.6,12.4,2.672747E-08
4.507632,0.1929169,4.640285,-18.70053,355.6,14.6,-5.351858E-08
4.555576,0.4672382,4.699967,-18.46712,355.1,15.6,0
4.604431,0.7401558,4.671407,-18.23106,355,16,0
4.653955,1.105724,4.662747,-17.86271,355,16.1,-5.356468E-08
4.701937,1.319988,4.637074,-17.60841,354.9,16.2,-5.357294E-08
4.750922,1.64073,4.761931,-17.22596,354.7,15.4,-5.358996E-08
4.798523,1.875752,4.832556,-16.98049,354.2,13.6,0
4.847395,2.195297,4.976967,-16.6147,354.1,11.7,1.0729E-07
4.894536,2.394725,4.97991,-16.37745,354,9.299999,5.365478E-08
4.942279,2.601244,4.956142,-16.15129,354,7.299999,5.365478E-08
4.990662,2.942716,4.948803,-15.7961,354,3.799999,1.341369E-08
5.038527,3.098226,4.956748,-15.41417,354,0.9999986,0
5.086153,3.149448,5.167326,-14.82364,354,358.8,6.706848E-09
5.134615,3.156712,5.27691,-14.42695,354,355.6,2.682739E-08
5.182084,3.16283,5.385642,-14.02841,354.1,352.9,-2.682251E-08
5.230561,3.132012,5.379882,-13.42865,355.1,349.7,-2.677829E-08
5.276362,3.050241,5.397188,-13.03878,355.6,348.1,0
5.323568,2.869024,5.374965,-12.76859,356.3,345.7,0
5.370749,2.468221,5.470929,-12.57534,357.3,342.1,2.671008E-08
5.417938,2.205399,5.527081,-12.43225,358.7,336.9,-2.668729E-08
5.466209,1.765996,5.648571,-12.2109,359.5,331.5,0
5.512714,1.445715,5.671626,-12.0614,359.9,327.5,1.667529E-09
5.5593,1.120465,5.629281,-11.90258,-6.04567E-07,325.4,1.272222E-14
5.607274,0.6646311,5.601051,-11.63189,-6.045671E-07,324.3,1.272222E-14
5.654486,0.3793375,5.581075,-11.43269,-6.045671E-07,323.8,0
5.698557,0.09107193,5.664798,-11.23238,-6.045671E-07,323.7,1.272222E-14
5.745932,-0.3670602,5.773046,-10.94776,-6.045671E-07,323.7,1.272222E-14
5.792026,-0.6576128,5.869295,-10.74538,-6.045671E-07,323.7,1.272222E-14
5.838394,-0.9429702,5.874976,-10.53891,359.9,323.6,0
5.881583,-1.23862,5.838051,-10.34284,359.4,325.1,-1.334094E-08
5.925388,-1.682377,5.820377,-10.01647,358.8,328.8,-2.668628E-08
5.969563,-1.923612,5.85779,-9.704448,357.9,335.3,-2.669836E-08
6.013051,-2.120901,5.987955,-9.360702,357.2,340.2,-5.342463E-08
6.05628,-2.267339,6.079997,-8.992014,356.5,344.7,0
6.100761,-2.404705,6.209948,-8.617766,356.2,346.8,-2.673921E-08
6.145217,-2.596924,6.234927,-8.050084,356.1,348.6,2.674236E-08
6.193057,-2.683715,6.254476,-7.66022,356.1,350.7,2.674235E-08
6.238378,-2.722388,6.239243,-7.261256,355.6,354.2,0
6.283366,-2.724498,6.298835,-6.860571,355.1,358.1,-6.694572E-09
6.331463,-2.713861,6.471938,-6.266572,354.4,3.200003,0
6.378621,-2.668518,6.598171,-5.874832,354.3,7.900004,0
6.42452,-2.549451,6.675208,-5.535487,354,11.2,5.365478E-08
6.471296,-2.177505,6.622817,-5.348417,353.9,14.1,-5.36647E-08
6.518177,-1.943972,6.620094,-5.208871,353.9,15.50001,-1.073294E-07
6.563211,-1.72416,6.581484,-5.061861,353.9,17.90001,0
6.610642,-1.389074,6.642228,-4.82115,353.9,21,0
6.656431,-1.139294,6.726058,-4.658947,353.9,24.2,-1.073294E-07
6.703034,-0.8702727,6.784722,-4.489916,353.9,25.2,0
