TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.0168047,6.342321,12.00121,42.23563,13.80001,46.30001,0
0.03279965,6.421723,11.98857,42.2942,13.80001,45.4,-4.395755E-07
0.04962181,6.500313,11.9744,42.35526,13.80001,44.4,-4.395755E-07
0.06650707,6.576571,11.97032,42.41808,13.80001,43.1,-4.395755E-07
0.08315116,6.61671,11.97971,42.49517,13.80001,41.6,0
0.1000313,6.616098,11.97971,42.49446,13.80001,40.1,4.395755E-07
0.1165302,6.688235,11.99764,42.56359,13.80001,38.6,-4.395755E-07
0.1333662,6.75805,12.02091,42.63533,13.80001,37.19999,-4.395755E-07
0.1507908,6.824656,12.04399,42.71009,13.80001,35.8,0
0.1670915,6.887419,12.06198,42.78806,13.80001,34.5,-4.395755E-07
0.1840564,6.945809,12.06994,42.86927,13.80001,32.6,0
0.200799,6.945809,12.06994,42.86927,13.80001,31.1,-2.197877E-07
0.2341369,7.054666,12.09237,43.03749,13.80001,28.3,-2.197877E-07
0.250937,7.108746,12.11491,43.12222,13.80001,27.3,0
0.2843299,7.21909,12.15822,43.29148,13.80001,25.6,0
0.3011146,7.219268,12.15822,43.29185,13.80001,24.9,0
0.3175637,7.272205,12.16864,43.37797,13.80001,24.4,-2.197878E-07
0.3340846,7.324579,12.16679,43.46446,13.80001,24,0
0.3514106,7.37604,12.15253,43.55167,13.80001,23.5,-2.197878E-07
0.3850909,7.474534,12.10724,43.72998,13.80001,21.6,0
0.4008693,7.475038,12.10724,43.73129,13.80001,20.7,0
0.4178566,7.475522,12.07,43.7326,13.80001,19.8,0
0.4342678,7.476134,12.07,43.73436,13.80001,18.6,0
0.468594,7.477503,12.07,43.7388,14.10001,15.6,0
0.4846696,7.478061,12.07,43.7409,14.30001,14.2,1.101341E-07
0.5014856,7.478671,12.07,43.74347,14.40001,12.5,0
0.5183817,7.485707,12.08609,43.74464,14.40001,10.9,0
0.5524914,7.486678,12.07,43.75074,14.40001,7.199996,0
0.5681908,7.486959,12.07,43.75322,14.40001,5.699996,5.509166E-08
0.5850981,7.487198,12.07,43.75605,14.40001,3.999996,0
0.6191853,7.487431,12.07,43.76238,14.40001,0.1999955,1.721614E-09
0.6352264,7.48741,12.07,43.76472,14.40001,358.8,0
0.6686023,7.487253,12.07,43.76855,14.30001,356.5,0
0.6851448,7.487162,12.07,43.76988,14.10001,355.7,-5.501844E-08
0.7189082,7.487053,12.07,43.77121,13.90001,354.9,0
0.7355677,7.487007,12.07,43.77171,13.80001,354.6,0
0.7693536,7.486759,12.07,43.77403,13.50001,353.2,0
0.7856339,7.486635,12.07,43.77502,13.40001,352.6,5.485421E-08
0.8197863,7.486547,12.07,43.77568,13.40001,352.2,0
0.8364308,7.486547,12.07,43.77568,13.40001,352.2,0
0.8695682,7.486547,12.07,43.77568,13.40001,352.2,0
