TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.07273889,0,4.452912,-39,359.4,0,0
0.1613642,0,4.217472,-39,359.4,0,0
0.2402538,0,3.887856,-39,359.4,0,0
0.3104808,0,3.55824,-39,359.5,0.1,-2.60561E-11
0.4004059,0,3.105,-39,359.5,0.1,-2.60561E-11
0.4860687,0,3.040037,-39,359.5,0.1,-2.60561E-11
0.5699904,0,3.005,-39,359.3,0.3,2.084564E-10
0.634043,0,3.035,-39,358.7,1.3,-1.667956E-09
0.7280011,0,3.085,-39,358.1,3,0
0.8109719,0,3.105,-39,358,3.2,-3.337086E-09
0.8725799,0,3.105,-39,358,3.2,-3.337086E-09
0.9656969,0,3.105,-39,358,3.2,-3.337086E-09
1.050479,0.04404574,3.170145,-38.60184,358,3.2,-3.337086E-09
1.115699,0.09514742,3.203075,-38.30433,357.8,3.3,0
1.208819,0.1666962,3.108824,-37.80762,357.8,3.3,0
1.291037,0.1738417,3.051643,-37.40737,357.8,3.3,0
1.351716,0.1578897,3.005002,-37.10595,357.8,3.3,0
1.453518,0.139665,3.094829,-36.60406,357.8,3.3,0
1.531901,0.1474664,3.146397,-36.20385,357.8,3.3,0
1.595965,0.1331107,3.203287,-35.90253,357.8,3.3,0
1.688988,0.111332,3.123841,-35.4021,357.4,2.3,0
1.773522,0.1307241,3.075119,-35.00654,357,359.8,0
1.83883,0.159321,3.011669,-34.70805,356.5,358.3,0
1.931723,0.1977416,3.075782,-34.20677,356.3,357.8,6.684039E-09
2.013069,0.1962417,3.12442,-33.80652,356.2,357.7,0
2.078528,0.2113034,3.190454,-33.50687,355.8,359.8,8.360084E-10
2.170369,0.2647738,3.145689,-33.0076,356.7,0.4,0
2.262725,0.2718715,3.075119,-32.50763,356.7,0.4,0
2.344486,0.2331453,3.005002,-32.10735,356.7,0.4,0
2.430018,0.1945663,3.075782,-31.70708,356.7,0.4,0
2.499553,0.1871354,3.109128,-31.40701,356.7,0.4,0
2.600559,0.1362374,3.203075,-30.80664,356.7,0.4,0
2.684563,0.1004416,3.123841,-30.40639,356.7,0.4,0
2.773828,0.1066492,3.075119,-30.00642,356.7,0.4,0
2.857312,0.1509606,3.005002,-29.60672,356.7,0.4,0
2.943696,0.2015345,3.094829,-29.10707,356.7,0.2,0
3.031842,0.2181805,3.146398,-28.70708,356.5,-1.334019E-08,0
3.119819,0.2734902,3.19053,-28.2072,356.6,0.09999999,0
3.186653,0.3009335,3.168653,-27.90858,355.6,358.9,0
3.291811,0.2793412,3.170617,-27.40965,353.2,355.6,0
3.370915,0.2030605,3.190114,-27.01745,352.3,352.9,-5.384637E-08
3.460937,0.1027608,3.356297,-26.53113,351.4,346,0
3.546559,-0.01458161,3.479341,-26.15527,350.6,339.3,0
3.63339,-0.194147,3.561423,-25.81572,350.6,327.2,2.163485E-07
3.720727,-0.4832466,3.545317,-25.4349,350.6,316.6,0
3.7857,-0.675222,3.52845,-25.21336,350.6,313.2,-2.163485E-07
3.885702,-1.00256,3.556732,-24.83613,350.6,312,-2.163485E-07
3.966302,-1.283521,3.671312,-24.55333,350.5,311.3,0
4.014392,-1.430856,3.710594,-24.41947,350.5,311.3,0
4.081722,-1.707167,3.828387,-24.13095,350.5,311.4,-2.164113E-07
4.12534,-1.839603,3.834836,-23.98575,350.5,314.5,2.164114E-07
4.149497,-1.902065,3.824412,-23.91093,350.7,316.3,2.162864E-07
4.178032,-1.963659,3.811314,-23.83481,350.9,317.5,-2.161641E-07
4.205162,-2.090124,3.796204,-23.6834,351.3,318.5,2.159279E-07
4.261509,-2.294118,3.795676,-23.46942,351.8,320.2,0
4.317896,-2.434837,3.7721,-23.33268,352.2,323,0
4.396801,-2.71207,3.819897,-23.04943,354.4,331.9,-1.072335E-07
4.449649,-2.875534,3.924411,-22.80003,356,340.9,0
4.531592,-3.022211,4.031958,-22.42912,357.7,353,0
