"Item" "Order" "SubjectNo" "Room"
"Basket" 1 "P77" "Bedroom"
"StrawberryDonut" 2 "P77" "Bedroom"
"Toothpaste" 3 "P77" "Bedroom"
"Laptop" 4 "P77" "Bedroom"
"Chaynik" 5 "P77" "Bedroom"
"BallonDog" 6 "P77" "Bedroom"
"FireExtinguisher" 1 "P77" "Classroom"
"CoffeeMachine" 2 "P77" "Classroom"
"MosquitoRacket" 3 "P77" "Classroom"
"Pinza" 4 "P77" "Classroom"
"Matrioshka" 5 "P77" "Classroom"
"WineBottle" 6 "P77" "Classroom"
"UGGboot" 1 "P77" "Gym"
"PaperCoffeeCup" 2 "P77" "Gym"
"NailScissors" 3 "P77" "Gym"
"Router" 4 "P77" "Gym"
"Jug" 5 "P77" "Gym"
"RockingHorse" 6 "P77" "Gym"
"Recorder" 1 "P77" "Library"
"FirstAidKit" 2 "P77" "Library"
"MobilePhone" 3 "P77" "Library"
"Pumpkin" 4 "P77" "Library"
"HTCVive" 5 "P77" "Library"
"Official hat" 6 "P77" "Library"
"Bread" 1 "P77" "LivingRoom"
"Microphone" 2 "P77" "LivingRoom"
"TennisBall" 3 "P77" "LivingRoom"
"Hammer" 4 "P77" "LivingRoom"
"OldRadio" 5 "P77" "LivingRoom"
"Clamps" 6 "P77" "LivingRoom"
"ShowerHead" 1 "P77" "StorageRoom"
"DeskLight" 2 "P77" "StorageRoom"
"CinRoll" 3 "P77" "StorageRoom"
"CokeCan" 4 "P77" "StorageRoom"
"Canister" 5 "P77" "StorageRoom"
"Glasses" 6 "P77" "StorageRoom"
