TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.06116354,0,4.452912,-39,0,0,0
0.1041356,0,4.38228,-39,0,0,0
0.1618435,0,4.217472,-39,0,0,0
0.220842,0,3.982032,-39,0,0,0
0.2788789,0,3.67596,-39,0,0,0
0.3385599,0,3.299256,-39,0,0,0
0.4090245,0,3.105,-39,0,0,0
0.454669,0,3.069768,-39,0,0,0
0.5314988,0,3.029768,-39,0,0,0
0.5715464,0,3.009768,-39,0,0,0
0.6450622,0,3.025,-39,0,0,0
0.694186,0,3.055,-39,0,0,0
0.763207,0,3.085,-39,0,0,0
0.8091671,0,3.105,-39,359.8,0.09999999,-1.302763E-11
0.8823689,0,3.105,-39,359.6,0.2,0
0.9246949,0,3.105,-39,359.6,0.2,0
0.9990302,0,3.105,-39,359.6,0.2,0
1.040536,0,3.105,-39,359.6,0.2,0
1.097573,0,3.105,-39,359.6,0.2,0
1.157699,0,3.105,-39,359.6,0.2,0
1.21719,0,3.105,-39,359.6,0.2,0
1.274911,0,3.105,-39,359.6,0.2,0
1.333633,0,3.105,-39,359.6,0.2,0
1.392797,0,3.105,-39,359.6,0.2,0
1.452112,0.01356091,3.146397,-38.70004,359.6,0.2,0
1.510792,0.04628529,3.203287,-38.40016,359.6,0.2,0
1.568652,0.08169176,3.169455,-38.10028,359.6,0.2,0
1.63615,0.1031915,3.108824,-37.80035,359.6,0.2,0
1.686933,0.1020214,3.094369,-37.60035,359.6,0.2,0
1.759801,0.06800538,3.011669,-37.20023,359.6,0.2,0
1.803481,0.04490848,3.012055,-37.00014,359.6,0.2,0
1.87694,0.01111321,3.094829,-36.60003,359.6,0.2,0
1.925813,0.007998007,3.109128,-36.40001,359.6,0.2,0
1.982431,-0.01162807,3.170145,-36.09994,359.6,0.2,0
2.054798,-0.05630407,3.190222,-35.69978,359.6,0.2,0
2.10178,-0.07551482,3.145689,-35.49972,359.6,0.2,0
2.171799,-0.08352086,3.094369,-35.09969,359.6,0.2,0
2.21301,-0.06878449,3.051643,-34.89973,359.6,0.2,0
2.288517,-0.02221914,3.012055,-34.49989,359.6,0.2,0
2.32946,-0.0002205707,3.05236,-34.29997,359.6,0.2,0
2.387079,0.0143686,3.094829,-34.10002,359.6,0.2,0
2.445892,0.02356939,3.12442,-33.80005,359.6,0.2,0
2.504545,0.05171351,3.190746,-33.50015,359.6,0.2,0
2.563451,0.08806916,3.190222,-33.20027,359.6,0.2,0
2.622271,0.1160474,3.123841,-32.90037,359.6,0.2,0
2.68141,0.1194745,3.094369,-32.60038,359.6,0.2,0
2.740283,0.09640618,3.028854,-32.3003,359.6,0.2,0
2.799562,0.06236152,3.012055,-32.00018,359.6,0.2,0
2.858538,0.03392939,3.075782,-31.70007,359.6,0.2,0
2.925891,0.02545121,3.109128,-31.40004,359.6,0.2,0
2.976581,0.0058251,3.170145,-31.09997,359.6,0.2,0
3.048911,-0.03885093,3.190222,-30.69981,359.6,0.2,0
3.092917,-0.05806171,3.145689,-30.49974,359.6,0.2,0
3.16636,-0.06914873,3.104476,-30.19971,359.6,0.2,0
3.216766,-0.05133115,3.051643,-29.89977,359.6,0.2,0
3.274714,-0.01700765,3.005002,-29.59988,359.6,0.2,0
3.344032,0.01723286,3.052361,-29.3,359.6,0.2,0
3.390467,0.03480181,3.104587,-29.00006,359.5,0.1,0
3.462142,0.04794419,3.146398,-28.70006,359.5,7.379743E-09,0
3.507703,0.07962002,3.203287,-28.39968,359.5,359.5,2.084488E-10
3.578737,0.1112905,3.185648,-28.09803,359.3,357.7,1.667651E-09
3.61849,0.1201442,3.169031,-27.89793,359.1,356.6,0
3.676301,0.1061528,3.184555,-27.59859,358.8,354.8,-3.335785E-09
3.734636,0.05460686,3.163453,-27.30231,358.3,352.4,-1.334609E-08
3.793461,-0.02059976,3.190683,-27.01157,357.8,349.8,2.670011E-08
3.851097,-0.1033672,3.298153,-26.7246,357.5,347.7,0
3.909524,-0.1772594,3.374988,-26.43697,357,344.2,2.671704E-08
3.977985,-0.2786527,3.478763,-26.16018,357,336.3,0
4.027522,-0.4310049,3.557078,-25.90577,356.6,333.7,0
4.084954,-0.5385046,3.553233,-25.7435,356.6,330.3,0
4.154517,-0.7500148,3.545845,-25.42369,356.6,322.7,0
4.199975,-0.8613685,3.542851,-25.26752,356.6,318.6,-1.069099E-07
4.269256,-1.095928,3.518003,-24.94486,356.6,317.8,0
4.309837,-1.213745,3.564367,-24.78373,356.6,317.2,1.069099E-07
4.362727,-1.337076,3.632328,-24.627,356.6,317.1,1.069099E-07
4.415823,-1.535535,3.698097,-24.4043,356.6,317,0
4.481491,-1.726225,3.791316,-24.17435,356.6,317,0
4.509099,-1.847195,3.846141,-24.01563,356.6,317,0
4.551077,-1.966496,3.854664,-23.85626,356.6,317.7,0
4.592754,-2.084483,3.831976,-23.70044,356.8,320.4,0
4.6332,-2.199906,3.817858,-23.54702,357.3,324.4,1.068403E-07
4.673759,-2.315578,3.827441,-23.39253,357.8,327.7,0
4.717187,-2.433219,3.809719,-23.23662,358.2,330.3,0
4.784432,-2.609811,3.801645,-23.00007,359.1,335.7,0
4.826542,-2.713052,3.853185,-22.83179,359.9,341.8,1.667529E-09
4.889246,-2.864473,3.984618,-22.46473,0.8000003,348.5,6.670757E-09
4.935569,-2.910259,4.032934,-22.27176,1.2,352.2,6.671569E-09
4.989786,-2.977364,4.14395,-21.97969,1.3,355.5,-6.671824E-09
5.046583,-2.982067,4.180562,-21.81738,1.4,357.4,0
5.116164,-2.829346,4.14339,-21.62276,1.6,1.599997,0
5.163524,-2.739134,4.129966,-21.51439,1.800001,3.599997,6.673399E-09
5.231343,-2.51779,4.116164,-21.29585,2,8.699997,1.334834E-08
5.277966,-2.390934,4.094713,-21.17884,2.200001,10.9,-1.335005E-08
