TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03397956,0.4353167,12.07615,42.17963,2.900002,355.4,0
0.04971411,0.4353167,12.07615,42.17963,2.900002,355.4,0
0.06663923,0.4203273,12.11535,42.27476,2.900002,355.4,0
0.08294546,0.4035076,12.14084,42.37334,2.900002,355.4,0
0.1173263,0.3654794,12.17678,42.57093,2.900002,355.4,0
0.1323547,0.3455327,12.1792,42.66964,2.900002,355.4,0
0.1497438,0.3455327,12.1792,42.66964,2.900002,355.4,0
0.1662712,0.3257868,12.16838,42.76838,2.900002,355.4,0
0.200183,0.2893475,12.12514,42.96609,2.900002,355.4,0
0.2165046,0.2738786,12.10256,43.06517,2.900002,355.4,0
0.2326898,0.2610604,12.08589,43.16446,2.900002,355.4,0
0.2661207,0.2514775,12.07995,43.26436,3.300002,355.6,0
0.282818,0.2458405,12.0721,43.36491,3.500002,356,0
0.3000182,0.2440882,12.05419,43.46552,3.600003,356.3,-1.336659E-08
0.3167318,0.2454323,12.03113,43.56611,3.700002,356.5,-1.336808E-08
0.3495018,0.2490464,12.00784,43.6673,4.000002,357.1,6.686394E-09
0.3655612,0.2550773,11.98923,43.76796,4.200002,357.3,-1.337613E-08
0.382919,0.2621771,11.98022,43.86868,4.300003,357.6,0
0.4166753,0.2771428,12.00066,44.06984,4.900002,358.3,1.338914E-08
0.4332756,0.2844793,12.02289,44.17016,5.000002,358.5,-6.695585E-09
0.4504553,0.2844785,12.02289,44.17019,5.100002,358.6,0
0.4669365,0.290604,12.04659,44.27041,5.300002,358.8,0
0.4994786,0.2958874,12.07869,44.47057,5.600002,359.1,0
0.5152984,0.2952724,12.08241,44.57056,5.800002,359.2,3.352214E-09
0.5331344,0.2976326,12.0959,44.6706,5.900003,359.3,3.352814E-09
0.5508277,0.2976327,12.0959,44.67059,6.100003,359.4,-3.354044E-09
0.5834197,0.3110663,12.14079,44.87074,6.300004,359.4,-3.355316E-09
0.5999255,0.3205436,12.16236,44.97084,6.500002,359.4,0
0.6167834,0.3310481,12.17678,45.07096,6.700003,359.4,-3.357986E-09
0.6501071,0.3419656,12.1792,45.17108,7.100003,359.4,0
0.66595,0.3526785,12.16838,45.27142,7.500002,359.2,-3.363831E-09
0.682852,0.3622198,12.14872,45.3721,7.800003,358.8,0
0.6993235,0.3621945,12.08,45.37304,8.200004,358.1,0
0.7334493,0.3621171,12.08,45.37478,8.800003,356.8,2.699824E-08
0.7497083,0.3620768,12.08,45.37545,9.000004,356.3,2.7013E-08
0.7664019,0.3620209,12.08,45.37624,9.300004,355.7,-2.703579E-08
0.8005354,0.3618167,12.08,45.37851,10,354,-5.418403E-08
0.8164255,0.3711482,12.12514,45.3807,10.4,353.2,0
0.833091,0.3709974,12.08,45.38189,10.60001,352.4,-5.428725E-08
0.8495645,0.3708079,12.08,45.38324,10.90001,351.5,5.434124E-08
0.8837216,0.3703926,12.08,45.38576,11.40001,349.8,-1.088696E-07
0.9001971,0.3701998,12.08,45.38679,11.6,349.1,0
0.9169118,0.3699945,12.08,45.38783,11.9,348.4,1.090656E-07
0.9506168,0.3694778,12.08,45.39017,12.4,346.8,0
0.9667681,0.3691584,12.08,45.39149,12.7,345.9,-1.093982E-07
0.9831077,0.3687794,12.08,45.39294,12.8,344.9,-2.188828E-07
1.016542,0.3677665,12.08,45.39641,13.1,342.5,-2.191465E-07
1.033594,0.3673494,12.08,45.39769,13.20001,341.6,0
1.050425,0.3668122,12.08,45.39926,13.30001,340.5,-2.19326E-07
1.065637,0.3661921,12.08,45.40096,13.30001,339.3,0
1.099402,0.3644877,12.08,45.40513,13.3,336.3,0
1.11584,0.3635541,12.08,45.40718,13.30001,334.8,0
1.132288,0.3624315,12.08,45.40948,13.20001,333.1,0
1.166451,0.3603608,12.08,45.41332,12.8,330.2,4.377656E-07
1.182546,0.3596021,12.08,45.41462,12.70001,329.2,0
1.199234,0.3591361,12.08,45.41539,12.70001,328.6,-2.187963E-07
1.21525,0.3587415,12.08,45.41603,12.70001,328.1,0
1.249013,0.3581798,12.08,45.41692,12.70001,327.4,0
1.266098,0.357854,12.08,45.41743,12.60001,327,-2.187107E-07
1.282157,0.3572753,12.08,45.4183,12.60001,326.3,0
1.299093,0.3566008,12.08,45.4193,12.50001,325.5,-2.186257E-07
1.315249,0.3559125,12.08,45.42029,12.40001,324.7,-4.37083E-07
1.349157,0.3546751,12.08,45.42199,12.40001,323.3,0
1.365267,0.3540408,12.08,45.42283,12.40001,322.6,-4.370829E-07
1.382044,0.3532104,12.08,45.4239,12.40001,321.7,0
1.398312,0.3517894,12.08,45.42565,12.40001,320.2,0
1.43253,0.3481957,12.08,45.4297,12.40001,316.6,-4.37083E-07
1.44812,0.3469422,12.08,45.431,12.40001,315.4,0
1.465569,0.3457694,12.08,45.43216,12.40001,314.3,0
1.481761,0.3450116,12.08,45.4329,12.40001,313.5999,0
1.49813,0.3445745,12.08,45.43331,12.40001,313.2,0
1.514847,0.3442449,12.08,45.43362,12.40001,312.9,0
1.532492,0.3442449,12.08,45.43362,12.40001,312.9,0
1.565676,0.3442449,12.08,45.43362,12.40001,312.9,0
1.581819,0.3442449,12.08,45.43362,12.40001,312.9,0
1.59848,0.3442449,12.08,45.43362,12.40001,312.9,0
1.615418,0.3442449,12.08,45.43362,12.40001,312.9,0
1.631956,0.3442449,12.08,45.43362,12.40001,312.9,0
1.648646,0.3442449,12.08,45.43362,12.40001,312.9,0
1.682498,0.3442449,12.08,45.43362,12.40001,312.9,0
1.699058,0.3442449,12.08,45.43362,12.40001,312.9,0
1.715378,0.3453375,12.08,45.43258,12.40001,313.9,0
1.731957,0.3469422,12.08,45.431,12.40001,315.4,4.37083E-07
1.74865,0.3489143,12.08,45.42893,12.40001,317.3,0
