TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.06251123,0,4.452912,-39,0,0,0
0.1102706,0,4.335192,-39,0,0,0
0.166577,0,4.14684,-39,0,0,0
0.2227218,0,3.982032,-39,0,0,0
0.2776123,0,3.67596,-39,0,0,0
0.3348306,0,3.299256,-39,0,0,0
0.388351,0,3.105,-39,0,0,0
0.4432005,0,3.07824,-39,0,0,0
0.5187613,0,3.03824,-39,0,0,0
0.5535907,0,3.01824,-39,0,0,0
0.6093823,0,3.015,-39,359.8,0.2,-2.605526E-11
0.6656353,0,3.045,-39,359.8,0.2,-2.605526E-11
0.7203509,0,3.065,-39,359.8,0.2,-2.605526E-11
0.7745763,0,3.095,-39,359.8,0.2,-2.605526E-11
0.8494423,0,3.105,-39,359.8,0.2,-2.605526E-11
0.8852996,0,3.105,-39,359.8,0.2,-2.605526E-11
0.9405488,0,3.105,-39,359.3,0.4,2.084564E-10
0.9949441,0,3.105,-39,359.3,0.4,2.084564E-10
1.051439,0,3.105,-39,358.8,0.4,0
1.107584,0,3.105,-39,358.8,0.4,0
1.162362,0,3.105,-39,358.8,0.4,0
1.217507,0,3.105,-39,358.8,0.4,0
1.273778,0,3.105,-39,358.8,0.4,0
1.329163,0,3.105,-39,358.8,0.4,0
1.3844,0,3.105,-39,358.6,0.5,0
1.439163,0,3.105,-39,358.6,0.5,0
1.494335,0,3.105,-39,358.5,0.6,0
1.566977,0,3.105,-39,358.5,0.6,0
1.604802,0,3.105,-39,358.5,0.6,0
1.65986,0,3.105,-39,358.2,0.6000001,-8.341749E-10
1.714831,0,3.105,-39,357.4,0.4000001,0
1.769573,0,3.105,-39,357.1,0.2,-4.174162E-10
1.824925,0,3.105,-39,357.1,0.2,-4.174162E-10
1.899219,0,3.105,-39,357.1,0.2,-4.174162E-10
1.935922,0,3.105,-39,357.1,0.2,-4.174162E-10
1.99014,0,3.105,-39,357.1,0.2,-4.174162E-10
2.045977,0,3.105,-39,357,0.2,-4.174537E-10
2.100176,0,3.105,-39,357,0.2,-4.174537E-10
2.154824,0,3.105,-39,357,0.2,-4.174537E-10
2.230573,0,3.105,-39,357,0.2,-4.174537E-10
2.265648,0,3.105,-39,357,0.2,-4.174537E-10
2.319843,0,3.105,-39,357,0.2,-4.174537E-10
2.375422,0.01356091,3.146397,-38.70004,357,0.2,-4.174537E-10
2.430865,0.04628529,3.203287,-38.40016,357,0.2,-4.174537E-10
2.486908,0.08169176,3.169455,-38.10028,357,0.2,-4.174537E-10
2.558616,0.1031915,3.108824,-37.80035,357,0.2,-4.174537E-10
2.596283,0.1020214,3.094369,-37.60035,357,0.2,-4.174537E-10
2.65163,0.07895313,3.028854,-37.30027,357,0.2,-4.174537E-10
2.706908,0.04490848,3.012055,-37.00014,356.8,0.2,-4.175326E-10
2.761793,0.02430614,3.05236,-36.80007,356.8,0.2,-4.175326E-10
2.81748,0.008831355,3.104586,-36.50002,356.8,0.2,-4.175326E-10
2.887628,-0.01162807,3.170145,-36.09994,356.8,0.2,-4.175326E-10
2.926911,-0.03336996,3.203287,-35.89987,356.8,0.2,-4.175326E-10
2.980871,-0.05630355,3.190222,-35.69967,356.5,0.3,8.353213E-10
3.03767,-0.08166377,3.123841,-35.39953,356.5,0.3,8.353213E-10
3.092636,-0.08247294,3.094369,-35.09952,356.5,0.3,8.353213E-10
3.147466,-0.05678698,3.028854,-34.79965,356.5,0.3,8.353213E-10
3.218439,-0.02012472,3.012055,-34.49984,356.5,0.3,8.353213E-10
3.257506,0.002222866,3.05236,-34.29995,356.5,0.3,8.353213E-10
3.312478,0.02031557,3.104586,-34.00004,356.2,0.3,-8.356003E-10
3.36678,0.03450476,3.146398,-33.70013,355.9,0.4,-1.671805E-09
3.423473,0.05590143,3.190746,-33.50028,355.7,0.4000001,0
3.478053,0.09330368,3.190222,-33.20053,355.6,0.4000001,0
