TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.0339226,6.392668,11.97402,42.2451,354.4,28.69998,0
0.04995325,6.392668,11.97402,42.2451,354.4,28.69998,0
0.06692506,6.451324,11.9701,42.32625,354.4,28.69998,0
0.1003489,6.567791,11.99175,42.4905,354.4,28.69998,0
0.1167736,6.624787,12.01419,42.5733,354.4,28.69998,0
0.1333529,6.68023,12.03783,42.65695,354.4,28.69998,0
0.1500245,6.68023,12.03783,42.65695,354.4,28.69998,0
0.1823901,6.784299,12.069,42.82798,354.4,28.69998,0
0.1993311,6.833195,12.07287,42.91522,354.4,28.69998,0
0.216209,6.884665,12.0869,43.00105,354.4,28.69998,0
0.233207,6.938622,12.10828,43.08551,354.4,28.69998,0
0.266034,6.994528,12.13208,43.16891,354.4,28.69998,0
0.2827779,7.051846,12.15338,43.25154,354.4,28.69998,0
0.2999478,7.110035,12.16727,43.33368,354.4,28.69998,0
0.3169258,7.168557,12.16892,43.41565,354.4,28.69998,0
0.3503619,7.227093,12.15748,43.49814,354.2,28.29998,0
0.3662452,7.284654,12.13748,43.5821,354,27.39998,1.073096E-07
0.3838575,7.340253,12.11383,43.66898,353.5,25.59998,1.074122E-07
0.400055,7.391118,12.09145,43.75822,353.3,24.09998,0
0.4181322,7.437286,12.07524,43.85013,353.1,22.49998,-1.075003E-07
0.4505419,7.478436,12.06987,43.94624,352.9,19.89998,0
0.4672741,7.511061,12.06134,44.04313,352.7,18.59998,-1.075938E-07
0.4836106,7.538267,12.0428,44.14102,352.5,17.69998,0
0.5010786,7.561336,12.01982,44.23955,352.5,17.09998,0
0.5342597,7.60041,11.97845,44.43816,352.4,15.89998,0
0.5505418,7.600588,11.97845,44.4388,352.4,15.29998,0
0.5672847,7.615632,11.97011,44.53873,352.4,14.89998,0
0.601136,7.644612,11.99175,44.73833,352.4,14.19998,-1.076675E-07
0.6175464,7.659255,12.01419,44.83791,352.4,13.79998,0
0.6332322,7.674916,12.03783,44.93714,352.4,13.19998,5.383376E-08
0.6677465,7.69186,12.05773,45.03599,352.4,11.29998,0
0.6844607,7.708441,12.069,45.13466,352.4,10.59998,5.383375E-08
0.7018164,7.725855,12.07287,45.23313,352.6,10.09998,0
0.7345572,7.725853,12.07,45.23312,352.7,9.199982,0
0.7504923,7.725852,12.07,45.2331,352.9,8.399981,-5.377319E-08
0.7682221,7.725849,12.07,45.23309,353.3,6.799982,0
0.8013729,7.725846,12.07,45.23306,353.9,4.399981,0
0.8180553,7.725844,12.07,45.23304,354.1,2.999981,2.682251E-08
0.8345144,7.725844,12.07,45.23302,354.3,1.499981,0
0.8686572,7.725844,12.07,45.23297,354.8,357.7,-6.697672E-09
0.8846806,7.725846,12.07,45.23294,354.9,355.4,1.339324E-08
0.9008924,7.72585,12.07,45.2329,354.9,352.7,5.357294E-08
0.935087,7.725862,12.07,45.23283,354.9,347.3,0
0.9506589,7.72587,12.07,45.2328,354.9,344.6,-5.357294E-08
0.9856592,7.725898,12.07,45.23272,354,337.9,1.073096E-07
1.000969,7.725908,12.07,45.2327,353.8,335.9,0
1.035455,7.725918,12.07,45.23267,353.6,334.2,0
1.051074,7.725919,12.07,45.23267,353.5,334,0
1.084689,7.725924,12.07,45.23266,353.3,333.2,0
1.101739,7.72593,12.07,45.23265,352.9,332.1,1.075464E-07
1.134793,7.725945,12.07,45.23262,352.3,329.8,2.153855E-07
1.152051,7.725955,12.07,45.2326,351.8,328.2,0
1.185994,7.725963,12.07,45.23259,351.3,327.1,0
1.201866,7.725963,12.07,45.23259,351.3,327.1,0
1.23478,7.725963,12.07,45.23259,351.3,327.1,0
1.251394,7.725963,12.07,45.23259,351.3,327.1,0
1.285334,7.725963,12.07,45.23259,351.3,327.1,0
1.318276,7.725963,12.07,45.23259,351.3,327.1,0
1.334817,7.725963,12.07,45.23259,351.3,327.1,0
1.368531,7.725963,12.07,45.23259,351.3,327.1,0
1.384654,7.725963,12.07,45.23259,351.3,327.1,0
1.418451,7.725963,12.07,45.23259,351.3,327.1,0
1.434956,7.725963,12.07,45.23259,351.3,327.1,0
1.468879,7.725963,12.07,45.23259,351.3,327.1,0
1.484986,7.725963,12.07,45.23259,351.3,327.1,0
1.51897,7.725963,12.07,45.23259,351.3,327.1,0
