TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02146372,6.12653,12.15287,42.20181,8.600009,9.999996,0
0.04114167,6.132164,12.16962,42.29844,9.900008,6.999996,-5.416744E-08
0.06219743,6.132349,12.16581,42.39719,10.80001,5.099997,-5.432307E-08
0.08550081,6.129592,12.15047,42.49461,12.40001,2.499996,0
0.1086774,6.123498,12.12847,42.592,14.30001,0.3999964,0
0.1305989,6.109837,12.08416,42.79059,15.10001,359.5,-6.908644E-09
0.154885,6.105542,12.07167,42.88934,15.10001,358.8,2.763457E-08
0.1788344,6.103524,12.06803,42.98932,15.10001,358.8,2.763457E-08
0.2013373,6.105002,12.05512,43.08937,15.10001,358.8,2.763457E-08
0.2255043,6.109386,12.03432,43.18949,15.10001,358.8,2.763457E-08
0.2496236,6.11606,12.01056,43.28965,15.10001,358.8,2.763457E-08
0.2739241,6.133678,11.97377,43.48993,15.10001,358.8,2.763457E-08
0.2978935,6.143531,11.97054,43.59015,15.10001,358.8,2.763457E-08
0.3215571,6.143531,12.07,43.59015,15.10001,358.8,2.763457E-08
0.3450899,6.155321,11.98071,43.5904,15.10001,358.8,2.763457E-08
0.3688315,6.155321,12.07,43.5904,15.10001,358.8,2.763457E-08
0.3924828,6.155321,12.07,43.5904,15.10001,358.8,2.763457E-08
0.4165934,6.155321,12.07,43.5904,15.10001,358.8,2.763457E-08
0.4393041,6.155321,12.07,43.5904,15.10001,358.8,2.763457E-08
0.462044,6.155321,12.07,43.5904,15.10001,358.8,2.763457E-08
0.4864522,6.155321,12.07,43.5904,15.10001,358.8,2.763457E-08
0.5093297,6.155321,12.07,43.5904,15.10001,358.8,2.763457E-08
0.5322687,6.155321,12.07,43.5904,15.10001,358.8,2.763457E-08
0.5555326,6.155321,12.07,43.5904,15.20001,358.8,0
0.5795892,6.155324,12.07,43.59028,15.70001,358.6,0
0.6027587,6.158523,11.98952,43.69028,15.80001,358.4,1.386403E-08
0.626664,6.166124,12.01152,43.79037,15.70001,357.9,0
0.6496015,6.171168,12.03526,43.89019,15.30001,355.5,0
0.6741657,6.165264,12.06832,44.09032,15.00001,352.4,0
0.69686,6.152959,12.07196,44.18961,14.70001,347.6,-1.103332E-07
0.7211251,6.134858,12.08487,44.28846,14.60002,341.5,-2.205657E-07
0.7440097,6.108747,12.10566,44.38663,13.50001,334,2.195085E-07
0.76926,6.071407,12.12943,44.48274,12.80001,325.8,0
0.7933757,5.973149,12.16623,44.6655,12.40002,316.9,0
0.8196559,5.908687,12.16946,44.75128,12.20001,309.7,4.367505E-07
0.8440354,5.834481,12.15929,44.82785,12.10001,304.4,0
0.8680515,5.754508,12.14001,44.8958,12.10001,301.1,-4.365864E-07
0.8918121,5.58905,12.09375,45.01565,12.80002,298.9,4.377656E-07
0.916578,5.500269,12.0766,45.07025,14.00002,296.5,4.399554E-07
0.9407753,5.408564,12.07,45.11787,15.30002,294.6,0
0.9646529,5.315448,12.06288,45.15841,16.20002,293.7,0
0.9878649,5.221236,12.04541,45.19419,16.80002,293.3,0
1.011504,5.221087,12.07,45.19425,16.60002,293.2,8.909044E-07
1.036406,5.222128,12.07,45.1938,15.50002,293.9,0
1.05887,5.222128,12.07,45.1938,15.50002,293.9,0
1.083356,5.222128,12.07,45.1938,15.50002,293.9,0
1.106636,5.222128,12.07,45.1938,15.50002,293.9,0
1.129463,5.222128,12.07,45.1938,15.50002,293.9,0
1.153318,5.222128,12.07,45.1938,15.50002,293.9,0
1.176807,5.222128,12.07,45.1938,15.50002,293.9,0
1.200205,5.222128,12.07,45.1938,15.50002,293.9,0
1.22381,5.222128,12.07,45.1938,15.50002,293.9,0
1.247343,5.222128,12.07,45.1938,15.50002,293.9,0
