TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02399204,5.355347,12.04862,42.10023,7.4,9.599989,0
0.04797586,5.355346,12.04035,42.10022,7.4,9.399989,5.380902E-08
0.07168361,5.355345,12.04035,42.10021,7.4,9.19999,0
0.09510501,5.355343,12.04035,42.1002,7.4,8.99999,5.380902E-08
0.1187086,5.355341,12.04035,42.10019,7.5,8.69999,-5.38213E-08
0.142831,5.355338,12.04035,42.10017,7.600001,8.099988,5.383375E-08
0.1667768,5.355333,12.04035,42.10013,7.7,7.099989,5.384636E-08
0.1907247,5.355329,12.04035,42.10009,7.700001,6.099988,0
0.2147332,5.355323,12.04035,42.10003,7.7,4.399989,0
0.2388032,5.36145,12.07935,42.19653,7.899999,2.299989,-1.346803E-08
0.262726,5.389515,12.10757,42.2821,8.300002,359.7,-1.685177E-09
0.2868997,5.388653,12.13052,42.37981,8.700002,356.5,0
0.3108296,5.358825,12.16663,42.57573,9.700002,353.2,5.413479E-08
0.3349602,5.335512,12.16928,42.67083,10.6,350.2,0
0.3598739,5.307462,12.15864,42.76445,10.90001,347.6,1.086825E-07
0.3840312,5.275336,12.13909,42.8595,10.9,347.4,-1.086825E-07
0.4089069,5.21506,12.0929,43.05096,10.9,347.4,-1.086825E-07
0.4349685,5.1885,12.07609,43.14749,10.9,347.4,-1.086825E-07
0.4600587,5.165124,12.06998,43.24474,10.9,347.4,-1.086825E-07
0.4859976,5.145295,12.06233,43.34277,10.9,347.4,-1.086825E-07
0.510801,5.114368,12.02153,43.54079,10.9,347.4,-1.086825E-07
0.5357608,5.102073,11.99821,43.64051,10.9,347.4,-1.086825E-07
0.5607191,5.09109,11.97948,43.74052,10.9,347.4,-1.086825E-07
0.5847907,5.080819,11.97027,43.84069,10.9,347.4,-1.086825E-07
0.6086996,5.080819,12.07001,43.84069,10.9,347.4,-1.086825E-07
0.6318876,5.080819,12.07001,43.84069,10.9,347.4,-1.086825E-07
0.6558411,5.080859,12.07001,43.84052,10.9,347.2,0
0.6788802,5.080859,12.07001,43.84052,11.2,347.2,0
0.7030513,5.081135,12.07001,43.83936,11.4,345.9,0
0.7260268,5.081844,12.07001,43.83681,11.5,343,-3.267242E-07
0.7496622,5.083298,12.07001,43.83269,11.5,338.2,0
0.7738421,5.085764,12.07001,43.8274,11.3,331.8,0
0.7969069,5.088444,12.07001,43.82295,10.60001,326.1,0
0.8207604,5.09115,12.07001,43.81928,10.10001,321.1,0
0.8441535,5.093353,12.07001,43.81672,9.900005,317.4,4.333396E-07
0.8690092,5.09802,12.07001,43.81224,9.800005,310.3,-4.332082E-07
0.8930526,5.101252,12.07001,43.80971,9.800005,305.8,0
0.9157053,5.10313,12.07001,43.80841,9.800004,303.3,0
0.940601,5.106885,12.07001,43.80617,9.800006,298.5,0
0.9646392,5.109901,12.07001,43.80465,10.80001,294.8,4.345845E-07
0.9892029,5.112753,12.07001,43.80344,11.80001,291.4,4.361028E-07
1.014028,5.114205,12.07001,43.80289,12.30001,289.7,4.36916E-07
1.032655,5.114635,12.07001,43.80274,12.50001,289.2,4.372514E-07
1.051417,5.114722,12.07001,43.80271,12.40001,289.1,-4.370829E-07
1.069053,5.114635,12.07001,43.80274,12.10001,289.2,-8.731727E-07
1.088335,5.114635,12.07001,43.80274,12.10001,289.2,-8.731727E-07
1.107366,5.114635,12.07001,43.80274,12.10001,289.2,-8.731727E-07
1.125703,5.114635,12.07001,43.80274,12.10001,289.2,-8.731727E-07
1.144666,5.114635,12.07001,43.80274,12.10001,289.2,-8.731727E-07
1.163564,5.114635,12.07001,43.80274,12.10001,289.2,-8.731727E-07
1.181889,5.114635,12.07001,43.80274,12.10001,289.2,-8.731727E-07
1.200527,5.114635,12.07001,43.80274,12.10001,289.2,-8.731727E-07
1.219337,5.114635,12.07001,43.80274,12.10001,289.2,-8.731727E-07
1.237405,5.114635,12.07001,43.80274,12.10001,289.2,-8.731727E-07
1.25625,5.114635,12.07001,43.80274,12.10001,289.2,-8.731727E-07
1.27583,5.114635,12.07001,43.80274,12.10001,289.2,-8.731727E-07
1.294717,5.114635,12.07001,43.80274,12.10001,289.2,-8.731727E-07
1.313354,5.114635,12.07001,43.80274,12.10001,289.2,-8.731727E-07
1.331689,5.114463,12.07001,43.8028,12.40001,289.4,0
1.350489,5.115847,12.07001,43.80233,12.70001,287.8,-4.375927E-07
1.369363,5.118032,12.07001,43.80169,12.40001,285.3,-4.37083E-07
1.388595,5.122209,12.07001,43.80072,11.70001,280.6,0
1.407886,5.12473,12.07001,43.80032,11.60001,277.8,4.357877E-07
1.426588,5.127177,12.07001,43.80004,11.60001,275.1,0
1.44529,5.131002,12.07001,43.79984,11.60001,270.9,0
1.464285,5.033031,11.97463,43.81337,11.60001,268.3,4.357877E-07
1.483292,4.933793,11.99034,43.82189,11.60001,266.2,0
1.501565,4.834262,12.01251,43.82566,11.60001,263.3,0
1.520102,4.734233,12.03622,43.82258,11.70001,261.6,-1.307834E-06
1.539237,4.634473,12.05655,43.81418,11.90001,260.3,4.362626E-07
1.557234,4.535354,12.0686,43.80059,12.20001,258.9,0
1.576158,4.437033,12.07228,43.78227,12.60001,258,8.748427E-07
1.594194,4.338376,12.08561,43.76509,13.10001,257,-4.38293E-07
1.613029,4.239236,12.10662,43.74895,13.50001,255.8,4.39017E-07
1.631053,4.13982,12.13041,43.73293,14.00001,254.9,0
1.649003,4.040029,12.15205,43.71687,14.40001,253.9,4.407333E-07
1.666956,4.039674,12.15205,43.71677,14.80001,253.2,0
1.684983,3.946152,12.16663,43.70913,15.20001,253,0
1.702819,3.88195,12.16945,43.75376,15.60001,252.9,0
1.721004,3.81825,12.16154,43.79692,15.90001,252.8,8.877373E-07
1.738767,3.754897,12.14656,43.83958,15.90001,252.8,8.877373E-07
1.756903,3.692754,12.1275,43.88169,15.80001,253.5,0
1.77394,3.629648,12.10735,43.92266,16.00001,253.8,0
1.791965,3.56609,12.08898,43.96212,15.30001,253.7,0
1.810043,3.503492,12.0755,43.9999,15.30001,253.7,0
1.827914,3.43337,12.07001,44.03128,15.30001,253.7,0
1.84502,3.43337,12.07001,44.03128,15.30001,253.7,0
1.862884,3.349672,12.06505,44.04679,15.30001,253.7,0
1.881015,3.257201,12.0499,44.04454,15.30001,253.7,0
