TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02086128,0.01589901,11.99336,42.16659,15.1,358.4,1.381729E-08
0.04153218,0.02373859,11.98485,42.26434,15.1,358.4,1.381729E-08
0.06277422,0.03248678,11.9721,42.36459,15.1,358.4,1.381729E-08
0.0837448,0.04166181,11.97156,42.46488,15.1,358.4,1.381729E-08
0.1035254,0.05055536,11.98385,42.56517,15.1,358.4,1.381729E-08
0.1246591,0.05855124,12.00432,42.66543,15.1,358.4,1.381729E-08
0.1456805,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.1658675,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.1868258,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.2079226,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.2285381,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.2497006,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.2709667,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.2906857,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.3117035,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.332747,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.3526815,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.3735674,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.3947032,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.4147209,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.4358023,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.4566276,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.4777296,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.4987879,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.5187629,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.5398372,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.5608037,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.5819595,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.6028372,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.6227071,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.6437443,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.6647509,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.6857579,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.7058315,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.7266312,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.7479081,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.7686416,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.7888045,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.8098351,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.8309781,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.851862,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.8718206,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.8928075,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.9136986,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.9347416,0.05855124,12.07,42.66543,15.1,358.4,1.381729E-08
0.95485,0.05855888,12.07,42.6652,15.3,357.8,0
0.975737,0.05858606,12.07,42.66467,15.4,356.4,5.53481E-08
0.9958106,0.05872089,12.07,42.66325,15.4,352.7,0
1.017191,0.05891789,12.07,42.662,15.2,349.4,2.211811E-07
1.037693,0.05938391,12.07,42.66002,14.4,344.1,-2.203666E-07
1.058457,0.05986872,12.07,42.65853,13.8,340,-2.197877E-07
1.079754,0.06012941,12.07,42.65784,13.6,338.1,4.392016E-07
1.10075,0.06038169,12.07,42.65724,13.4,336.4,0
1.121763,0.06052245,12.07,42.65693,13.4,335.5,0
1.142578,0.06065171,12.07,42.65665,13.4,334.7,-2.194168E-07
1.162769,0.06087001,12.07,42.6562,13.4,333.4,2.194168E-07
1.184027,0.06102708,12.07,42.65589,13.3,332.5,0
1.204883,0.06131817,12.07,42.65535,13,330.9,-2.190579E-07
1.224906,0.06154634,12.07,42.65495,12.9,329.7,0
1.245896,0.06200684,12.07,42.6542,12.6,327.4,-2.187106E-07
1.266958,0.06251916,12.07,42.65343,12.2,325,4.367504E-07
1.28786,0.06280993,12.07,42.65303,12,323.7,0
1.308902,0.06322756,12.07,42.65248,11.8,321.9,0
1.328843,0.0634912,12.07,42.65215,11.6,320.8,-4.357877E-07
1.349892,0.06378598,12.07,42.65179,11.6,319.6,4.357876E-07
1.369765,0.06403724,12.07,42.6515,11.6,318.6,0
1.389897,0.06413916,12.07,42.65139,11.6,318.2,0
1.408586,0.06419042,12.07,42.65133,11.6,318,4.357876E-07
1.428931,0.06426768,12.07,42.65125,11.6,317.7,0
1.447846,0.06426768,12.07,42.65125,11.6,317.7,0
1.466715,0.06426768,12.07,42.65125,11.6,317.7,0
1.486578,0.06426768,12.07,42.65125,11.6,317.7,0
1.505468,0.06426768,12.07,42.65125,11.6,317.7,0
1.524614,0.06426768,12.07,42.65125,11.6,317.7,0
1.543632,0.06426768,12.07,42.65125,11.6,317.7,0
1.563518,0.06426768,12.07,42.65125,11.6,317.7,0
1.582868,0.06426768,12.07,42.65125,11.6,317.7,0
1.601794,0.06426768,12.07,42.65125,11.6,317.7,0
1.620708,0.003830078,12.02805,42.73146,11.6,317.7,0
1.64084,-0.05818056,12.05012,42.81023,11.6,317.7,0
1.659596,-0.1222187,12.06563,42.88717,11.6,317.7,0
1.678646,-0.1886115,12.07034,42.96196,11.6,317.7,0
1.697704,-0.2540257,12.07982,43.03764,11.6,317.7,0
1.717669,-0.3171502,12.0987,43.1154,11.6,317.7,0
1.736317,-0.3784396,12.12208,43.19483,11.6,317.7,0
1.755389,-0.4383483,12.14503,43.27552,11.6,317.7,0
1.774454,-0.4973307,12.16263,43.35706,11.6,317.7,0
1.793391,-0.5558411,12.16999,43.43902,11.6,317.7,0
1.812381,-0.6143342,12.16363,43.521,11.6,317.7,0
1.830616,-0.6732643,12.14663,43.60258,11.6,317.7,0
1.849529,-0.7330857,12.12392,43.68335,11.6,317.7,0
1.86855,-0.794253,12.1004,43.76289,11.6,317.7,0
1.887216,-0.794253,12.1004,43.76289,11.6,317.7,0
1.906356,-0.8572205,12.081,43.8408,11.6,317.7,0
1.925496,-0.8571067,12.07,43.84067,11.5,317.8,-4.356322E-07
1.944393,-0.856993,12.07,43.84055,11.5,317.9,0
1.962585,-0.8568796,12.07,43.84042,11.4,318,-4.354783E-07
1.98154,-0.8568796,12.07,43.84042,11.4,318,-4.354783E-07
2.000758,-0.8567664,12.07,43.84029,11.3,318.1,-4.353257E-07
2.019478,-0.8576782,12.07,43.8413,10.3,317.3,0
2.038688,-0.8586039,12.07,43.84229,9.499997,316.5,0
2.057256,-0.8586039,12.07,43.84229,9.499997,316.5,0
2.076296,-0.8586039,12.07,43.84229,9.499997,316.5,0
2.095363,-0.856565,12.07062,43.84422,9.499997,316.5,0
2.114501,-0.856565,12.07,43.84422,9.499997,316.5,0
2.132595,-0.856565,12.07,43.84422,9.499997,316.5,0
2.151545,-0.856565,12.07,43.84422,9.499997,316.5,0
2.170397,-0.856565,12.07,43.84422,9.499997,316.5,0
2.188353,-0.856565,12.07,43.84422,9.499997,316.5,0
2.20745,-0.856565,12.07,43.84422,9.499997,316.5,0
2.22652,-0.856565,12.07,43.84422,9.499997,316.5,0
