TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04068342,0,4.476456,-39,0.1,359.6,0
0.06690203,0,4.452912,-39,0.1,359.6,0
0.100564,0,4.38228,-39,0.1,359.6,0
0.1340853,0,4.335192,-39,0.1,359.6,0
0.1674963,0,4.217472,-39,0.1,359.6,0
0.2006979,0,4.06836,-39,0.1,359.6,0
0.2336512,0,3.982032,-39,0.1,359.6,0
0.2667779,0,3.785832,-39,0.1,359.6,0
0.3017263,0,3.55824,-39,0.1,359.6,0
0.3342372,0,3.432672,-39,0.1,359.6,0
0.3668199,0,3.157992,-39,0.1,359.6,0
0.4008,0,3.105,-39,0.1,359.6,0
0.4339467,0,3.105,-39,0.1,359.6,0
0.4668256,0,3.07801,-39,0.1,359.6,0
0.5006614,0,3.05801,-39,0.1,359.6,0
0.5338261,0,3.04801,-39,0.1,359.6,0
0.5676563,0,3.02801,-39,0.1,359.6,0
0.6008734,0,3.00801,-39,0.1,359.6,0
0.6345881,0,3.005,-39,0.1,359.6,0
0.6671647,0,3.025,-39,0.1,359.6,0
0.7005008,0,3.045,-39,0.1,359.6,0
0.7337127,0,3.055,-39,0.1,359.6,0
0.7677431,0,3.075,-39,0.1,359.6,0
0.8005167,0,3.095,-39,0.1,359.6,0
0.8339785,0,3.105,-39,0.1,359.6,0
0.8669169,0,3.105,-39,0.1,359.6,0
0.9009355,0,3.105,-39,0.1,359.6,0
0.9341432,0,3.105,-39,0.1,359.6,0
0.9672807,0,3.105,-39,0.1,359.6,0
1.000525,0,3.105,-39,0.1,359.6,0
1.03398,0,3.105,-39,0.1,359.6,0
1.066644,0,3.105,-39,0.1,359.6,0
1.100673,0,3.105,-39,0.1,359.6,0
1.134109,0,3.105,-39,0.1,359.6,0
1.167138,0.004021611,3.12442,-38.79996,0.1,359.6,0
1.200035,0.01895789,3.170144,-38.59986,0.1,359.6,0
1.234287,0.02902346,3.190746,-38.49978,0.1,359.6,0
1.26693,0.0512774,3.203075,-38.29963,0.1,359.6,0
1.300361,0.07226557,3.169455,-38.09947,0.1,359.6,0
1.333921,0.08074921,3.145689,-37.99941,0.1,359.6,0
1.366636,0.09062338,3.108824,-37.79934,0.1,359.6,0
1.400979,0.08735889,3.094369,-37.59935,0.1,359.6,0
1.434076,0.08086597,3.07512,-37.4994,0.1,359.6,0
1.466689,0.06114963,3.028855,-37.29953,0.1,359.6,0
1.499828,0.03655477,3.005002,-37.0997,0.1,359.6,0
1.533858,0.02396418,3.012055,-36.99979,0.1,359.6,0
1.567169,0.001267632,3.05236,-36.79994,0.1,359.6,0
1.600573,-0.01401935,3.094829,-36.60004,0.1,359.6,0
1.634267,-0.01734841,3.104586,-36.50006,0.1,359.6,0
1.666991,-0.02426728,3.12442,-36.3001,0.1,359.6,0
1.700545,-0.04199606,3.170144,-36.10022,0.1,359.6,0
1.734648,-0.05345789,3.190746,-36.0003,0.1,359.6,0
1.76705,-0.07850435,3.203075,-35.80047,0.1,359.6,0
1.800226,-0.102285,3.169455,-35.60063,0.1,359.6,0
1.834231,-0.1121649,3.145689,-35.5007,0.1,359.6,0
1.867361,-0.1248316,3.108824,-35.30078,0.1,359.6,0
1.900216,-0.1243596,3.094369,-35.10077,0.1,359.6,0
1.933671,-0.1192629,3.075119,-35.00074,0.1,359.6,0
1.966838,-0.102339,3.028854,-34.80061,0.1,359.6,0
2.000399,-0.08053669,3.005002,-34.60046,0.1,359.6,0
2.033626,-0.06934237,3.012055,-34.50037,0.1,359.6,0
2.066921,-0.04943833,3.05236,-34.30023,0.1,359.6,0
2.100235,-0.03694385,3.094829,-34.10014,0.1,359.6,0
2.13371,-0.03501104,3.104586,-34.00012,0.1,359.6,0
2.166707,-0.03088469,3.12442,-33.80009,0.1,359.6,0
2.200772,-0.01594842,3.170144,-33.59998,0.1,359.6,0
2.233894,-0.005882844,3.190746,-33.4999,0.1,359.6,0
2.26712,0.01637109,3.203075,-33.29975,0.1,359.6,0
2.299706,0.03735926,3.169455,-33.09959,0.1,359.6,0
2.333285,0.0458429,3.145689,-32.99953,0.1,359.6,0
2.367862,0.05571707,3.108824,-32.79946,0.1,359.6,0
2.400504,0.05245259,3.094369,-32.59948,0.1,359.6,0
2.433545,0.04595967,3.075119,-32.49952,0.1,359.6,0
2.466571,0.02624333,3.028854,-32.29965,0.1,359.6,0
2.500786,0.001648471,3.005002,-32.09982,0.1,359.6,0
2.534143,-0.01094212,3.012055,-31.99991,0.1,359.6,0
2.566517,-0.03363867,3.052361,-31.80006,0.1,359.6,0
2.599958,-0.04892569,3.094829,-31.60016,0.1,359.6,0
2.634441,-0.05225471,3.104586,-31.50018,0.1,359.6,0
2.66753,-0.05917358,3.12442,-31.30023,0.1,359.6,0
2.699583,-0.07690249,3.170145,-31.10035,0.1,359.6,0
2.734082,-0.08836423,3.190746,-31.00042,0.1,359.6,0
2.766856,-0.1134106,3.203075,-30.80059,0.1,359.6,0
2.800196,-0.1371914,3.169455,-30.60075,0.1,359.6,0
2.833981,-0.1470713,3.145689,-30.50082,0.1,359.6,0
2.866768,-0.1597379,3.108824,-30.3009,0.1,359.6,0
2.89988,-0.1592658,3.094369,-30.1009,0.1,359.6,0
2.933418,-0.1541692,3.07512,-30.00086,0.1,359.6,0
2.966848,-0.1372452,3.028854,-29.80073,0.1,359.6,0
2.999994,-0.115443,3.005002,-29.60058,0.1,359.6,0
3.033805,-0.1042484,3.012055,-29.5005,0.1,359.6,0
3.066591,-0.0843445,3.052361,-29.30035,0.1,359.6,0
3.100276,-0.07185004,3.094829,-29.10026,0.1,359.6,0
3.133491,-0.06991733,3.104586,-29.00024,0.1,359.6,0
3.166966,-0.06579095,3.12442,-28.80021,0.1,359.6,0
3.199986,-0.05085445,3.170145,-28.6001,0.1,359.6,0
3.23415,-0.04078896,3.190746,-28.50003,0.1,359.6,0
3.267465,-0.01853512,3.203075,-28.29987,0.1,359.6,0
3.300594,0.002445355,3.185621,-28.10082,0.1,359.6,0
3.333665,0.0109271,3.176672,-28.00187,0.1,359.6,0
3.367716,0.02078152,3.169486,-27.80401,0.1,359.6,0
3.400188,0.01749618,3.184697,-27.60624,0.1,359.6,0
3.4336,0.01099347,3.180277,-27.50739,0.1,359.6,0
3.466429,-0.008741289,3.163682,-27.30973,0.1,359.6,0
3.500327,-0.03346086,3.169462,-27.10916,359.3,356.2,0
3.533521,-0.05258271,3.191344,-27.00717,358.2,349.6,-1.33468E-08
3.56656,-0.1104956,3.260803,-26.8146,357,342.7,2.671704E-08
3.599873,-0.1839198,3.331574,-26.62986,355.6,337.8,0
3.633256,-0.2245039,3.355049,-26.53944,354.9,335.8,0
3.666851,-0.3122814,3.401888,-26.36164,354.8,335.7,0
3.699975,-0.4102315,3.474601,-26.18844,354.8,335.7,0
3.73325,-0.4615742,3.509521,-26.10291,354.8,335.7,0
3.766688,-0.5664015,3.552116,-25.93334,354.8,335.7,0
3.799631,-0.6700691,3.548326,-25.76324,354.8,335.7,0
3.832916,-0.7201887,3.54021,-25.67686,354.8,335.7,0
3.849627,-0.7682374,3.533435,-25.59011,354.8,335.7,0
3.883181,-0.8561457,3.544373,-25.4129,354.8,335.7,0
3.916747,-0.8952802,3.549364,-25.32211,354.8,335.7,0
3.95053,-0.9657394,3.535862,-25.13702,354.8,335.7,0
3.983654,-1.029326,3.522906,-24.94831,354.8,335.7,0
4.015905,-1.059931,3.529771,-24.85346,354.8,335.7,0
4.049609,-1.12189,3.581276,-24.664,354.8,335.7,0
4.083189,-1.188365,3.654571,-24.47659,354.8,335.7,0
4.116327,-1.224697,3.686357,-24.38428,354.8,335.7,0
4.149521,-1.304377,3.727738,-24.20222,354.8,335.7,0
4.18308,-1.377362,3.792569,-24.01862,354.8,335.7,0
4.199234,-1.410475,3.829811,-23.92486,354.8,335.7,0
